ward,precinct,total,PAT DOWELL,PAT DOWELL Percent,JASMINE ROBERSON (WRITE-IN),JASMINE ROBERSON (WRITE-IN) Percent,DON DAVIS (WRITE-IN),DON DAVIS (WRITE-IN) Percent,precinct_id
3,1,405,399,98.52,0,0.0,6,1.48,03001
3,2,501,499,99.6,0,0.0,2,0.4,03002
3,3,325,325,100.0,0,0.0,0,0.0,03003
3,4,362,359,99.17,0,0.0,3,0.83,03004
3,5,96,96,100.0,0,0.0,0,0.0,03005
3,6,396,396,100.0,0,0.0,0,0.0,03006
3,7,256,255,99.61,0,0.0,1,0.39,03007
3,8,321,320,99.69,1,0.31,0,0.0,03008
3,9,191,191,100.0,0,0.0,0,0.0,03009
3,10,286,283,98.95,1,0.35,2,0.7,03010
3,11,521,488,93.67,6,1.15,27,5.18,03011
3,12,440,432,98.18,6,1.36,2,0.45,03012
3,13,630,630,100.0,0,0.0,0,0.0,03013
3,14,566,566,100.0,0,0.0,0,0.0,03014
3,15,361,359,99.45,1,0.28,1,0.28,03015
3,16,275,273,99.27,1,0.36,1,0.36,03016
3,17,120,120,100.0,0,0.0,0,0.0,03017
3,18,119,115,96.64,0,0.0,4,3.36,03018
3,19,651,649,99.69,0,0.0,2,0.31,03019
3,20,463,462,99.78,0,0.0,1,0.22,03020
3,21,339,339,100.0,0,0.0,0,0.0,03021
3,22,313,311,99.36,0,0.0,2,0.64,03022
3,23,242,242,100.0,0,0.0,0,0.0,03023
3,24,81,81,100.0,0,0.0,0,0.0,03024
3,25,612,612,100.0,0,0.0,0,0.0,03025
3,26,224,222,99.11,0,0.0,2,0.89,03026
3,27,533,532,99.81,0,0.0,1,0.19,03027
