ward,precinct,total,JA'MAL GREEN,JA'MAL GREEN Percent,SOPHIA KING,SOPHIA KING Percent,KAM BUCKNER,KAM BUCKNER Percent,WILLIE L. WILSON,WILLIE L. WILSON Percent,BRANDON JOHNSON,BRANDON JOHNSON Percent,PAUL VALLAS,PAUL VALLAS Percent,LORI E. LIGHTFOOT,LORI E. LIGHTFOOT Percent,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,"JESUS """"CHUY"""" GARCIA","JESUS """"CHUY"""" GARCIA Percent",KEITH M. JUDGE (WRITE-IN),KEITH M. JUDGE (WRITE-IN) Percent,STEPHEN HODGE (WRITE-IN),STEPHEN HODGE (WRITE-IN) Percent,RYAN FRIEDMAN (WRITE-IN),RYAN FRIEDMAN (WRITE-IN) Percent,STEPHANIE ANN MUSTARI (WRITE-IN),STEPHANIE ANN MUSTARI (WRITE-IN) Percent,JOHNNY LOGALBO (WRITE-IN),JOHNNY LOGALBO (WRITE-IN) Percent,precinct_id
1,1,670,10,1.49,6,0.9,21,3.13,11,1.64,315,47.01,145,21.64,65,9.7,1,0.15,96,14.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01001
1,2,707,11,1.56,7,0.99,20,2.83,10,1.41,347,49.08,150,21.22,67,9.48,1,0.14,94,13.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01002
1,3,751,25,3.33,6,0.8,24,3.2,12,1.6,303,40.35,224,29.83,66,8.79,3,0.4,88,11.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01003
1,4,625,14,2.24,3,0.48,27,4.32,11,1.76,323,51.68,94,15.04,37,5.92,2,0.32,114,18.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01004
1,5,670,10,1.49,6,0.9,29,4.33,6,0.9,303,45.22,129,19.25,48,7.16,0,0.0,139,20.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01005
1,6,598,9,1.51,3,0.5,20,3.34,15,2.51,236,39.46,138,23.08,70,11.71,2,0.33,105,17.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01006
1,7,735,15,2.04,11,1.5,27,3.67,14,1.9,414,56.33,118,16.05,43,5.85,1,0.14,92,12.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,8,549,14,2.55,1,0.18,17,3.1,11,2.0,248,45.17,146,26.59,38,6.92,0,0.0,74,13.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01008
1,9,358,9,2.51,2,0.56,15,4.19,26,7.26,127,35.47,81,22.63,35,9.78,0,0.0,63,17.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01009
1,10,763,14,1.83,14,1.83,41,5.37,14,1.83,304,39.84,210,27.52,56,7.34,4,0.52,106,13.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01010
1,11,563,12,2.13,5,0.89,28,4.97,23,4.09,234,41.56,113,20.07,68,12.08,2,0.36,78,13.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01011
1,12,307,7,2.28,5,1.63,14,4.56,8,2.61,106,34.53,91,29.64,20,6.51,1,0.33,55,17.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01012
1,13,470,3,0.64,6,1.28,14,2.98,11,2.34,204,43.4,125,26.6,49,10.43,1,0.21,57,12.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01013
1,14,429,16,3.73,7,1.63,19,4.43,36,8.39,119,27.74,107,24.94,51,11.89,4,0.93,70,16.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01014
1,15,649,10,1.54,4,0.62,27,4.16,17,2.62,247,38.06,215,33.13,52,8.01,1,0.15,76,11.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,16,686,14,2.04,10,1.46,24,3.5,9,1.31,255,37.17,228,33.24,66,9.62,2,0.29,78,11.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01016
1,17,412,4,0.97,4,0.97,32,7.77,7,1.7,152,36.89,127,30.83,36,8.74,2,0.49,48,11.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01017
1,18,549,7,1.28,5,0.91,31,5.65,7,1.28,230,41.89,168,30.6,37,6.74,1,0.18,63,11.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01018
1,19,491,8,1.63,5,1.02,31,6.31,13,2.65,189,38.49,130,26.48,36,7.33,1,0.2,78,15.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01019
1,20,492,7,1.42,11,2.24,18,3.66,6,1.22,172,34.96,170,34.55,46,9.35,1,0.2,61,12.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01020
