ward,precinct,total,LARRY SVABEK,LARRY SVABEK Percent,NICK WARD,NICK WARD Percent,JOE DUNNE,JOE DUNNE Percent,ANDRE PELOQUIN,ANDRE PELOQUIN Percent,BRIAN J. HAAG,BRIAN J. HAAG Percent,ISAAC FREILICH JONES,ISAAC FREILICH JONES Percent,LENI MANAA-HOPPENWORTH,LENI MANAA-HOPPENWORTH Percent,ROXANNE VOLKMANN,ROXANNE VOLKMANN Percent,ANDY PETERS,ANDY PETERS Percent,NASSIR FAULKNER,NASSIR FAULKNER Percent,precinct_id
48,1,775,41,5.29,187,24.13,154,19.87,4,0.52,4,0.52,77,9.94,239,30.84,45,5.81,15,1.94,9,1.16,48001
48,2,276,11,3.99,53,19.2,89,32.25,9,3.26,10,3.62,27,9.78,37,13.41,15,5.43,18,6.52,7,2.54,48002
48,3,371,25,6.74,79,21.29,65,17.52,7,1.89,4,1.08,41,11.05,79,21.29,54,14.56,10,2.7,7,1.89,48003
48,4,418,29,6.94,75,17.94,88,21.05,21,5.02,7,1.67,42,10.05,99,23.68,30,7.18,14,3.35,13,3.11,48004
48,5,302,17,5.63,43,14.24,110,36.42,3,0.99,4,1.32,80,26.49,21,6.95,15,4.97,3,0.99,6,1.99,48005
48,6,582,40,6.87,142,24.4,102,17.53,5,0.86,9,1.55,46,7.9,145,24.91,45,7.73,27,4.64,21,3.61,48006
48,7,608,50,8.22,89,14.64,148,24.34,9,1.48,2,0.33,44,7.24,232,38.16,12,1.97,15,2.47,7,1.15,48007
48,8,397,22,5.54,46,11.59,144,36.27,5,1.26,9,2.27,68,17.13,53,13.35,21,5.29,18,4.53,11,2.77,48008
48,9,294,22,7.48,27,9.18,77,26.19,8,2.72,2,0.68,40,13.61,43,14.63,34,11.56,29,9.86,12,4.08,48009
48,10,714,62,8.68,106,14.85,132,18.49,8,1.12,4,0.56,49,6.86,302,42.3,13,1.82,28,3.92,10,1.4,48010
48,11,493,22,4.46,73,14.81,190,38.54,4,0.81,0,0.0,46,9.33,137,27.79,8,1.62,9,1.83,4,0.81,48011
48,12,649,65,10.02,126,19.41,122,18.8,9,1.39,11,1.69,58,8.94,156,24.04,47,7.24,32,4.93,23,3.54,48012
48,13,512,27,5.27,77,15.04,183,35.74,9,1.76,14,2.73,84,16.41,44,8.59,40,7.81,25,4.88,9,1.76,48013
48,14,523,46,8.8,103,19.69,119,22.75,7,1.34,5,0.96,50,9.56,120,22.94,38,7.27,22,4.21,13,2.49,48014
48,15,403,29,7.2,90,22.33,77,19.11,8,1.99,4,0.99,39,9.68,98,24.32,28,6.95,15,3.72,15,3.72,48015
48,16,323,21,6.5,96,29.72,69,21.36,5,1.55,5,1.55,21,6.5,68,21.05,20,6.19,12,3.72,6,1.86,48016
48,17,187,14,7.49,33,17.65,46,24.6,5,2.67,5,2.67,31,16.58,18,9.63,14,7.49,13,6.95,8,4.28,48017
48,18,536,39,7.28,142,26.49,86,16.04,14,2.61,17,3.17,36,6.72,113,21.08,39,7.28,25,4.66,25,4.66,48018
48,19,398,29,7.29,66,16.58,159,39.95,3,0.75,3,0.75,36,9.05,84,21.11,6,1.51,7,1.76,5,1.26,48019
48,20,251,12,4.78,34,13.55,79,31.47,11,4.38,4,1.59,31,12.35,39,15.54,23,9.16,13,5.18,5,1.99,48020
48,21,532,35,6.58,130,24.44,118,22.18,10,1.88,9,1.69,38,7.14,131,24.62,27,5.08,25,4.7,9,1.69,48021
48,22,357,19,5.32,25,7.0,119,33.33,8,2.24,7,1.96,94,26.33,34,9.52,21,5.88,14,3.92,16,4.48,48022
48,23,436,23,5.28,40,9.17,194,44.5,18,4.13,1,0.23,46,10.55,61,13.99,21,4.82,19,4.36,13,2.98,48023
48,24,735,50,6.8,126,17.14,130,17.69,117,15.92,8,1.09,41,5.58,133,18.1,47,6.39,42,5.71,41,5.58,48024
48,25,609,59,9.69,142,23.32,157,25.78,5,0.82,15,2.46,37,6.08,143,23.48,30,4.93,9,1.48,12,1.97,48025
48,26,322,13,4.04,50,15.53,97,30.12,7,2.17,5,1.55,47,14.6,43,13.35,40,12.42,15,4.66,5,1.55,48026
48,27,343,14,4.08,76,22.16,88,25.66,4,1.17,20,5.83,27,7.87,69,20.12,21,6.12,21,6.12,3,0.87,48027
48,28,473,38,8.03,98,20.72,79,16.7,4,0.85,6,1.27,19,4.02,197,41.65,12,2.54,10,2.11,10,2.11,48028
48,29,216,13,6.02,41,18.98,56,25.93,9,4.17,3,1.39,25,11.57,34,15.74,11,5.09,22,10.19,2,0.93,48029
48,30,579,23,3.97,88,15.2,276,47.67,6,1.04,3,0.52,50,8.64,103,17.79,14,2.42,2,0.35,14,2.42,48030
48,31,512,32,6.25,136,26.56,86,16.8,2,0.39,1,0.2,31,6.05,181,35.35,18,3.52,10,1.95,15,2.93,48031
48,32,381,31,8.14,89,23.36,61,16.01,14,3.67,21,5.51,30,7.87,87,22.83,22,5.77,13,3.41,13,3.41,48032
48,33,238,15,6.3,25,10.5,68,28.57,7,2.94,2,0.84,67,28.15,21,8.82,15,6.3,16,6.72,2,0.84,48033
48,34,421,21,4.99,75,17.81,107,25.42,6,1.43,6,1.43,38,9.03,129,30.64,20,4.75,10,2.38,9,2.14,48034
48,35,737,30,4.07,128,17.37,306,41.52,3,0.41,4,0.54,73,9.91,154,20.9,14,1.9,11,1.49,14,1.9,48035
