ward,precinct,total,MELISSA CONYEARS-ERVIN,MELISSA CONYEARS-ERVIN Percent,precinct_id
1,1,525,525,100.0,01001
1,2,557,557,100.0,01002
1,3,610,610,100.0,01003
1,4,520,520,100.0,01004
1,5,547,547,100.0,01005
1,6,489,489,100.0,01006
1,7,601,601,100.0,01007
1,8,470,470,100.0,01008
1,9,263,263,100.0,01009
1,10,600,600,100.0,01010
1,11,461,461,100.0,01011
1,12,229,229,100.0,01012
1,13,375,375,100.0,01013
1,14,317,317,100.0,01014
1,15,510,510,100.0,01015
1,16,524,524,100.0,01016
1,17,337,337,100.0,01017
1,18,457,457,100.0,01018
1,19,398,398,100.0,01019
1,20,409,409,100.0,01020
1,21,392,392,100.0,01021
1,22,540,540,100.0,01022
1,23,271,271,100.0,01023
1,24,616,616,100.0,01024
1,25,547,547,100.0,01025
1,26,503,503,100.0,01026
2,1,408,408,100.0,02001
2,2,569,569,100.0,02002
2,3,301,301,100.0,02003
2,4,325,325,100.0,02004
2,5,384,384,100.0,02005
2,6,605,605,100.0,02006
2,7,490,490,100.0,02007
2,8,383,383,100.0,02008
2,9,549,549,100.0,02009
2,10,226,226,100.0,02010
2,11,343,343,100.0,02011
2,12,364,364,100.0,02012
2,13,518,518,100.0,02013
2,14,320,320,100.0,02014
2,15,432,432,100.0,02015
2,16,507,507,100.0,02016
2,17,684,684,100.0,02017
2,18,358,358,100.0,02018
2,19,222,222,100.0,02019
2,20,286,286,100.0,02020
2,21,105,105,100.0,02021
2,22,310,310,100.0,02022
2,23,348,348,100.0,02023
2,24,327,327,100.0,02024
2,25,463,463,100.0,02025
3,1,420,420,100.0,03001
3,2,422,422,100.0,03002
3,3,314,314,100.0,03003
3,4,367,367,100.0,03004
3,5,94,94,100.0,03005
3,6,379,379,100.0,03006
3,7,231,231,100.0,03007
3,8,329,329,100.0,03008
3,9,197,197,100.0,03009
3,10,283,283,100.0,03010
3,11,508,508,100.0,03011
3,12,435,435,100.0,03012
3,13,587,587,100.0,03013
3,14,542,542,100.0,03014
3,15,346,346,100.0,03015
3,16,253,253,100.0,03016
3,17,110,110,100.0,03017
3,18,110,110,100.0,03018
3,19,646,646,100.0,03019
3,20,431,431,100.0,03020
3,21,342,342,100.0,03021
3,22,290,290,100.0,03022
3,23,227,227,100.0,03023
3,24,82,82,100.0,03024
3,25,585,585,100.0,03025
3,26,214,214,100.0,03026
3,27,493,493,100.0,03027
4,1,574,574,100.0,04001
4,2,250,250,100.0,04002
4,3,398,398,100.0,04003
4,4,489,489,100.0,04004
4,5,225,225,100.0,04005
4,6,346,346,100.0,04006
4,7,265,265,100.0,04007
4,8,362,362,100.0,04008
