ward,precinct,total,SILVANA TABARES,SILVANA TABARES Percent,"PAULINO VILLARREAL, JR.","PAULINO VILLARREAL, JR. Percent",precinct_id
23,1,291,223,76.63,68,23.37,23001
23,2,266,174,65.41,92,34.59,23002
23,3,273,217,79.49,56,20.51,23003
23,4,322,251,77.95,71,22.05,23004
23,5,213,164,77.0,49,23.0,23005
23,6,241,181,75.1,60,24.9,23006
23,7,173,138,79.77,35,20.23,23007
23,8,254,201,79.13,53,20.87,23008
23,9,160,120,75.0,40,25.0,23009
23,10,235,184,78.3,51,21.7,23010
23,11,217,159,73.27,58,26.73,23011
23,12,282,212,75.18,70,24.82,23012
23,13,148,116,78.38,32,21.62,23013
23,14,252,192,76.19,60,23.81,23014
23,15,165,114,69.09,51,30.91,23015
23,16,302,250,82.78,52,17.22,23016
23,17,114,73,64.04,41,35.96,23017
23,18,224,157,70.09,67,29.91,23018
23,19,144,83,57.64,61,42.36,23019
23,20,120,92,76.67,28,23.33,23020
23,21,297,238,80.13,59,19.87,23021
23,22,262,200,76.34,62,23.66,23022
23,23,259,193,74.52,66,25.48,23023
23,24,159,121,76.1,38,23.9,23024
23,25,167,131,78.44,36,21.56,23025
23,26,235,193,82.13,42,17.87,23026
23,27,277,222,80.14,55,19.86,23027
23,28,281,192,68.33,89,31.67,23028
23,29,247,204,82.59,43,17.41,23029
23,30,246,185,75.2,61,24.8,23030
23,31,157,112,71.34,45,28.66,23031
23,32,204,147,72.06,57,27.94,23032
23,33,195,157,80.51,38,19.49,23033
23,34,162,126,77.78,36,22.22,23034
23,35,193,133,68.91,60,31.09,23035
23,36,304,248,81.58,56,18.42,23036
23,37,316,259,81.96,57,18.04,23037
23,38,243,181,74.49,62,25.51,23038
23,39,199,159,79.9,40,20.1,23039
