ward,precinct,total,JOE MOORE,JOE MOORE Percent,MARIA HADDEN,MARIA HADDEN Percent,precinct_id
49,1,207,89,43.0,118,57.0,49001
49,2,242,63,26.03,179,73.97,49002
49,3,426,116,27.23,310,72.77,49003
49,4,460,124,26.96,336,73.04,49004
49,5,429,179,41.72,250,58.28,49005
49,6,338,153,45.27,185,54.73,49006
49,7,327,129,39.45,198,60.55,49007
49,8,293,143,48.81,150,51.19,49008
49,9,382,132,34.55,250,65.45,49009
49,10,398,117,29.4,281,70.6,49010
49,11,440,159,36.14,281,63.86,49011
49,12,473,131,27.7,342,72.3,49012
49,13,407,155,38.08,252,61.92,49013
49,14,342,157,45.91,185,54.09,49014
49,15,235,112,47.66,123,52.34,49015
49,16,357,177,49.58,180,50.42,49016
49,17,257,102,39.69,155,60.31,49017
49,18,502,136,27.09,366,72.91,49018
49,19,283,123,43.46,160,56.54,49019
49,20,568,152,26.76,416,73.24,49020
49,21,201,132,65.67,69,34.33,49021
49,22,382,174,45.55,208,54.45,49022
49,23,466,125,26.82,341,73.18,49023
49,24,267,123,46.07,144,53.93,49024
49,25,486,162,33.33,324,66.67,49025
49,26,425,141,33.18,284,66.82,49026
49,27,381,155,40.68,226,59.32,49027
49,28,515,109,21.17,406,78.83,49028
49,29,454,150,33.04,304,66.96,49029
49,30,430,189,43.95,241,56.05,49030
49,31,298,141,47.32,157,52.68,49031
49,32,347,128,36.89,219,63.11,49032
49,33,316,136,43.04,180,56.96,49033
