ward,precinct,total,PROCO ''JOE'' MORENO,PROCO ''JOE'' MORENO Percent,DANIEL LA SPATA,DANIEL LA SPATA Percent,precinct_id
1,1,321,135,42.06,186,57.94,01001
1,2,246,99,40.24,147,59.76,01002
1,3,298,107,35.91,191,64.09,01003
1,4,288,126,43.75,162,56.25,01004
1,5,275,104,37.82,171,62.18,01005
1,6,278,128,46.04,150,53.96,01006
1,7,230,73,31.74,157,68.26,01007
1,8,264,152,57.58,112,42.42,01008
1,9,274,124,45.26,150,54.74,01009
1,10,277,118,42.6,159,57.4,01010
1,11,309,104,33.66,205,66.34,01011
1,12,343,96,27.99,247,72.01,01012
1,13,155,57,36.77,98,63.23,01013
1,14,292,157,53.77,135,46.23,01014
1,15,248,94,37.9,154,62.1,01015
1,16,355,127,35.77,228,64.23,01016
1,17,276,72,26.09,204,73.91,01017
1,18,298,119,39.93,179,60.07,01018
1,19,326,103,31.6,223,68.4,01019
1,20,231,72,31.17,159,68.83,01020
1,21,305,113,37.05,192,62.95,01021
1,22,191,77,40.31,114,59.69,01022
1,23,406,109,26.85,297,73.15,01023
1,24,236,102,43.22,134,56.78,01024
1,25,259,80,30.89,179,69.11,01025
1,26,192,82,42.71,110,57.29,01026
1,27,294,118,40.14,176,59.86,01027
1,28,106,70,66.04,36,33.96,01028
1,29,388,148,38.14,240,61.86,01029
1,30,323,131,40.56,192,59.44,01030
1,31,303,162,53.47,141,46.53,01031
1,32,300,108,36.0,192,64.0,01032
1,33,340,128,37.65,212,62.35,01033
1,34,227,52,22.91,175,77.09,01034
1,35,376,136,36.17,240,63.83,01035
1,36,290,97,33.45,193,66.55,01036
1,37,284,117,41.2,167,58.8,01037
1,38,254,120,47.24,134,52.76,01038
1,39,242,107,44.21,135,55.79,01039
1,40,323,195,60.37,128,39.63,01040
1,41,211,56,26.54,155,73.46,01041
1,42,98,26,26.53,72,73.47,01042
1,43,177,70,39.55,107,60.45,01043
1,44,252,64,25.4,188,74.6,01044
