ward,precinct,total,LESLIE A. HAIRSTON,LESLIE A. HAIRSTON Percent,WILLIAM CALLOWAY,WILLIAM CALLOWAY Percent,GABRIEL PIEMONTE,GABRIEL PIEMONTE Percent,precinct_id
5,1,226,99,43.81,101,44.69,26,11.5,05001
5,2,189,93,49.21,82,43.39,14,7.41,05002
5,3,350,155,44.29,54,15.43,141,40.29,05003
5,4,386,221,57.25,78,20.21,87,22.54,05004
5,5,270,141,52.22,66,24.44,63,23.33,05005
5,6,242,113,46.69,110,45.45,19,7.85,05006
5,7,328,206,62.8,68,20.73,54,16.46,05007
5,8,371,123,33.15,45,12.13,203,54.72,05008
5,9,410,220,53.66,77,18.78,113,27.56,05009
5,10,217,113,52.07,96,44.24,8,3.69,05010
5,11,379,186,49.08,52,13.72,141,37.2,05011
5,12,182,88,48.35,81,44.51,13,7.14,05012
5,13,244,138,56.56,73,29.92,33,13.52,05013
5,14,295,124,42.03,134,45.42,37,12.54,05014
5,15,291,170,58.42,51,17.53,70,24.05,05015
5,16,252,129,51.19,84,33.33,39,15.48,05016
5,17,265,164,61.89,78,29.43,23,8.68,05017
5,18,327,143,43.73,70,21.41,114,34.86,05018
5,19,362,145,40.06,46,12.71,171,47.24,05019
5,20,391,220,56.27,69,17.65,102,26.09,05020
5,21,333,172,51.65,53,15.92,108,32.43,05021
5,22,431,233,54.06,73,16.94,125,29.0,05022
5,23,570,252,44.21,94,16.49,224,39.3,05023
5,24,360,150,41.67,77,21.39,133,36.94,05024
5,25,306,182,59.48,91,29.74,33,10.78,05025
5,26,327,131,40.06,159,48.62,37,11.31,05026
5,27,332,115,34.64,64,19.28,153,46.08,05027
5,28,333,196,58.86,103,30.93,34,10.21,05028
5,29,328,127,38.72,171,52.13,30,9.15,05029
5,30,206,116,56.31,73,35.44,17,8.25,05030
5,31,235,90,38.3,129,54.89,16,6.81,05031
5,32,407,201,49.39,171,42.01,35,8.6,05032
5,33,334,200,59.88,91,27.25,43,12.87,05033
5,34,391,159,40.66,43,11.0,189,48.34,05034
5,35,404,186,46.04,58,14.36,160,39.6,05035
5,36,183,88,48.09,83,45.36,12,6.56,05036
5,37,436,209,47.94,71,16.28,156,35.78,05037
5,38,275,112,40.73,150,54.55,13,4.73,05038
5,39,290,142,48.97,25,8.62,123,42.41,05039
5,40,262,94,35.88,137,52.29,31,11.83,05040
5,41,233,138,59.23,33,14.16,62,26.61,05041
