ward,precinct,total,DEBRA L. SILVERSTEIN,DEBRA L. SILVERSTEIN Percent,ANDREW D ROWLAS,ANDREW D ROWLAS Percent,ZEHRA QUADRI,ZEHRA QUADRI Percent,precinct_id
50,1,297,233,78.45,46,15.49,18,6.06,50001
50,2,176,148,84.09,17,9.66,11,6.25,50002
50,3,279,233,83.51,30,10.75,16,5.73,50003
50,4,283,193,68.2,47,16.61,43,15.19,50004
50,5,223,185,82.96,24,10.76,14,6.28,50005
50,6,310,204,65.81,66,21.29,40,12.9,50006
50,7,355,198,55.77,95,26.76,62,17.46,50007
50,8,223,113,50.67,69,30.94,41,18.39,50008
50,9,234,135,57.69,69,29.49,30,12.82,50009
50,10,231,154,66.67,37,16.02,40,17.32,50010
50,11,208,193,92.79,5,2.4,10,4.81,50011
50,12,125,99,79.2,15,12.0,11,8.8,50012
50,13,232,104,44.83,63,27.16,65,28.02,50013
50,14,111,95,85.59,9,8.11,7,6.31,50014
50,15,356,197,55.34,105,29.49,54,15.17,50015
50,16,100,69,69.0,18,18.0,13,13.0,50016
50,17,210,137,65.24,33,15.71,40,19.05,50017
50,18,100,98,98.0,1,1.0,1,1.0,50018
50,19,148,60,40.54,30,20.27,58,39.19,50019
50,20,271,141,52.03,59,21.77,71,26.2,50020
50,21,233,136,58.37,61,26.18,36,15.45,50021
50,22,215,157,73.02,32,14.88,26,12.09,50022
50,23,174,128,73.56,11,6.32,35,20.11,50023
50,24,242,211,87.19,16,6.61,15,6.2,50024
50,25,262,203,77.48,44,16.79,15,5.73,50025
50,26,214,122,57.01,41,19.16,51,23.83,50026
50,27,102,60,58.82,19,18.63,23,22.55,50027
50,28,265,144,54.34,43,16.23,78,29.43,50028
50,29,167,91,54.49,27,16.17,49,29.34,50029
50,30,157,76,48.41,34,21.66,47,29.94,50030
50,31,244,119,48.77,61,25.0,64,26.23,50031
50,32,218,100,45.87,54,24.77,64,29.36,50032
50,33,266,223,83.83,27,10.15,16,6.02,50033
50,34,387,247,63.82,82,21.19,58,14.99,50034
50,35,336,212,63.1,74,22.02,50,14.88,50035
50,36,287,154,53.66,65,22.65,68,23.69,50036
50,37,264,138,52.27,85,32.2,41,15.53,50037
50,38,152,124,81.58,21,13.82,7,4.61,50038
50,39,148,101,68.24,24,16.22,23,15.54,50039
50,40,329,279,84.8,19,5.78,31,9.42,50040
