ward,precinct,total,SCOTT WAGUESPACK,SCOTT WAGUESPACK Percent,precinct_id
32,1,278,278,100.0,32001
32,2,236,236,100.0,32002
32,3,331,331,100.0,32003
32,4,271,271,100.0,32004
32,5,252,252,100.0,32005
32,6,258,258,100.0,32006
32,7,237,237,100.0,32007
32,8,272,272,100.0,32008
32,9,235,235,100.0,32009
32,10,260,260,100.0,32010
32,11,274,274,100.0,32011
32,12,226,226,100.0,32012
32,13,241,241,100.0,32013
32,14,312,312,100.0,32014
32,15,265,265,100.0,32015
32,16,265,265,100.0,32016
32,17,283,283,100.0,32017
32,18,238,238,100.0,32018
32,19,242,242,100.0,32019
32,20,251,251,100.0,32020
32,21,335,335,100.0,32021
32,22,365,365,100.0,32022
32,23,292,292,100.0,32023
32,24,171,171,100.0,32024
32,25,261,261,100.0,32025
32,26,326,326,100.0,32026
32,27,263,263,100.0,32027
32,28,290,290,100.0,32028
32,29,299,299,100.0,32029
32,30,248,248,100.0,32030
32,31,263,263,100.0,32031
32,32,292,292,100.0,32032
32,33,283,283,100.0,32033
32,34,247,247,100.0,32034
32,35,257,257,100.0,32035
32,36,275,275,100.0,32036
32,37,229,229,100.0,32037
32,38,224,224,100.0,32038
32,39,281,281,100.0,32039
32,40,311,311,100.0,32040
32,41,304,304,100.0,32041
32,42,211,211,100.0,32042
32,43,265,265,100.0,32043
