ward,precinct,total,JESSICA W. GUTIERREZ,JESSICA W. GUTIERREZ Percent,ARIEL E. REBOYRAS,ARIEL E. REBOYRAS Percent,EDGAR ''EDEK'' ESPARZA,EDGAR ''EDEK'' ESPARZA Percent,precinct_id
30,1,275,143,52.0,119,43.27,13,4.73,30001
30,2,280,90,32.14,175,62.5,15,5.36,30002
30,3,213,107,50.23,95,44.6,11,5.16,30003
30,4,231,103,44.59,107,46.32,21,9.09,30004
30,5,158,73,46.2,83,52.53,2,1.27,30005
30,6,232,73,31.47,150,64.66,9,3.88,30006
30,7,293,141,48.12,143,48.81,9,3.07,30007
30,8,322,136,42.24,172,53.42,14,4.35,30008
30,9,219,68,31.05,137,62.56,14,6.39,30009
30,10,269,95,35.32,156,57.99,18,6.69,30010
30,11,216,128,59.26,85,39.35,3,1.39,30011
30,12,191,62,32.46,123,64.4,6,3.14,30012
30,13,230,91,39.57,129,56.09,10,4.35,30013
30,14,138,59,42.75,68,49.28,11,7.97,30014
30,15,295,119,40.34,170,57.63,6,2.03,30015
30,16,135,55,40.74,71,52.59,9,6.67,30016
30,17,277,143,51.62,119,42.96,15,5.42,30017
30,18,277,178,64.26,89,32.13,10,3.61,30018
30,19,212,119,56.13,87,41.04,6,2.83,30019
30,20,271,130,47.97,125,46.13,16,5.9,30020
30,21,206,79,38.35,116,56.31,11,5.34,30021
30,22,325,195,60.0,121,37.23,9,2.77,30022
30,23,244,126,51.64,100,40.98,18,7.38,30023
30,24,319,193,60.5,113,35.42,13,4.08,30024
30,25,349,213,61.03,122,34.96,14,4.01,30025
30,26,183,91,49.73,84,45.9,8,4.37,30026
30,27,181,88,48.62,88,48.62,5,2.76,30027
30,28,275,140,50.91,126,45.82,9,3.27,30028
30,29,109,48,44.04,50,45.87,11,10.09,30029
30,30,111,63,56.76,45,40.54,3,2.7,30030
30,31,184,92,50.0,83,45.11,9,4.89,30031
30,32,218,95,43.58,112,51.38,11,5.05,30032
