ward,precinct,total,TOM TUNNEY,TOM TUNNEY Percent,ELIZABETH SHYDLOWSKI,ELIZABETH SHYDLOWSKI Percent,precinct_id
44,1,526,340,64.64,43,8.17,44001
44,2,389,232,59.64,66,16.97,44002
44,3,318,274,86.16,9,2.83,44003
44,4,366,260,71.04,35,9.56,44004
44,5,359,229,63.79,44,12.26,44005
44,6,437,266,60.87,55,12.59,44006
44,7,321,238,74.14,36,11.21,44007
44,8,439,262,59.68,50,11.39,44008
44,9,357,220,61.62,49,13.73,44009
44,10,312,204,65.38,40,12.82,44010
44,11,375,222,59.2,47,12.53,44011
44,12,400,265,66.25,33,8.25,44012
44,13,273,173,63.37,28,10.26,44013
44,14,294,180,61.22,31,10.54,44014
44,15,328,219,66.77,29,8.84,44015
44,16,396,253,63.89,42,10.61,44016
44,17,489,308,62.99,40,8.18,44017
44,18,312,229,73.4,36,11.54,44018
44,19,417,260,62.35,33,7.91,44019
44,20,292,176,60.27,34,11.64,44020
44,21,385,255,66.23,40,10.39,44021
44,22,423,267,63.12,49,11.58,44022
44,23,310,197,63.55,34,10.97,44023
44,24,311,243,78.14,27,8.68,44024
44,25,348,205,58.91,50,14.37,44025
44,26,418,241,57.66,38,9.09,44026
44,27,405,262,64.69,49,12.1,44027
44,28,314,189,60.19,27,8.6,44028
44,29,337,224,66.47,44,13.06,44029
44,30,440,249,56.59,42,9.55,44030
44,31,276,184,66.67,32,11.59,44031
44,32,409,266,65.04,47,11.49,44032
44,33,333,214,64.26,25,7.51,44033
44,34,409,281,68.7,27,6.6,44034
44,35,490,368,75.1,44,8.98,44035
44,36,332,196,59.04,24,7.23,44036
44,37,396,232,58.59,24,6.06,44037
44,38,299,166,55.52,47,15.72,44038
44,39,351,212,60.4,39,11.11,44039
44,40,325,218,67.08,40,12.31,44040
44,41,394,255,64.72,48,12.18,44041
