ward,precinct,total,JEANETTE B TAYLOR,JEANETTE B TAYLOR Percent,NICOLE J. JOHNSON,NICOLE J. JOHNSON Percent,MAYA HODARI,MAYA HODARI Percent,JENNIFER O. MADDOX,JENNIFER O. MADDOX Percent,ANDRE SMITH,ANDRE SMITH Percent,DERNARD D. NEWELL,DERNARD D. NEWELL Percent,QUANDRA V. SPEIGHTS,QUANDRA V. SPEIGHTS Percent,KEVIN M. BAILEY,KEVIN M. BAILEY Percent,"ANTHONY DRIVER, JR.","ANTHONY DRIVER, JR. Percent",precinct_id
20,1,267,109,40.82,32,11.99,12,4.49,13,4.87,17,6.37,3,1.12,4,1.5,76,28.46,1,0.37,20001
20,2,120,11,9.17,10,8.33,2,1.67,0,0.0,1,0.83,2,1.67,10,8.33,9,7.5,75,62.5,20002
20,3,208,62,29.81,22,10.58,35,16.83,10,4.81,19,9.13,1,0.48,0,0.0,56,26.92,3,1.44,20003
20,4,101,19,18.81,16,15.84,2,1.98,0,0.0,14,13.86,0,0.0,4,3.96,15,14.85,31,30.69,20004
20,5,274,64,23.36,46,16.79,64,23.36,10,3.65,23,8.39,10,3.65,12,4.38,39,14.23,6,2.19,20005
20,6,101,13,12.87,60,59.41,0,0.0,2,1.98,6,5.94,0,0.0,3,2.97,12,11.88,5,4.95,20006
20,7,225,69,30.67,38,16.89,10,4.44,20,8.89,17,7.56,2,0.89,4,1.78,55,24.44,10,4.44,20007
20,8,226,82,36.28,41,18.14,14,6.19,11,4.87,26,11.5,0,0.0,10,4.42,36,15.93,6,2.65,20008
20,9,376,124,32.98,77,20.48,65,17.29,17,4.52,18,4.79,7,1.86,6,1.6,50,13.3,12,3.19,20009
20,10,153,54,35.29,16,10.46,18,11.76,17,11.11,16,10.46,0,0.0,1,0.65,28,18.3,3,1.96,20010
20,11,288,73,25.35,85,29.51,24,8.33,10,3.47,23,7.99,1,0.35,11,3.82,54,18.75,7,2.43,20011
20,12,151,40,26.49,24,15.89,5,3.31,10,6.62,32,21.19,1,0.66,0,0.0,32,21.19,7,4.64,20012
20,13,276,62,22.46,139,50.36,6,2.17,12,4.35,12,4.35,0,0.0,3,1.09,31,11.23,11,3.99,20013
20,14,144,60,41.67,27,18.75,13,9.03,10,6.94,11,7.64,1,0.69,2,1.39,16,11.11,4,2.78,20014
20,15,153,49,32.03,24,15.69,13,8.5,12,7.84,14,9.15,1,0.65,1,0.65,21,13.73,18,11.76,20015
20,16,265,112,42.26,48,18.11,18,6.79,18,6.79,14,5.28,4,1.51,11,4.15,36,13.58,4,1.51,20016
20,17,126,37,29.37,36,28.57,6,4.76,8,6.35,5,3.97,2,1.59,3,2.38,17,13.49,12,9.52,20017
20,18,163,53,32.52,22,13.5,16,9.82,9,5.52,21,12.88,1,0.61,2,1.23,34,20.86,5,3.07,20018
20,19,228,70,30.7,40,17.54,20,8.77,26,11.4,21,9.21,1,0.44,5,2.19,37,16.23,8,3.51,20019
20,20,133,59,44.36,18,13.53,4,3.01,2,1.5,9,6.77,1,0.75,2,1.5,23,17.29,15,11.28,20020
20,21,141,42,29.79,41,29.08,6,4.26,4,2.84,7,4.96,2,1.42,4,2.84,15,10.64,20,14.18,20021
20,22,333,65,19.52,84,25.23,94,28.23,18,5.41,9,2.7,7,2.1,3,0.9,45,13.51,8,2.4,20022
20,23,231,53,22.94,59,25.54,11,4.76,9,3.9,37,16.02,1,0.43,3,1.3,36,15.58,22,9.52,20023
20,24,286,95,33.22,51,17.83,62,21.68,21,7.34,12,4.2,2,0.7,7,2.45,27,9.44,9,3.15,20024
20,25,174,27,15.52,48,27.59,4,2.3,9,5.17,9,5.17,1,0.57,5,2.87,36,20.69,35,20.11,20025
20,26,286,80,27.97,59,20.63,46,16.08,9,3.15,25,8.74,6,2.1,7,2.45,41,14.34,13,4.55,20026
20,27,120,28,23.33,29,24.17,3,2.5,11,9.17,11,9.17,0,0.0,0,0.0,31,25.83,7,5.83,20027
20,28,146,31,21.23,19,13.01,11,7.53,6,4.11,39,26.71,1,0.68,3,2.05,32,21.92,4,2.74,20028
20,29,331,109,32.93,126,38.07,10,3.02,19,5.74,9,2.72,0,0.0,0,0.0,49,14.8,9,2.72,20029
20,30,112,20,17.86,39,34.82,3,2.68,10,8.93,10,8.93,0,0.0,1,0.89,21,18.75,8,7.14,20030
20,31,262,101,38.55,45,17.18,14,5.34,8,3.05,26,9.92,1,0.38,2,0.76,48,18.32,17,6.49,20031
20,32,210,45,21.43,53,25.24,12,5.71,9,4.29,21,10.0,2,0.95,3,1.43,27,12.86,38,18.1,20032
20,33,143,30,20.98,28,19.58,9,6.29,7,4.9,21,14.69,3,2.1,9,6.29,34,23.78,2,1.4,20033
20,34,360,138,38.33,59,16.39,60,16.67,18,5.0,27,7.5,4,1.11,4,1.11,24,6.67,26,7.22,20034
20,35,136,17,12.5,13,9.56,1,0.74,76,55.88,9,6.62,2,1.47,2,1.47,12,8.82,4,2.94,20035
20,36,68,14,20.59,23,33.82,0,0.0,3,4.41,2,2.94,0,0.0,3,4.41,20,29.41,3,4.41,20036
20,37,69,14,20.29,26,37.68,4,5.8,6,8.7,4,5.8,0,0.0,0,0.0,13,18.84,2,2.9,20037
20,38,79,17,21.52,19,24.05,1,1.27,0,0.0,3,3.8,1,1.27,7,8.86,17,21.52,14,17.72,20038
20,39,19,6,31.58,2,10.53,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,6,31.58,2,10.53,20039
