ward,precinct,total,TIM HENEGHAN,TIM HENEGHAN Percent,ANTHONY V. NAPOLITANO,ANTHONY V. NAPOLITANO Percent,precinct_id
41,1,364,85,23.35,279,76.65,41001
41,2,400,98,24.5,302,75.5,41002
41,3,383,102,26.63,281,73.37,41003
41,4,423,156,36.88,267,63.12,41004
41,5,387,161,41.6,226,58.4,41005
41,6,471,193,40.98,278,59.02,41006
41,7,439,148,33.71,291,66.29,41007
41,8,389,103,26.48,286,73.52,41008
41,9,348,107,30.75,241,69.25,41009
41,10,475,199,41.89,276,58.11,41010
41,11,447,136,30.43,311,69.57,41011
41,12,368,109,29.62,259,70.38,41012
41,13,451,113,25.06,338,74.94,41013
41,14,442,195,44.12,247,55.88,41014
41,15,477,207,43.4,270,56.6,41015
41,16,353,89,25.21,264,74.79,41016
41,17,395,128,32.41,267,67.59,41017
41,18,366,85,23.22,281,76.78,41018
41,19,418,148,35.41,270,64.59,41019
41,20,270,80,29.63,190,70.37,41020
41,21,388,121,31.19,267,68.81,41021
41,22,438,117,26.71,321,73.29,41022
41,23,360,55,15.28,305,84.72,41023
41,24,361,77,21.33,284,78.67,41024
41,25,157,52,33.12,105,66.88,41025
41,26,362,97,26.8,265,73.2,41026
41,27,218,45,20.64,173,79.36,41027
41,28,202,86,42.57,116,57.43,41028
41,29,153,52,33.99,101,66.01,41029
41,30,346,86,24.86,260,75.14,41030
41,31,464,165,35.56,299,64.44,41031
41,32,296,86,29.05,210,70.95,41032
41,33,351,88,25.07,263,74.93,41033
41,34,377,89,23.61,288,76.39,41034
41,35,481,109,22.66,372,77.34,41035
41,36,377,105,27.85,272,72.15,41036
41,37,421,149,35.39,272,64.61,41037
41,38,352,100,28.41,252,71.59,41038
41,39,408,158,38.73,250,61.27,41039
41,40,469,121,25.8,348,74.2,41040
41,41,422,69,16.35,353,83.65,41041
41,42,363,126,34.71,237,65.29,41042
41,43,407,72,17.69,335,82.31,41043
41,44,434,113,26.04,321,73.96,41044
41,45,338,78,23.08,260,76.92,41045
41,46,386,97,25.13,289,74.87,41046
41,47,394,134,34.01,260,65.99,41047
