ward,precinct,total,AMANDA YU DIETERICH,AMANDA YU DIETERICH Percent,CARLOS RAMIREZ-ROSA,CARLOS RAMIREZ-ROSA Percent,precinct_id
35,1,300,108,36.0,192,64.0,35001
35,2,386,126,32.64,260,67.36,35002
35,3,215,94,43.72,121,56.28,35003
35,4,278,104,37.41,174,62.59,35004
35,5,244,89,36.48,155,63.52,35005
35,6,248,93,37.5,155,62.5,35006
35,7,261,87,33.33,174,66.67,35007
35,8,282,116,41.13,166,58.87,35008
35,9,270,121,44.81,149,55.19,35009
35,10,374,118,31.55,256,68.45,35010
35,11,324,133,41.05,191,58.95,35011
35,12,150,52,34.67,98,65.33,35012
35,13,132,54,40.91,78,59.09,35013
35,14,182,84,46.15,98,53.85,35014
35,15,330,119,36.06,211,63.94,35015
35,16,157,41,26.11,116,73.89,35016
35,17,318,115,36.16,203,63.84,35017
35,18,179,62,34.64,117,65.36,35018
35,19,120,51,42.5,69,57.5,35019
35,20,213,96,45.07,117,54.93,35020
35,21,264,80,30.3,184,69.7,35021
35,22,313,157,50.16,156,49.84,35022
35,23,293,126,43.0,167,57.0,35023
35,24,274,125,45.62,149,54.38,35024
35,25,282,107,37.94,175,62.06,35025
35,26,246,102,41.46,144,58.54,35026
35,27,211,103,48.82,108,51.18,35027
35,28,291,145,49.83,146,50.17,35028
35,29,229,114,49.78,115,50.22,35029
35,30,240,124,51.67,116,48.33,35030
35,31,302,162,53.64,140,46.36,35031
