ward,precinct,total,THERESA SIAW,THERESA SIAW Percent,ROBERTO MALDONADO,ROBERTO MALDONADO Percent,precinct_id
26,1,227,67,29.52,85,37.44,26001
26,2,228,59,25.88,119,52.19,26002
26,3,225,69,30.67,99,44.0,26003
26,4,147,61,41.5,73,49.66,26004
26,5,190,66,34.74,95,50.0,26005
26,6,199,52,26.13,104,52.26,26006
26,7,209,61,29.19,115,55.02,26007
26,8,110,24,21.82,65,59.09,26008
26,9,181,32,17.68,131,72.38,26009
26,10,169,65,38.46,92,54.44,26010
26,11,211,45,21.33,138,65.4,26011
26,12,231,57,24.68,121,52.38,26012
26,13,114,38,33.33,63,55.26,26013
26,14,163,36,22.09,92,56.44,26014
26,15,113,28,24.78,76,67.26,26015
26,16,94,20,21.28,67,71.28,26016
26,17,199,35,17.59,65,32.66,26017
26,18,163,40,24.54,103,63.19,26018
26,19,126,45,35.71,66,52.38,26019
26,20,209,51,24.4,119,56.94,26020
26,21,248,74,29.84,112,45.16,26021
26,22,88,21,23.86,61,69.32,26022
26,23,133,32,24.06,85,63.91,26023
26,24,185,51,27.57,112,60.54,26024
26,25,208,58,27.88,102,49.04,26025
26,26,142,65,45.77,46,32.39,26026
26,27,298,130,43.62,121,40.6,26027
26,28,336,61,18.15,93,27.68,26028
26,29,127,30,23.62,81,63.78,26029
26,30,178,61,34.27,87,48.88,26030
26,31,93,22,23.66,59,63.44,26031
26,32,260,53,20.38,49,18.85,26032
26,33,249,73,29.32,117,46.99,26033
26,34,277,82,29.6,155,55.96,26034
26,35,232,80,34.48,121,52.16,26035
26,36,223,69,30.94,83,37.22,26036
26,37,211,58,27.49,132,62.56,26037
26,38,98,32,32.65,58,59.18,26038
26,39,227,75,33.04,91,40.09,26039
26,40,148,40,27.03,88,59.46,26040
26,41,214,94,43.93,92,42.99,26041
26,42,169,54,31.95,92,54.44,26042
26,43,126,19,15.08,84,66.67,26043
26,44,126,38,30.16,75,59.52,26044
26,45,95,22,23.16,61,64.21,26045
26,46,167,20,11.98,59,35.33,26046
26,47,118,27,22.88,82,69.49,26047
26,48,185,52,28.11,84,45.41,26048
26,49,95,23,24.21,61,64.21,26049
