ward,precinct,total,NICHOLAS SPOSATO,NICHOLAS SPOSATO Percent,precinct_id
38,1,175,175,100.0,38001
38,2,358,358,100.0,38002
38,3,215,215,100.0,38003
38,4,227,227,100.0,38004
38,5,208,208,100.0,38005
38,6,216,216,100.0,38006
38,7,230,230,100.0,38007
38,8,186,186,100.0,38008
38,9,275,275,100.0,38009
38,10,176,176,100.0,38010
38,11,181,181,100.0,38011
38,12,286,286,100.0,38012
38,13,260,260,100.0,38013
38,14,250,250,100.0,38014
38,15,183,183,100.0,38015
38,16,252,252,100.0,38016
38,17,299,299,100.0,38017
38,18,249,249,100.0,38018
38,19,278,278,100.0,38019
38,20,264,264,100.0,38020
38,21,190,190,100.0,38021
38,22,207,207,100.0,38022
38,23,227,227,100.0,38023
38,24,275,275,100.0,38024
38,25,189,189,100.0,38025
38,26,226,226,100.0,38026
38,27,207,207,100.0,38027
38,28,296,296,100.0,38028
38,29,214,214,100.0,38029
38,30,214,214,100.0,38030
38,31,231,231,100.0,38031
38,32,177,177,100.0,38032
38,33,197,197,100.0,38033
38,34,237,237,100.0,38034
38,35,217,217,100.0,38035
38,36,184,184,100.0,38036
38,37,210,210,100.0,38037
38,38,203,203,100.0,38038
38,39,252,252,100.0,38039
38,40,213,213,100.0,38040
38,41,206,206,100.0,38041
