ward,precinct,total,MARTY QUINN,MARTY QUINN Percent,precinct_id
13,1,257,202,78.6,13001
13,2,254,215,84.65,13002
13,3,191,161,84.29,13003
13,4,302,239,79.14,13004
13,5,292,263,90.07,13005
13,6,302,243,80.46,13006
13,7,182,166,91.21,13007
13,8,212,181,85.38,13008
13,9,231,197,85.28,13009
13,10,298,245,82.21,13010
13,11,323,253,78.33,13011
13,12,214,181,84.58,13012
13,13,264,228,86.36,13013
13,14,210,178,84.76,13014
13,15,339,313,92.33,13015
13,16,147,136,92.52,13016
13,17,245,207,84.49,13017
13,18,239,202,84.52,13018
13,19,278,255,91.73,13019
13,20,199,178,89.45,13020
13,21,370,321,86.76,13021
13,22,329,270,82.07,13022
13,23,171,159,92.98,13023
13,24,247,200,80.97,13024
13,25,217,188,86.64,13025
13,26,241,185,76.76,13026
13,27,265,237,89.43,13027
13,28,174,159,91.38,13028
13,29,202,174,86.14,13029
13,30,184,169,91.85,13030
13,31,339,287,84.66,13031
13,32,280,245,87.5,13032
13,33,307,237,77.2,13033
13,34,288,257,89.24,13034
13,35,246,223,90.65,13035
13,36,148,127,85.81,13036
13,37,290,249,85.86,13037
13,38,273,233,85.35,13038
13,39,249,229,91.97,13039
13,40,247,213,86.23,13040
13,41,259,230,88.8,13041
13,42,333,266,79.88,13042
13,43,251,213,84.86,13043
13,44,367,354,96.46,13044
13,45,372,312,83.87,13045
13,46,308,271,87.99,13046
13,47,284,263,92.61,13047
13,48,285,245,85.96,13048
