ward,precinct,total,CHUKS ONYEZIA,CHUKS ONYEZIA Percent,DERRICK G. CURTIS,DERRICK G. CURTIS Percent,precinct_id
18,1,203,75,36.95,128,63.05,18001
18,2,174,64,36.78,110,63.22,18002
18,3,226,85,37.61,141,62.39,18003
18,4,303,98,32.34,205,67.66,18004
18,5,144,27,18.75,117,81.25,18005
18,6,232,76,32.76,156,67.24,18006
18,7,232,76,32.76,156,67.24,18007
18,8,287,103,35.89,184,64.11,18008
18,9,263,86,32.7,177,67.3,18009
18,10,371,137,36.93,234,63.07,18010
18,11,195,67,34.36,128,65.64,18011
18,12,272,69,25.37,203,74.63,18012
18,13,265,80,30.19,185,69.81,18013
18,14,270,77,28.52,193,71.48,18014
18,15,231,81,35.06,150,64.94,18015
18,16,224,71,31.7,153,68.3,18016
18,17,218,75,34.4,143,65.6,18017
18,18,248,63,25.4,185,74.6,18018
18,19,246,65,26.42,181,73.58,18019
18,20,188,34,18.09,154,81.91,18020
18,21,349,148,42.41,201,57.59,18021
18,22,323,129,39.94,194,60.06,18022
18,23,229,63,27.51,166,72.49,18023
18,24,200,77,38.5,123,61.5,18024
18,25,237,93,39.24,144,60.76,18025
18,26,320,124,38.75,196,61.25,18026
18,27,170,39,22.94,131,77.06,18027
18,28,260,124,47.69,136,52.31,18028
18,29,243,82,33.74,161,66.26,18029
18,30,246,94,38.21,152,61.79,18030
18,31,258,70,27.13,188,72.87,18031
18,32,257,71,27.63,186,72.37,18032
18,33,202,29,14.36,173,85.64,18033
18,34,347,110,31.7,237,68.3,18034
18,35,327,125,38.23,202,61.77,18035
18,36,240,65,27.08,175,72.92,18036
18,37,314,121,38.54,193,61.46,18037
18,38,239,74,30.96,165,69.04,18038
18,39,151,37,24.5,114,75.5,18039
18,40,251,90,35.86,161,64.14,18040
18,41,326,117,35.89,209,64.11,18041
18,42,181,49,27.07,132,72.93,18042
18,43,168,65,38.69,103,61.31,18043
18,44,239,90,37.66,149,62.34,18044
18,45,205,66,32.2,139,67.8,18045
18,46,250,90,36.0,160,64.0,18046
18,47,151,43,28.48,108,71.52,18047
18,48,175,38,21.71,137,78.29,18048
18,49,135,29,21.48,106,78.52,18049
18,50,169,43,25.44,126,74.56,18050
