ward,precinct,total,SUSAN SADLOWSKI GARZA,SUSAN SADLOWSKI GARZA Percent,ROBERT ''BOBBY'' LONCAR,ROBERT ''BOBBY'' LONCAR Percent,precinct_id
10,1,208,162,77.88,46,22.12,10001
10,2,296,198,66.89,98,33.11,10002
10,3,307,172,56.03,135,43.97,10003
10,4,162,113,69.75,49,30.25,10004
10,5,244,169,69.26,75,30.74,10005
10,6,261,101,38.7,160,61.3,10006
10,7,195,125,64.1,70,35.9,10007
10,8,99,76,76.77,23,23.23,10008
10,9,275,167,60.73,108,39.27,10009
10,10,312,218,69.87,94,30.13,10010
10,11,294,239,81.29,55,18.71,10011
10,12,181,135,74.59,46,25.41,10012
10,13,239,191,79.92,48,20.08,10013
10,14,366,263,71.86,103,28.14,10014
10,15,453,335,73.95,118,26.05,10015
10,16,188,129,68.62,59,31.38,10016
10,17,368,231,62.77,137,37.23,10017
10,18,130,98,75.38,32,24.62,10018
10,19,314,179,57.01,135,42.99,10019
10,20,293,198,67.58,95,32.42,10020
10,21,258,145,56.2,113,43.8,10021
10,22,124,97,78.23,27,21.77,10022
10,23,213,164,77.0,49,23.0,10023
10,24,274,179,65.33,95,34.67,10024
10,25,78,58,74.36,20,25.64,10025
10,26,169,118,69.82,51,30.18,10026
10,27,158,108,68.35,50,31.65,10027
10,28,304,235,77.3,69,22.7,10028
10,29,219,161,73.52,58,26.48,10029
10,30,219,168,76.71,51,23.29,10030
10,31,167,119,71.26,48,28.74,10031
10,32,276,197,71.38,79,28.62,10032
10,33,182,131,71.98,51,28.02,10033
10,34,154,112,72.73,42,27.27,10034
10,35,367,242,65.94,125,34.06,10035
10,36,66,40,60.61,26,39.39,10036
