ward,precinct,total,EILEEN DORDEK,EILEEN DORDEK Percent,ANGELA ''ANGIE'' MALONEY,ANGELA ''ANGIE'' MALONEY Percent,HEATHER WAY KITZES,HEATHER WAY KITZES Percent,MICHAEL A. NEGRON,MICHAEL A. NEGRON Percent,MATT MARTIN,MATT MARTIN Percent,GUS KATSAFAROS,GUS KATSAFAROS Percent,THOMAS M. SCHWARTZERS,THOMAS M. SCHWARTZERS Percent,KIMBALL LADIEN,KIMBALL LADIEN Percent,JEFF JENKINS,JEFF JENKINS Percent,precinct_id
47,1,220,47,21.36,10,4.55,18,8.18,50,22.73,72,32.73,3,1.36,9,4.09,3,1.36,8,3.64,47001
47,2,455,63,13.85,7,1.54,36,7.91,110,24.18,180,39.56,10,2.2,13,2.86,1,0.22,35,7.69,47002
47,3,456,61,13.38,21,4.61,15,3.29,129,28.29,119,26.1,9,1.97,19,4.17,0,0.0,83,18.2,47003
47,4,442,62,14.03,7,1.58,23,5.2,151,34.16,142,32.13,10,2.26,15,3.39,0,0.0,32,7.24,47004
47,5,412,74,17.96,20,4.85,19,4.61,88,21.36,193,46.84,5,1.21,4,0.97,0,0.0,9,2.18,47005
47,6,419,87,20.76,21,5.01,39,9.31,110,26.25,122,29.12,7,1.67,13,3.1,5,1.19,15,3.58,47006
47,7,329,63,19.15,14,4.26,13,3.95,91,27.66,117,35.56,1,0.3,8,2.43,1,0.3,21,6.38,47007
47,8,432,48,11.11,9,2.08,23,5.32,115,26.62,101,23.38,5,1.16,7,1.62,4,0.93,120,27.78,47008
47,9,360,76,21.11,15,4.17,23,6.39,63,17.5,132,36.67,4,1.11,8,2.22,12,3.33,27,7.5,47009
47,10,478,95,19.87,32,6.69,14,2.93,85,17.78,205,42.89,24,5.02,1,0.21,1,0.21,21,4.39,47010
47,11,347,63,18.16,17,4.9,23,6.63,82,23.63,109,31.41,11,3.17,12,3.46,12,3.46,18,5.19,47011
47,12,493,67,13.59,19,3.85,14,2.84,120,24.34,176,35.7,8,1.62,6,1.22,2,0.41,81,16.43,47012
47,13,400,69,17.25,18,4.5,13,3.25,68,17.0,177,44.25,13,3.25,5,1.25,1,0.25,36,9.0,47013
47,14,399,58,14.54,14,3.51,7,1.75,107,26.82,75,18.8,4,1.0,2,0.5,0,0.0,132,33.08,47014
47,15,456,73,16.01,20,4.39,13,2.85,57,12.5,273,59.87,3,0.66,7,1.54,1,0.22,9,1.97,47015
47,16,408,40,9.8,11,2.7,13,3.19,77,18.87,165,40.44,9,2.21,10,2.45,1,0.25,82,20.1,47016
47,17,394,72,18.27,10,2.54,14,3.55,88,22.34,105,26.65,5,1.27,8,2.03,0,0.0,92,23.35,47017
47,18,374,78,20.86,10,2.67,25,6.68,95,25.4,130,34.76,7,1.87,12,3.21,1,0.27,16,4.28,47018
47,19,441,62,14.06,27,6.12,14,3.17,88,19.95,233,52.83,3,0.68,5,1.13,2,0.45,7,1.59,47019
47,20,368,72,19.57,19,5.16,10,2.72,57,15.49,160,43.48,11,2.99,13,3.53,1,0.27,25,6.79,47020
47,21,384,62,16.15,16,4.17,3,0.78,100,26.04,145,37.76,13,3.39,7,1.82,2,0.52,36,9.38,47021
47,22,450,112,24.89,24,5.33,19,4.22,61,13.56,201,44.67,6,1.33,2,0.44,0,0.0,25,5.56,47022
47,23,445,87,19.55,31,6.97,16,3.6,71,15.96,225,50.56,1,0.22,3,0.67,4,0.9,7,1.57,47023
47,24,383,67,17.49,8,2.09,21,5.48,87,22.72,141,36.81,7,1.83,29,7.57,1,0.26,22,5.74,47024
47,25,436,72,16.51,19,4.36,25,5.73,106,24.31,170,38.99,4,0.92,4,0.92,2,0.46,34,7.8,47025
47,26,471,77,16.35,24,5.1,12,2.55,82,17.41,253,53.72,3,0.64,2,0.42,0,0.0,18,3.82,47026
47,27,365,62,16.99,13,3.56,20,5.48,100,27.4,134,36.71,6,1.64,4,1.1,1,0.27,25,6.85,47027
47,28,401,57,14.21,21,5.24,10,2.49,65,16.21,168,41.9,11,2.74,4,1.0,0,0.0,65,16.21,47028
