ward,precinct,total,UGO OKERE,UGO OKERE Percent,ANDRÃ‰ VASQUEZ,ANDRÃ‰ VASQUEZ Percent,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent,MAGGIE O'KEEFE,MAGGIE O'KEEFE Percent,precinct_id
40,1,287,15,5.23,25,8.71,167,58.19,36,12.54,40001
40,2,262,12,4.58,32,12.21,122,46.56,38,14.5,40002
40,3,405,55,13.58,104,25.68,125,30.86,69,17.04,40003
40,4,205,12,5.85,37,18.05,85,41.46,35,17.07,40004
40,5,368,63,17.12,55,14.95,130,35.33,79,21.47,40005
40,6,408,81,19.85,69,16.91,66,16.18,115,28.19,40006
40,7,382,54,14.14,58,15.18,123,32.2,55,14.4,40007
40,8,452,82,18.14,100,22.12,89,19.69,97,21.46,40008
40,9,252,21,8.33,47,18.65,125,49.6,25,9.92,40009
40,10,262,30,11.45,50,19.08,102,38.93,40,15.27,40010
40,11,405,54,13.33,65,16.05,131,32.35,94,23.21,40011
40,12,273,37,13.55,38,13.92,85,31.14,81,29.67,40012
40,13,519,218,42.0,82,15.8,90,17.34,58,11.18,40013
40,14,226,11,4.87,24,10.62,124,54.87,38,16.81,40014
40,15,283,25,8.83,33,11.66,136,48.06,23,8.13,40015
40,16,492,143,29.07,106,21.54,105,21.34,73,14.84,40016
40,17,336,27,8.04,87,25.89,129,38.39,49,14.58,40017
40,18,198,15,7.58,54,27.27,77,38.89,27,13.64,40018
40,19,372,47,12.63,61,16.4,172,46.24,45,12.1,40019
40,20,273,31,11.36,47,17.22,118,43.22,31,11.36,40020
40,21,445,42,9.44,118,26.52,129,28.99,53,11.91,40021
40,22,353,50,14.16,71,20.11,84,23.8,56,15.86,40022
40,23,476,61,12.82,165,34.66,101,21.22,58,12.18,40023
40,24,251,18,7.17,26,10.36,141,56.18,25,9.96,40024
40,25,416,74,17.79,64,15.38,90,21.63,96,23.08,40025
40,26,390,82,21.03,75,19.23,99,25.38,54,13.85,40026
40,27,424,39,9.2,156,36.79,127,29.95,40,9.43,40027
40,28,379,65,17.15,115,30.34,95,25.07,59,15.57,40028
40,29,362,31,8.56,54,14.92,191,52.76,24,6.63,40029
40,30,360,14,3.89,62,17.22,206,57.22,34,9.44,40030
40,31,402,59,14.68,71,17.66,84,20.9,86,21.39,40031
40,32,401,56,13.97,103,25.69,101,25.19,84,20.95,40032
40,33,394,85,21.57,65,16.5,95,24.11,40,10.15,40033
40,34,276,22,7.97,19,6.88,171,61.96,37,13.41,40034
40,35,208,12,5.77,32,15.38,92,44.23,32,15.38,40035
40,36,340,18,5.29,103,30.29,109,32.06,35,10.29,40036
40,37,292,18,6.16,101,34.59,81,27.74,42,14.38,40037
40,38,447,82,18.34,94,21.03,116,25.95,87,19.46,40038
40,39,77,9,11.69,15,19.48,33,42.86,8,10.39,40039
