ward,precinct,total,MIGUEL BAUTISTA,MIGUEL BAUTISTA Percent,JASON C. ERVIN,JASON C. ERVIN Percent,JASMINE JACKSON,JASMINE JACKSON Percent,BEVERLY MILES,BEVERLY MILES Percent,precinct_id
28,1,110,1,0.91,81,73.64,16,14.55,12,10.91,28001
28,2,187,26,13.9,103,55.08,40,21.39,18,9.63,28002
28,3,139,7,5.04,89,64.03,26,18.71,17,12.23,28003
28,4,164,59,35.98,72,43.9,22,13.41,11,6.71,28004
28,5,134,21,15.67,99,73.88,10,7.46,4,2.99,28005
28,6,156,35,22.44,91,58.33,15,9.62,15,9.62,28006
28,7,174,10,5.75,112,64.37,27,15.52,25,14.37,28007
28,8,192,43,22.4,115,59.9,17,8.85,17,8.85,28008
28,9,161,5,3.11,113,70.19,28,17.39,15,9.32,28009
28,10,244,83,34.02,111,45.49,38,15.57,12,4.92,28010
28,11,357,160,44.82,120,33.61,58,16.25,19,5.32,28011
28,12,175,1,0.57,119,68.0,28,16.0,27,15.43,28012
28,13,231,7,3.03,154,66.67,37,16.02,33,14.29,28013
28,14,155,4,2.58,95,61.29,39,25.16,17,10.97,28014
28,15,57,2,3.51,42,73.68,7,12.28,6,10.53,28015
28,16,104,2,1.92,75,72.12,12,11.54,15,14.42,28016
28,17,146,3,2.05,112,76.71,16,10.96,15,10.27,28017
28,18,144,13,9.03,93,64.58,29,20.14,9,6.25,28018
28,19,185,80,43.24,86,46.49,11,5.95,8,4.32,28019
28,20,176,17,9.66,118,67.05,27,15.34,14,7.95,28020
28,21,145,1,0.69,106,73.1,23,15.86,15,10.34,28021
28,22,172,31,18.02,94,54.65,30,17.44,17,9.88,28022
28,23,203,4,1.97,152,74.88,19,9.36,28,13.79,28023
28,24,159,3,1.89,108,67.92,24,15.09,24,15.09,28024
28,25,248,10,4.03,183,73.79,37,14.92,18,7.26,28025
28,26,164,4,2.44,113,68.9,29,17.68,18,10.98,28026
28,27,219,73,33.33,121,55.25,22,10.05,3,1.37,28027
28,28,267,80,29.96,147,55.06,20,7.49,20,7.49,28028
28,29,87,6,6.9,40,45.98,35,40.23,6,6.9,28029
28,30,28,1,3.57,22,78.57,5,17.86,0,0.0,28030
28,31,311,10,3.22,213,68.49,56,18.01,32,10.29,28031
28,32,162,7,4.32,111,68.52,29,17.9,15,9.26,28032
28,33,200,3,1.5,117,58.5,26,13.0,54,27.0,28033
28,34,255,24,9.41,156,61.18,68,26.67,7,2.75,28034
28,35,178,7,3.93,112,62.92,55,30.9,4,2.25,28035
28,36,98,2,2.04,75,76.53,18,18.37,3,3.06,28036
28,37,201,6,2.99,150,74.63,19,9.45,26,12.94,28037
28,38,74,3,4.05,46,62.16,22,29.73,3,4.05,28038
28,39,114,0,0.0,79,69.3,15,13.16,20,17.54,28039
28,40,224,6,2.68,165,73.66,30,13.39,23,10.27,28040
28,41,117,3,2.56,79,67.52,22,18.8,13,11.11,28041
28,42,167,5,2.99,115,68.86,25,14.97,22,13.17,28042
28,43,206,7,3.4,148,71.84,27,13.11,24,11.65,28043
28,44,125,2,1.6,68,54.4,13,10.4,42,33.6,28044
28,45,187,67,35.83,88,47.06,23,12.3,9,4.81,28045
28,46,368,178,48.37,146,39.67,35,9.51,9,2.45,28046
