ward,precinct,total,RAYNETTA GREENLEAF,RAYNETTA GREENLEAF Percent,precinct_id
17,1,183,43,23.5,17001
17,2,192,73,38.02,17002
17,3,215,62,28.84,17003
17,4,265,104,39.25,17004
17,5,167,54,32.34,17005
17,6,153,50,32.68,17006
17,7,137,47,34.31,17007
17,8,143,26,18.18,17008
17,9,165,59,35.76,17009
17,10,283,102,36.04,17010
17,11,161,49,30.43,17011
17,12,231,83,35.93,17012
17,13,195,66,33.85,17013
17,14,222,51,22.97,17014
17,15,217,77,35.48,17015
17,16,170,49,28.82,17016
17,17,192,88,45.83,17017
17,18,241,73,30.29,17018
17,19,103,36,34.95,17019
17,20,275,116,42.18,17020
17,21,336,101,30.06,17021
17,22,174,58,33.33,17022
17,23,122,29,23.77,17023
17,24,259,82,31.66,17024
17,25,145,52,35.86,17025
17,26,232,88,37.93,17026
17,27,204,89,43.63,17027
17,28,172,75,43.6,17028
17,29,219,65,29.68,17029
17,30,134,35,26.12,17030
17,31,124,36,29.03,17031
17,32,153,50,32.68,17032
17,33,127,41,32.28,17033
17,34,150,40,26.67,17034
17,35,150,54,36.0,17035
17,36,214,38,17.76,17036
17,37,184,46,25.0,17037
17,38,196,85,43.37,17038
17,39,209,74,35.41,17039
17,40,228,55,24.12,17040
17,41,268,93,34.7,17041
