ward,precinct,total,HARRY OSTERMAN,HARRY OSTERMAN Percent,precinct_id
48,1,320,275,85.94,48001
48,2,203,180,88.67,48002
48,3,350,289,82.57,48003
48,4,363,303,83.47,48004
48,5,268,244,91.04,48005
48,6,364,296,81.32,48006
48,7,335,307,91.64,48007
48,8,209,182,87.08,48008
48,9,232,188,81.03,48009
48,10,513,448,87.33,48010
48,11,355,324,91.27,48011
48,12,427,359,84.07,48012
48,13,454,380,83.7,48013
48,14,208,152,73.08,48014
48,15,190,160,84.21,48015
48,16,307,255,83.06,48016
48,17,332,268,80.72,48017
48,18,257,185,71.98,48018
48,19,282,241,85.46,48019
48,20,411,349,84.91,48020
48,21,424,335,79.01,48021
48,22,362,297,82.04,48022
48,23,374,327,87.43,48023
48,24,351,286,81.48,48024
48,25,366,321,87.7,48025
48,26,140,125,89.29,48026
48,27,303,227,74.92,48027
48,28,376,296,78.72,48028
48,29,237,200,84.39,48029
48,30,361,323,89.47,48030
48,31,359,269,74.93,48031
48,32,306,232,75.82,48032
48,33,240,208,86.67,48033
48,34,308,271,87.99,48034
48,35,246,195,79.27,48035
48,36,239,192,80.33,48036
48,37,341,297,87.1,48037
48,38,431,396,91.88,48038
48,39,310,267,86.13,48039
48,40,314,267,85.03,48040
48,41,353,286,81.02,48041
48,42,425,356,83.76,48042
48,43,348,272,78.16,48043
48,44,447,388,86.8,48044
48,45,278,237,85.25,48045
48,46,238,187,78.57,48046
