ward,precinct,total,PATRICK DALEY THOMPSON,PATRICK DALEY THOMPSON Percent,precinct_id
11,1,321,235,73.21,11001
11,2,13,6,46.15,11002
11,3,245,113,46.12,11003
11,4,247,179,72.47,11004
11,5,351,198,56.41,11005
11,6,378,238,62.96,11006
11,7,227,140,61.67,11007
11,8,288,196,68.06,11008
11,9,254,156,61.42,11009
11,10,302,228,75.5,11010
11,11,299,193,64.55,11011
11,12,507,439,86.59,11012
11,13,419,354,84.49,11013
11,14,192,145,75.52,11014
11,15,135,98,72.59,11015
11,16,220,168,76.36,11016
11,17,360,225,62.5,11017
11,18,276,228,82.61,11018
11,19,382,207,54.19,11019
11,20,235,196,83.4,11020
11,21,478,396,82.85,11021
11,22,387,259,66.93,11022
11,23,216,184,85.19,11023
11,24,443,395,89.16,11024
11,25,402,280,69.65,11025
11,26,401,293,73.07,11026
11,27,102,68,66.67,11027
11,28,138,119,86.23,11028
11,29,428,367,85.75,11029
11,30,146,109,74.66,11030
11,31,350,293,83.71,11031
11,32,184,160,86.96,11032
11,33,320,216,67.5,11033
11,34,145,116,80.0,11034
11,35,110,98,89.09,11035
11,36,129,103,79.84,11036
11,37,98,69,70.41,11037
11,38,135,70,51.85,11038
