ward,precinct,total,ANTHONY A. BEALE,ANTHONY A. BEALE Percent,CLEOPATRA WATSON,CLEOPATRA WATSON Percent,PAUL COLLINS,PAUL COLLINS Percent,ESSIE HALL,ESSIE HALL Percent,precinct_id
9,1,239,153,64.02,70,29.29,11,4.6,5,2.09,09001
9,2,204,126,61.76,43,21.08,15,7.35,20,9.8,09002
9,3,122,34,27.87,54,44.26,12,9.84,22,18.03,09003
9,4,187,105,56.15,33,17.65,32,17.11,17,9.09,09004
9,5,244,142,58.2,74,30.33,14,5.74,14,5.74,09005
9,6,219,133,60.73,53,24.2,16,7.31,17,7.76,09006
9,7,190,107,56.32,51,26.84,12,6.32,20,10.53,09007
9,8,191,104,54.45,78,40.84,5,2.62,4,2.09,09008
9,9,286,196,68.53,68,23.78,13,4.55,9,3.15,09009
9,10,175,118,67.43,44,25.14,3,1.71,10,5.71,09010
9,11,168,86,51.19,44,26.19,23,13.69,15,8.93,09011
9,12,281,142,50.53,61,21.71,66,23.49,12,4.27,09012
9,13,293,207,70.65,50,17.06,17,5.8,19,6.48,09013
9,14,314,220,70.06,59,18.79,18,5.73,17,5.41,09014
9,15,149,44,29.53,54,36.24,20,13.42,31,20.81,09015
9,16,218,136,62.39,35,16.06,33,15.14,14,6.42,09016
9,17,151,98,64.9,41,27.15,4,2.65,8,5.3,09017
9,18,164,99,60.37,35,21.34,13,7.93,17,10.37,09018
9,19,209,121,57.89,50,23.92,16,7.66,22,10.53,09019
9,20,247,166,67.21,52,21.05,12,4.86,17,6.88,09020
9,21,215,152,70.7,47,21.86,10,4.65,6,2.79,09021
9,22,280,167,59.64,61,21.79,41,14.64,11,3.93,09022
9,23,296,164,55.41,86,29.05,34,11.49,12,4.05,09023
9,24,249,174,69.88,52,20.88,8,3.21,15,6.02,09024
9,25,249,134,53.82,79,31.73,25,10.04,11,4.42,09025
9,26,175,85,48.57,32,18.29,14,8.0,44,25.14,09026
9,27,197,124,62.94,58,29.44,6,3.05,9,4.57,09027
9,28,94,61,64.89,18,19.15,8,8.51,7,7.45,09028
9,29,201,112,55.72,65,32.34,7,3.48,17,8.46,09029
9,30,175,118,67.43,42,24.0,7,4.0,8,4.57,09030
9,31,167,98,58.68,50,29.94,3,1.8,16,9.58,09031
9,32,229,151,65.94,48,20.96,23,10.04,7,3.06,09032
9,33,161,73,45.34,41,25.47,17,10.56,30,18.63,09033
9,34,183,86,46.99,69,37.7,14,7.65,14,7.65,09034
9,35,254,166,65.35,62,24.41,16,6.3,10,3.94,09035
9,36,183,97,53.01,56,30.6,22,12.02,8,4.37,09036
9,37,370,238,64.32,75,20.27,45,12.16,12,3.24,09037
9,38,222,162,72.97,40,18.02,9,4.05,11,4.95,09038
9,39,256,127,49.61,77,30.08,20,7.81,32,12.5,09039
9,40,282,183,64.89,71,25.18,23,8.16,5,1.77,09040
9,41,197,113,57.36,43,21.83,20,10.15,21,10.66,09041
9,42,281,151,53.74,101,35.94,17,6.05,12,4.27,09042
9,43,196,122,62.24,56,28.57,6,3.06,12,6.12,09043
9,44,230,110,47.83,66,28.7,32,13.91,22,9.57,09044
9,45,167,100,59.88,26,15.57,24,14.37,17,10.18,09045
9,46,242,152,62.81,62,25.62,14,5.79,14,5.79,09046
9,47,288,162,56.25,94,32.64,16,5.56,16,5.56,09047
9,48,261,158,60.54,59,22.61,36,13.79,8,3.07,09048
9,49,271,177,65.31,53,19.56,22,8.12,19,7.01,09049
9,50,350,179,51.14,125,35.71,25,7.14,21,6.0,09050
9,51,251,140,55.78,86,34.26,19,7.57,6,2.39,09051
