ward,precinct,total,KATIE SIERACKI,KATIE SIERACKI Percent,R. RODRIGUEZ SANCHEZ,R. RODRIGUEZ SANCHEZ Percent,DEBORAH L. MELL,DEBORAH L. MELL Percent,precinct_id
33,1,365,77,21.1,201,55.07,87,23.84,33001
33,2,478,70,14.64,226,47.28,182,38.08,33002
33,3,495,81,16.36,254,51.31,160,32.32,33003
33,4,439,80,18.22,193,43.96,166,37.81,33004
33,5,319,42,13.17,141,44.2,136,42.63,33005
33,6,305,42,13.77,108,35.41,155,50.82,33006
33,7,383,64,16.71,205,53.52,114,29.77,33007
33,8,570,150,26.32,163,28.6,257,45.09,33008
33,9,425,79,18.59,124,29.18,222,52.24,33009
33,10,388,78,20.1,139,35.82,171,44.07,33010
33,11,404,59,14.6,155,38.37,190,47.03,33011
33,12,341,46,13.49,131,38.42,164,48.09,33012
33,13,338,56,16.57,155,45.86,127,37.57,33013
33,14,161,26,16.15,76,47.2,59,36.65,33014
33,15,347,27,7.78,192,55.33,128,36.89,33015
33,16,468,72,15.38,178,38.03,218,46.58,33016
33,17,389,47,12.08,178,45.76,164,42.16,33017
33,18,430,72,16.74,229,53.26,129,30.0,33018
33,19,365,62,16.99,147,40.27,156,42.74,33019
33,20,400,84,21.0,200,50.0,116,29.0,33020
33,21,378,38,10.05,151,39.95,189,50.0,33021
33,22,354,43,12.15,93,26.27,218,61.58,33022
33,23,417,82,19.66,154,36.93,181,43.41,33023
33,24,571,147,25.74,129,22.59,295,51.66,33024
33,25,425,74,17.41,149,35.06,202,47.53,33025
33,26,268,26,9.7,164,61.19,78,29.1,33026
33,27,366,60,16.39,174,47.54,132,36.07,33027
33,28,346,38,10.98,189,54.62,119,34.39,33028
