ward,precinct,total,DWAYNE TRUSS,DWAYNE TRUSS Percent,CHRIS TALIAFERRO,CHRIS TALIAFERRO Percent,ZERLINA A. SMITH,ZERLINA A. SMITH Percent,precinct_id
29,1,358,32,8.94,307,85.75,19,5.31,29001
29,2,304,75,24.67,167,54.93,62,20.39,29002
29,3,228,81,35.53,90,39.47,57,25.0,29003
29,4,264,124,46.97,117,44.32,23,8.71,29004
29,5,155,68,43.87,73,47.1,14,9.03,29005
29,6,171,49,28.65,88,51.46,34,19.88,29006
29,7,254,37,14.57,194,76.38,23,9.06,29007
29,8,153,42,27.45,78,50.98,33,21.57,29008
29,9,334,34,10.18,273,81.74,27,8.08,29009
29,10,375,46,12.27,309,82.4,20,5.33,29010
29,11,141,57,40.43,61,43.26,23,16.31,29011
29,12,307,54,17.59,224,72.96,29,9.45,29012
29,13,255,99,38.82,126,49.41,30,11.76,29013
29,14,221,64,28.96,95,42.99,62,28.05,29014
29,15,253,73,28.85,151,59.68,29,11.46,29015
29,16,225,95,42.22,80,35.56,50,22.22,29016
29,17,209,126,60.29,64,30.62,19,9.09,29017
29,18,222,90,40.54,105,47.3,27,12.16,29018
29,19,229,67,29.26,130,56.77,32,13.97,29019
29,20,244,81,33.2,109,44.67,54,22.13,29020
29,21,245,97,39.59,94,38.37,54,22.04,29021
29,22,200,73,36.5,90,45.0,37,18.5,29022
29,23,280,31,11.07,227,81.07,22,7.86,29023
29,24,211,82,38.86,101,47.87,28,13.27,29024
29,25,303,137,45.21,138,45.54,28,9.24,29025
29,26,259,70,27.03,152,58.69,37,14.29,29026
29,27,198,81,40.91,96,48.48,21,10.61,29027
29,28,256,47,18.36,118,46.09,91,35.55,29028
29,29,250,18,7.2,216,86.4,16,6.4,29029
29,30,366,53,14.48,255,69.67,58,15.85,29030
29,31,208,12,5.77,179,86.06,17,8.17,29031
29,32,216,18,8.33,182,84.26,16,7.41,29032
29,33,208,72,34.62,112,53.85,24,11.54,29033
29,34,171,46,26.9,93,54.39,32,18.71,29034
29,35,162,65,40.12,67,41.36,30,18.52,29035
29,36,208,58,27.88,129,62.02,21,10.1,29036
29,37,212,84,39.62,91,42.92,37,17.45,29037
29,38,214,24,11.21,169,78.97,21,9.81,29038
29,39,238,19,7.98,192,80.67,27,11.34,29039
29,40,279,116,41.58,128,45.88,35,12.54,29040
29,41,180,93,51.67,72,40.0,15,8.33,29041
29,42,242,74,30.58,118,48.76,50,20.66,29042
29,43,316,51,16.14,236,74.68,29,9.18,29043
29,44,295,100,33.9,139,47.12,56,18.98,29044
