ward,precinct,total,EMMA M. MITTS,EMMA M. MITTS Percent,TARA STAMPS,TARA STAMPS Percent,DEONDRE RUTUES,DEONDRE RUTUES Percent,precinct_id
37,1,129,82,63.57,33,25.58,14,10.85,37001
37,2,130,75,57.69,40,30.77,15,11.54,37002
37,3,124,69,55.65,46,37.1,9,7.26,37003
37,4,154,68,44.16,71,46.1,15,9.74,37004
37,5,255,125,49.02,120,47.06,10,3.92,37005
37,6,211,99,46.92,90,42.65,22,10.43,37006
37,7,135,82,60.74,40,29.63,13,9.63,37007
37,8,106,62,58.49,37,34.91,7,6.6,37008
37,9,194,88,45.36,98,50.52,8,4.12,37009
37,10,210,103,49.05,103,49.05,4,1.9,37010
37,11,133,89,66.92,37,27.82,7,5.26,37011
37,12,139,65,46.76,62,44.6,12,8.63,37012
37,13,128,76,59.38,45,35.16,7,5.47,37013
37,14,190,86,45.26,101,53.16,3,1.58,37014
37,15,240,155,64.58,78,32.5,7,2.92,37015
37,16,231,127,54.98,87,37.66,17,7.36,37016
37,17,177,109,61.58,61,34.46,7,3.95,37017
37,18,185,106,57.3,67,36.22,12,6.49,37018
37,19,111,63,56.76,43,38.74,5,4.5,37019
37,20,149,87,58.39,54,36.24,8,5.37,37020
37,21,181,120,66.3,49,27.07,12,6.63,37021
37,22,175,101,57.71,69,39.43,5,2.86,37022
37,23,198,103,52.02,87,43.94,8,4.04,37023
37,24,221,100,45.25,95,42.99,26,11.76,37024
37,25,170,92,54.12,73,42.94,5,2.94,37025
37,26,266,142,53.38,108,40.6,16,6.02,37026
37,27,217,137,63.13,73,33.64,7,3.23,37027
37,28,171,112,65.5,54,31.58,5,2.92,37028
37,29,199,85,42.71,100,50.25,14,7.04,37029
37,30,193,115,59.59,71,36.79,7,3.63,37030
37,31,219,120,54.79,89,40.64,10,4.57,37031
37,32,188,79,42.02,93,49.47,16,8.51,37032
37,33,242,136,56.2,94,38.84,12,4.96,37033
37,34,180,112,62.22,63,35.0,5,2.78,37034
37,35,235,129,54.89,99,42.13,7,2.98,37035
37,36,188,105,55.85,72,38.3,11,5.85,37036
37,37,257,140,54.47,101,39.3,16,6.23,37037
37,38,245,100,40.82,124,50.61,21,8.57,37038
37,39,177,96,54.24,71,40.11,10,5.65,37039
37,40,237,112,47.26,113,47.68,12,5.06,37040
37,41,180,99,55.0,72,40.0,9,5.0,37041
