ward,precinct,total,EDWARD M. BURKE,EDWARD M. BURKE Percent,JAIME GUZMAN,JAIME GUZMAN Percent,TANYA G. PATINO,TANYA G. PATINO Percent,precinct_id
14,1,438,315,71.92,41,9.36,82,18.72,14001
14,2,342,161,47.08,53,15.5,128,37.43,14002
14,3,210,90,42.86,50,23.81,70,33.33,14003
14,4,334,238,71.26,45,13.47,51,15.27,14004
14,5,323,156,48.3,65,20.12,102,31.58,14005
14,6,118,72,61.02,10,8.47,36,30.51,14006
14,7,263,106,40.3,59,22.43,98,37.26,14007
14,8,271,103,38.01,73,26.94,95,35.06,14008
14,9,374,246,65.78,45,12.03,83,22.19,14009
14,10,160,79,49.38,32,20.0,49,30.63,14010
14,11,158,102,64.56,15,9.49,41,25.95,14011
14,12,266,127,47.74,68,25.56,71,26.69,14012
14,13,235,147,62.55,32,13.62,56,23.83,14013
14,14,245,154,62.86,30,12.24,61,24.9,14014
14,15,244,108,44.26,67,27.46,69,28.28,14015
14,16,191,112,58.64,33,17.28,46,24.08,14016
14,17,209,100,47.85,24,11.48,85,40.67,14017
14,18,120,64,53.33,22,18.33,34,28.33,14018
14,19,218,138,63.3,21,9.63,59,27.06,14019
14,20,142,64,45.07,23,16.2,55,38.73,14020
14,21,214,78,36.45,32,14.95,104,48.6,14021
14,22,328,183,55.79,64,19.51,81,24.7,14022
14,23,221,148,66.97,26,11.76,47,21.27,14023
14,24,392,282,71.94,40,10.2,70,17.86,14024
14,25,138,62,44.93,13,9.42,63,45.65,14025
14,26,164,77,46.95,31,18.9,56,34.15,14026
14,27,265,132,49.81,42,15.85,91,34.34,14027
14,28,176,81,46.02,42,23.86,53,30.11,14028
14,29,218,114,52.29,19,8.72,85,38.99,14029
14,30,125,39,31.2,32,25.6,54,43.2,14030
14,31,119,39,32.77,32,26.89,48,40.34,14031
