ward,precinct,total,BRENDAN REILLY,BRENDAN REILLY Percent,precinct_id
42,1,292,292,100.0,42001
42,2,207,207,100.0,42002
42,3,221,221,100.0,42003
42,4,379,379,100.0,42004
42,5,208,208,100.0,42005
42,6,349,349,100.0,42006
42,7,312,312,100.0,42007
42,8,269,269,100.0,42008
42,9,215,215,100.0,42009
42,10,284,284,100.0,42010
42,11,248,248,100.0,42011
42,12,233,233,100.0,42012
42,13,355,355,100.0,42013
42,14,241,241,100.0,42014
42,15,223,223,100.0,42015
42,16,238,238,100.0,42016
42,17,313,313,100.0,42017
42,18,157,157,100.0,42018
42,19,368,368,100.0,42019
42,20,243,243,100.0,42020
42,21,208,208,100.0,42021
42,22,111,111,100.0,42022
42,23,293,293,100.0,42023
42,24,262,262,100.0,42024
42,25,215,215,100.0,42025
42,26,321,321,100.0,42026
42,27,221,221,100.0,42027
42,28,374,374,100.0,42028
42,29,258,258,100.0,42029
42,30,299,299,100.0,42030
42,31,305,305,100.0,42031
42,32,231,231,100.0,42032
42,33,260,260,100.0,42033
42,34,259,259,100.0,42034
42,35,298,298,100.0,42035
42,36,280,280,100.0,42036
42,37,183,183,100.0,42037
42,38,243,243,100.0,42038
42,39,265,265,100.0,42039
42,40,299,299,100.0,42040
42,41,240,240,100.0,42041
42,42,349,349,100.0,42042
