ward,precinct,total,JERRY JOYCE,JERRY JOYCE Percent,PAUL VALLAS,PAUL VALLAS Percent,WILLIE L. WILSON,WILLIE L. WILSON Percent,TONI PRECKWINKLE,TONI PRECKWINKLE Percent,WILLIAM M. DALEY,WILLIAM M. DALEY Percent,GARRY MCCARTHY,GARRY MCCARTHY Percent,GERY CHICO,GERY CHICO Percent,precinct_id
1,1,141,10,7.09,8,5.67,14,9.93,53,37.59,34,24.11,3,2.13,19,13.48,01001
1,2,122,10,8.2,8,6.56,19,15.57,39,31.97,30,24.59,2,1.64,14,11.48,01002
1,3,138,13,9.42,11,7.97,6,4.35,48,34.78,44,31.88,5,3.62,11,7.97,01003
1,4,164,13,7.93,22,13.41,5,3.05,53,32.32,49,29.88,9,5.49,13,7.93,01004
1,5,130,10,7.69,18,13.85,5,3.85,48,36.92,35,26.92,5,3.85,9,6.92,01005
1,6,140,15,10.71,14,10.0,5,3.57,25,17.86,53,37.86,8,5.71,20,14.29,01006
1,7,103,5,4.85,11,10.68,10,9.71,41,39.81,20,19.42,3,2.91,13,12.62,01007
1,8,149,10,6.71,13,8.72,22,14.77,51,34.23,38,25.5,6,4.03,9,6.04,01008
1,9,148,15,10.14,10,6.76,6,4.05,47,31.76,39,26.35,9,6.08,22,14.86,01009
1,10,136,8,5.88,13,9.56,5,3.68,44,32.35,45,33.09,9,6.62,12,8.82,01010
1,11,132,9,6.82,16,12.12,5,3.79,45,34.09,47,35.61,4,3.03,6,4.55,01011
1,12,149,10,6.71,16,10.74,4,2.68,55,36.91,32,21.48,9,6.04,23,15.44,01012
1,13,80,1,1.25,9,11.25,7,8.75,36,45.0,20,25.0,6,7.5,1,1.25,01013
1,14,145,9,6.21,11,7.59,9,6.21,50,34.48,51,35.17,8,5.52,7,4.83,01014
1,15,123,11,8.94,16,13.01,7,5.69,47,38.21,23,18.7,8,6.5,11,8.94,01015
1,16,161,13,8.07,13,8.07,1,0.62,68,42.24,43,26.71,3,1.86,20,12.42,01016
1,17,133,5,3.76,7,5.26,8,6.02,67,50.38,19,14.29,7,5.26,20,15.04,01017
1,18,148,11,7.43,9,6.08,14,9.46,62,41.89,23,15.54,3,2.03,26,17.57,01018
1,19,150,23,15.33,9,6.0,8,5.33,53,35.33,38,25.33,5,3.33,14,9.33,01019
1,20,88,5,5.68,9,10.23,7,7.95,41,46.59,13,14.77,2,2.27,11,12.5,01020
1,21,150,9,6.0,12,8.0,1,0.67,60,40.0,49,32.67,6,4.0,13,8.67,01021
1,22,93,4,4.3,3,3.23,6,6.45,33,35.48,33,35.48,1,1.08,13,13.98,01022
1,23,182,9,4.95,18,9.89,7,3.85,89,48.9,34,18.68,5,2.75,20,10.99,01023
1,24,120,10,8.33,7,5.83,6,5.0,59,49.17,20,16.67,3,2.5,15,12.5,01024
1,25,115,2,1.74,3,2.61,14,12.17,59,51.3,28,24.35,4,3.48,5,4.35,01025
1,26,98,5,5.1,5,5.1,6,6.12,37,37.76,26,26.53,3,3.06,16,16.33,01026
1,27,120,11,9.17,10,8.33,7,5.83,32,26.67,46,38.33,3,2.5,11,9.17,01027
1,28,72,8,11.11,1,1.39,18,25.0,19,26.39,18,25.0,2,2.78,6,8.33,01028
1,29,175,11,6.29,24,13.71,6,3.43,46,26.29,65,37.14,7,4.0,16,9.14,01029
1,30,175,6,3.43,12,6.86,11,6.29,65,37.14,54,30.86,6,3.43,21,12.0,01030
1,31,171,11,6.43,21,12.28,13,7.6,45,26.32,53,30.99,4,2.34,24,14.04,01031
1,32,137,7,5.11,26,18.98,4,2.92,39,28.47,44,32.12,7,5.11,10,7.3,01032
1,33,182,18,9.89,19,10.44,8,4.4,44,24.18,71,39.01,7,3.85,15,8.24,01033
1,34,93,8,8.6,9,9.68,5,5.38,41,44.09,15,16.13,5,5.38,10,10.75,01034
1,35,189,26,13.76,23,12.17,10,5.29,41,21.69,55,29.1,6,3.17,28,14.81,01035
1,36,149,10,6.71,25,16.78,4,2.68,45,30.2,44,29.53,6,4.03,15,10.07,01036
1,37,165,11,6.67,13,7.88,5,3.03,51,30.91,53,32.12,14,8.48,18,10.91,01037
1,38,124,11,8.87,13,10.48,4,3.23,43,34.68,35,28.23,5,4.03,13,10.48,01038
1,39,130,14,10.77,7,5.38,7,5.38,29,22.31,40,30.77,6,4.62,27,20.77,01039
1,40,183,10,5.46,20,10.93,23,12.57,32,17.49,64,34.97,8,4.37,26,14.21,01040
1,41,100,4,4.0,10,10.0,6,6.0,47,47.0,19,19.0,0,0.0,14,14.0,01041
1,42,47,6,12.77,5,10.64,0,0.0,20,42.55,9,19.15,1,2.13,6,12.77,01042
1,43,85,5,5.88,15,17.65,8,9.41,24,28.24,23,27.06,3,3.53,7,8.24,01043
1,44,102,5,4.9,12,11.76,5,4.9,47,46.08,23,22.55,3,2.94,7,6.86,01044
2,1,110,10,9.09,12,10.91,1,0.91,57,51.82,17,15.45,3,2.73,10,9.09,02001
2,2,183,7,3.83,23,12.57,10,5.46,30,16.39,90,49.18,12,6.56,11,6.01,02002
2,3,145,5,3.45,24,16.55,3,2.07,33,22.76,61,42.07,8,5.52,11,7.59,02003
2,4,82,7,8.54,10,12.2,1,1.22,39,47.56,20,24.39,4,4.88,1,1.22,02004
2,5,151,6,3.97,24,15.89,5,3.31,44,29.14,46,30.46,6,3.97,20,13.25,02005
2,6,112,13,11.61,17,15.18,7,6.25,33,29.46,23,20.54,8,7.14,11,9.82,02006
2,7,109,7,6.42,12,11.01,9,8.26,19,17.43,50,45.87,4,3.67,8,7.34,02007
2,8,127,16,12.6,10,7.87,5,3.94,33,25.98,41,32.28,4,3.15,18,14.17,02008
2,9,131,11,8.4,11,8.4,14,10.69,12,9.16,63,48.09,5,3.82,15,11.45,02009
2,10,260,12,4.62,29,11.15,3,1.15,26,10.0,160,61.54,10,3.85,20,7.69,02010
2,11,262,15,5.73,30,11.45,3,1.15,37,14.12,155,59.16,4,1.53,18,6.87,02011
2,12,199,11,5.53,21,10.55,32,16.08,45,22.61,77,38.69,4,2.01,9,4.52,02012
2,13,236,13,5.51,33,13.98,7,2.97,58,24.58,101,42.8,4,1.69,20,8.47,02013
2,14,154,12,7.79,20,12.99,12,7.79,48,31.17,44,28.57,7,4.55,11,7.14,02014
2,15,151,18,11.92,21,13.91,10,6.62,53,35.1,39,25.83,2,1.32,8,5.3,02015
2,16,111,8,7.21,13,11.71,6,5.41,42,37.84,31,27.93,3,2.7,8,7.21,02016
2,17,162,18,11.11,20,12.35,8,4.94,47,29.01,48,29.63,9,5.56,12,7.41,02017
2,18,204,6,2.94,22,10.78,7,3.43,49,24.02,100,49.02,10,4.9,10,4.9,02018
2,19,216,3,1.39,21,9.72,9,4.17,36,16.67,125,57.87,8,3.7,14,6.48,02019
2,20,133,5,3.76,20,15.04,2,1.5,18,13.53,71,53.38,5,3.76,12,9.02,02020
2,21,156,8,5.13,18,11.54,5,3.21,57,36.54,42,26.92,11,7.05,15,9.62,02021
2,22,235,6,2.55,36,15.32,10,4.26,39,16.6,118,50.21,14,5.96,12,5.11,02022
2,23,232,2,0.86,20,8.62,2,0.86,26,11.21,160,68.97,6,2.59,16,6.9,02023
2,24,204,12,5.88,24,11.76,11,5.39,42,20.59,95,46.57,9,4.41,11,5.39,02024
2,25,149,8,5.37,23,15.44,3,2.01,43,28.86,56,37.58,4,2.68,12,8.05,02025
2,26,176,11,6.25,20,11.36,15,8.52,29,16.48,83,47.16,8,4.55,10,5.68,02026
2,27,215,10,4.65,28,13.02,13,6.05,30,13.95,104,48.37,18,8.37,12,5.58,02027
2,28,191,15,7.85,27,14.14,8,4.19,36,18.85,76,39.79,8,4.19,21,10.99,02028
2,29,204,9,4.41,15,7.35,0,0.0,20,9.8,129,63.24,16,7.84,15,7.35,02029
2,30,179,5,2.79,26,14.53,4,2.23,23,12.85,88,49.16,18,10.06,15,8.38,02030
2,31,303,11,3.63,34,11.22,10,3.3,38,12.54,174,57.43,12,3.96,24,7.92,02031
2,32,104,10,9.62,13,12.5,3,2.88,24,23.08,38,36.54,11,10.58,5,4.81,02032
2,33,345,26,7.54,53,15.36,11,3.19,59,17.1,156,45.22,12,3.48,28,8.12,02033
2,34,270,8,2.96,30,11.11,3,1.11,33,12.22,170,62.96,7,2.59,19,7.04,02034
2,35,185,18,9.73,23,12.43,12,6.49,25,13.51,82,44.32,11,5.95,14,7.57,02035
2,36,204,8,3.92,26,12.75,7,3.43,36,17.65,97,47.55,20,9.8,10,4.9,02036
2,37,226,19,8.41,35,15.49,7,3.1,26,11.5,111,49.12,11,4.87,17,7.52,02037
2,38,237,11,4.64,36,15.19,7,2.95,23,9.7,133,56.12,16,6.75,11,4.64,02038
2,39,180,32,17.78,22,12.22,23,12.78,21,11.67,62,34.44,11,6.11,9,5.0,02039
2,40,193,14,7.25,20,10.36,6,3.11,39,20.21,78,40.41,9,4.66,27,13.99,02040
2,41,146,14,9.59,16,10.96,7,4.79,30,20.55,64,43.84,8,5.48,7,4.79,02041
2,42,172,6,3.49,13,7.56,5,2.91,44,25.58,84,48.84,10,5.81,10,5.81,02042
2,43,250,12,4.8,26,10.4,5,2.0,35,14.0,145,58.0,11,4.4,16,6.4,02043
2,44,127,14,11.02,19,14.96,3,2.36,19,14.96,59,46.46,4,3.15,9,7.09,02044
2,45,210,23,10.95,15,7.14,21,10.0,55,26.19,63,30.0,18,8.57,15,7.14,02045
