ward,precinct,total,PATRICIA ''PAT'' DOWELL,PATRICIA ''PAT'' DOWELL Percent,ALEXANDRIA WILLIS,ALEXANDRIA WILLIS Percent,precinct_id
3,1,399,255,63.91,144,36.09,03001
3,2,459,349,76.03,110,23.97,03002
3,3,311,208,66.88,103,33.12,03003
3,4,375,236,62.93,139,37.07,03004
3,5,186,105,56.45,81,43.55,03005
3,6,406,299,73.65,107,26.35,03006
3,7,257,195,75.88,62,24.12,03007
3,8,229,146,63.76,83,36.24,03008
3,9,334,199,59.58,135,40.42,03009
3,10,127,79,62.2,48,37.8,03010
3,11,294,172,58.5,122,41.5,03011
3,12,368,261,70.92,107,29.08,03012
3,13,407,324,79.61,83,20.39,03013
3,14,319,233,73.04,86,26.96,03014
3,15,259,151,58.3,108,41.7,03015
3,16,254,152,59.84,102,40.16,03016
3,17,344,235,68.31,109,31.69,03017
3,18,385,268,69.61,117,30.39,03018
3,19,379,282,74.41,97,25.59,03019
3,20,324,218,67.28,106,32.72,03020
3,21,395,302,76.46,93,23.54,03021
3,22,400,287,71.75,113,28.25,03022
3,23,241,149,61.83,92,38.17,03023
3,24,262,178,67.94,84,32.06,03024
3,25,526,389,73.95,137,26.05,03025
3,26,457,379,82.93,78,17.07,03026
3,27,414,305,73.67,109,26.33,03027
3,28,274,193,70.44,81,29.56,03028
3,29,268,178,66.42,90,33.58,03029
3,30,289,163,56.4,126,43.6,03030
3,31,344,219,63.66,125,36.34,03031
3,32,348,252,72.41,96,27.59,03032
3,33,335,231,68.96,104,31.04,03033
3,34,378,291,76.98,87,23.02,03034
3,35,133,83,62.41,50,37.59,03035
3,36,151,85,56.29,66,43.71,03036
3,37,264,148,56.06,116,43.94,03037
3,38,318,248,77.99,70,22.01,03038
3,39,423,283,66.9,140,33.1,03039
3,40,254,172,67.72,82,32.28,03040
3,41,274,183,66.79,91,33.21,03041
