ward,precinct,total,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,RICHARD A. WOOTEN,RICHARD A. WOOTEN Percent,DEBORAH A. FOSTER-BONNER,DEBORAH A. FOSTER-BONNER Percent,precinct_id
6,1,302,126,41.72,59,19.54,117,38.74,06001
6,2,262,112,42.75,56,21.37,94,35.88,06002
6,3,317,138,43.53,96,30.28,83,26.18,06003
6,4,186,107,57.53,25,13.44,54,29.03,06004
6,5,147,80,54.42,26,17.69,41,27.89,06005
6,6,294,177,60.2,34,11.56,83,28.23,06006
6,7,213,96,45.07,28,13.15,89,41.78,06007
6,8,267,133,49.81,46,17.23,88,32.96,06008
6,9,193,114,59.07,25,12.95,54,27.98,06009
6,10,151,77,50.99,33,21.85,41,27.15,06010
6,11,201,116,57.71,39,19.4,46,22.89,06011
6,12,152,72,47.37,26,17.11,54,35.53,06012
6,13,202,45,22.28,119,58.91,38,18.81,06013
6,14,236,143,60.59,36,15.25,57,24.15,06014
6,15,176,87,49.43,43,24.43,46,26.14,06015
6,16,305,155,50.82,70,22.95,80,26.23,06016
6,17,156,88,56.41,30,19.23,38,24.36,06017
6,18,164,83,50.61,32,19.51,49,29.88,06018
6,19,227,88,38.77,60,26.43,79,34.8,06019
6,20,124,68,54.84,27,21.77,29,23.39,06020
6,21,110,57,51.82,13,11.82,40,36.36,06021
6,22,137,79,57.66,13,9.49,45,32.85,06022
6,23,101,51,50.5,16,15.84,34,33.66,06023
6,24,129,82,63.57,17,13.18,30,23.26,06024
6,25,112,65,58.04,16,14.29,31,27.68,06025
6,26,147,68,46.26,41,27.89,38,25.85,06026
6,27,125,61,48.8,25,20.0,39,31.2,06027
6,28,118,52,44.07,31,26.27,35,29.66,06028
6,29,284,168,59.15,55,19.37,61,21.48,06029
6,30,204,107,52.45,41,20.1,56,27.45,06030
6,31,275,112,40.73,85,30.91,78,28.36,06031
6,32,244,148,60.66,29,11.89,67,27.46,06032
6,33,245,122,49.8,47,19.18,76,31.02,06033
6,34,258,137,53.1,34,13.18,87,33.72,06034
6,35,237,121,51.05,39,16.46,77,32.49,06035
6,36,311,172,55.31,55,17.68,84,27.01,06036
6,37,302,156,51.66,58,19.21,88,29.14,06037
6,38,277,120,43.32,60,21.66,97,35.02,06038
6,39,190,95,50.0,24,12.63,71,37.37,06039
6,40,228,116,50.88,29,12.72,83,36.4,06040
6,41,254,130,51.18,47,18.5,77,30.31,06041
6,42,222,111,50.0,28,12.61,83,37.39,06042
6,43,219,113,51.6,34,15.53,72,32.88,06043
6,44,217,92,42.4,38,17.51,87,40.09,06044
6,45,278,96,34.53,28,10.07,154,55.4,06045
6,46,171,85,49.71,29,16.96,57,33.33,06046
6,47,185,94,50.81,24,12.97,67,36.22,06047
6,48,257,138,53.7,34,13.23,85,33.07,06048
