ward,precinct,total,GREGORY I. MITCHELL,GREGORY I. MITCHELL Percent,CHARLES KYLE,CHARLES KYLE Percent,precinct_id
7,1,224,133,59.38,43,19.2,07001
7,2,182,108,59.34,35,19.23,07002
7,3,267,176,65.92,50,18.73,07003
7,4,247,141,57.09,83,33.6,07004
7,5,222,121,54.5,50,22.52,07005
7,6,312,173,55.45,61,19.55,07006
7,7,188,92,48.94,52,27.66,07007
7,8,213,126,59.15,57,26.76,07008
7,9,422,244,57.82,50,11.85,07009
7,10,252,136,53.97,53,21.03,07010
7,11,209,84,40.19,57,27.27,07011
7,12,209,118,56.46,41,19.62,07012
7,13,159,72,45.28,26,16.35,07013
7,14,240,136,56.67,46,19.17,07014
7,15,229,131,57.21,42,18.34,07015
7,16,157,71,45.22,32,20.38,07016
7,17,161,87,54.04,25,15.53,07017
7,18,195,129,66.15,38,19.49,07018
7,19,222,142,63.96,35,15.77,07019
7,20,146,84,57.53,27,18.49,07020
7,21,158,84,53.16,29,18.35,07021
7,22,197,108,54.82,20,10.15,07022
7,23,260,187,71.92,27,10.38,07023
7,24,192,134,69.79,23,11.98,07024
7,25,153,112,73.2,17,11.11,07025
7,26,190,144,75.79,16,8.42,07026
7,27,185,143,77.3,15,8.11,07027
7,28,162,114,70.37,21,12.96,07028
7,29,185,138,74.59,16,8.65,07029
7,30,146,102,69.86,18,12.33,07030
7,31,142,103,72.54,10,7.04,07031
7,32,369,313,84.82,13,3.52,07032
7,33,349,306,87.68,18,5.16,07033
7,34,310,250,80.65,15,4.84,07034
7,35,240,179,74.58,14,5.83,07035
7,36,296,246,83.11,13,4.39,07036
7,37,276,237,85.87,17,6.16,07037
7,38,207,149,71.98,8,3.86,07038
7,39,239,169,70.71,18,7.53,07039
7,40,224,180,80.36,5,2.23,07040
7,41,218,151,69.27,8,3.67,07041
7,42,207,141,68.12,18,8.7,07042
7,43,228,148,64.91,9,3.95,07043
7,44,175,127,72.57,3,1.71,07044
7,45,184,121,65.76,10,5.43,07045
7,46,130,94,72.31,10,7.69,07046
