ward,precinct,total,ROBERT MURPHY,ROBERT MURPHY Percent,SAMANTHA ''SAM'' NUGENT,SAMANTHA ''SAM'' NUGENT Percent,CASEY SMAGALA,CASEY SMAGALA Percent,JOE DUPLECHIN,JOE DUPLECHIN Percent,precinct_id
39,1,348,101,29.02,157,45.11,67,19.25,23,6.61,39001
39,2,341,100,29.33,130,38.12,84,24.63,27,7.92,39002
39,3,332,116,34.94,101,30.42,96,28.92,19,5.72,39003
39,4,317,73,23.03,137,43.22,66,20.82,41,12.93,39004
39,5,321,90,28.04,84,26.17,116,36.14,31,9.66,39005
39,6,284,119,41.9,76,26.76,69,24.3,20,7.04,39006
39,7,283,85,30.04,91,32.16,93,32.86,14,4.95,39007
39,8,321,76,23.68,138,42.99,90,28.04,17,5.3,39008
39,9,285,94,32.98,81,28.42,81,28.42,29,10.18,39009
39,10,158,39,24.68,39,24.68,73,46.2,7,4.43,39010
39,11,295,103,34.92,75,25.42,100,33.9,17,5.76,39011
39,12,325,96,29.54,59,18.15,140,43.08,30,9.23,39012
39,13,236,55,23.31,56,23.73,108,45.76,17,7.2,39013
39,14,297,74,24.92,86,28.96,111,37.37,26,8.75,39014
39,15,354,48,13.56,215,60.73,71,20.06,20,5.65,39015
39,16,176,71,40.34,47,26.7,45,25.57,13,7.39,39016
39,17,354,138,38.98,97,27.4,96,27.12,23,6.5,39017
39,18,305,123,40.33,87,28.52,78,25.57,17,5.57,39018
39,19,325,115,35.38,86,26.46,112,34.46,12,3.69,39019
39,20,408,88,21.57,121,29.66,112,27.45,87,21.32,39020
39,21,306,90,29.41,100,32.68,51,16.67,65,21.24,39021
39,22,202,93,46.04,44,21.78,57,28.22,8,3.96,39022
39,23,376,56,14.89,94,25.0,130,34.57,96,25.53,39023
39,24,458,80,17.47,97,21.18,148,32.31,133,29.04,39024
39,25,190,72,37.89,57,30.0,41,21.58,20,10.53,39025
39,26,317,86,27.13,123,38.8,71,22.4,37,11.67,39026
39,27,69,23,33.33,26,37.68,11,15.94,9,13.04,39027
39,28,419,172,41.05,75,17.9,145,34.61,27,6.44,39028
39,29,140,42,30.0,35,25.0,55,39.29,8,5.71,39029
39,30,329,135,41.03,61,18.54,124,37.69,9,2.74,39030
39,31,253,70,27.67,78,30.83,87,34.39,18,7.11,39031
39,32,260,56,21.54,68,26.15,107,41.15,29,11.15,39032
39,33,340,85,25.0,117,34.41,125,36.76,13,3.82,39033
39,34,274,97,35.4,75,27.37,77,28.1,25,9.12,39034
39,35,310,170,54.84,46,14.84,82,26.45,12,3.87,39035
39,36,84,22,26.19,43,51.19,16,19.05,3,3.57,39036
39,37,353,73,20.68,157,44.48,87,24.65,36,10.2,39037
39,38,197,74,37.56,58,29.44,51,25.89,14,7.11,39038
39,39,208,76,36.54,93,44.71,22,10.58,17,8.17,39039
39,40,306,38,12.42,139,45.42,100,32.68,29,9.48,39040
39,41,380,192,50.53,107,28.16,48,12.63,33,8.68,39041
39,42,399,73,18.3,255,63.91,56,14.04,15,3.76,39042
39,43,353,104,29.46,171,48.44,41,11.61,37,10.48,39043
39,44,295,76,25.76,145,49.15,36,12.2,38,12.88,39044
39,45,358,55,15.36,169,47.21,68,18.99,66,18.44,39045
