ward,precinct,total,MATTHEW J. O'SHEA,MATTHEW J. O'SHEA Percent,precinct_id
19,1,396,366,92.42,19001
19,2,474,423,89.24,19002
19,3,310,270,87.1,19003
19,4,441,348,78.91,19004
19,5,394,338,85.79,19005
19,6,399,335,83.96,19006
19,7,340,304,89.41,19007
19,8,424,348,82.08,19008
19,9,300,262,87.33,19009
19,10,411,354,86.13,19010
19,11,373,295,79.09,19011
19,12,331,275,83.08,19012
19,13,369,313,84.82,19013
19,14,376,334,88.83,19014
19,15,475,363,76.42,19015
19,16,410,341,83.17,19016
19,17,362,316,87.29,19017
19,18,343,314,91.55,19018
19,19,455,401,88.13,19019
19,20,309,266,86.08,19020
19,21,364,296,81.32,19021
19,22,404,342,84.65,19022
19,23,402,352,87.56,19023
19,24,307,264,85.99,19024
19,25,370,312,84.32,19025
19,26,383,343,89.56,19026
19,27,317,271,85.49,19027
19,28,338,295,87.28,19028
19,29,364,286,78.57,19029
19,30,335,273,81.49,19030
19,31,347,300,86.46,19031
19,32,354,312,88.14,19032
19,33,385,323,83.9,19033
19,34,354,311,87.85,19034
19,35,355,322,90.7,19035
19,36,385,330,85.71,19036
19,37,346,304,87.86,19037
19,38,288,255,88.54,19038
19,39,83,61,73.49,19039
19,40,343,288,83.97,19040
19,41,349,283,81.09,19041
19,42,275,218,79.27,19042
19,43,390,331,84.87,19043
19,44,312,257,82.37,19044
19,45,405,367,90.62,19045
19,46,427,387,90.63,19046
19,47,498,406,81.53,19047
19,48,302,256,84.77,19048
19,49,394,335,85.03,19049
19,50,309,270,87.38,19050
19,51,449,398,88.64,19051
19,52,410,316,77.07,19052
19,53,364,334,91.76,19053
19,54,328,235,71.65,19054
19,55,321,275,85.67,19055
19,56,388,344,88.66,19056
19,57,273,236,86.45,19057
