ward,precinct,total,Robert Martwick,Robert Martwick Percent,precinct_id
29,29,275,275,100.0,29029
29,31,146,146,100.0,29031
29,32,344,344,100.0,29032
38,1,334,334,100.0,38001
38,3,386,386,100.0,38003
38,5,350,350,100.0,38005
38,6,363,363,100.0,38006
38,7,227,227,100.0,38007
38,9,377,377,100.0,38009
38,11,356,356,100.0,38011
38,13,347,347,100.0,38013
38,14,396,396,100.0,38014
38,15,357,357,100.0,38015
38,17,300,300,100.0,38017
38,18,373,373,100.0,38018
38,19,409,409,100.0,38019
38,21,321,321,100.0,38021
38,22,356,356,100.0,38022
38,24,402,402,100.0,38024
38,25,323,323,100.0,38025
38,26,367,367,100.0,38026
38,27,369,369,100.0,38027
38,29,357,357,100.0,38029
38,30,342,342,100.0,38030
38,31,405,405,100.0,38031
38,32,368,368,100.0,38032
38,33,357,357,100.0,38033
38,36,356,356,100.0,38036
38,38,351,351,100.0,38038
38,40,373,373,100.0,38040
38,41,378,378,100.0,38041
39,20,452,452,100.0,39020
39,21,361,361,100.0,39021
39,23,379,379,100.0,39023
39,24,415,415,100.0,39024
39,41,5,5,100.0,39041
41,3,163,163,100.0,41003
41,12,406,406,100.0,41012
41,24,333,333,100.0,41024
41,30,383,383,100.0,41030
41,38,353,353,100.0,41038
45,12,391,391,100.0,45012
45,13,355,355,100.0,45013
45,14,556,556,100.0,45014
45,15,521,521,100.0,45015
45,16,348,348,100.0,45016
45,17,460,460,100.0,45017
45,18,425,425,100.0,45018
45,19,220,220,100.0,45019
45,20,292,292,100.0,45020
45,21,334,334,100.0,45021
45,22,365,365,100.0,45022
45,23,364,364,100.0,45023
45,24,304,304,100.0,45024
45,25,242,242,100.0,45025
45,26,204,204,100.0,45026
45,27,363,363,100.0,45027
45,28,314,314,100.0,45028
45,29,255,255,100.0,45029
45,30,405,405,100.0,45030
45,31,315,315,100.0,45031
45,32,250,250,100.0,45032
45,33,264,264,100.0,45033
45,34,436,436,100.0,45034
45,35,392,392,100.0,45035
45,36,393,393,100.0,45036
45,37,376,376,100.0,45037
45,38,342,342,100.0,45038
45,39,372,372,100.0,45039
45,40,383,383,100.0,45040
45,41,348,348,100.0,45041
45,42,382,382,100.0,45042
45,43,369,369,100.0,45043
45,44,365,365,100.0,45044
45,45,243,243,100.0,45045
45,46,292,292,100.0,45046
45,47,279,279,100.0,45047
45,48,315,315,100.0,45048
