ward,precinct,total,Arthur Noah Siegel,Arthur Noah Siegel Percent,precinct_id
40,28,606,104,17.16,40028
40,37,10,0,0.0,40037
48,1,530,113,21.32,48001
48,2,272,55,20.22,48002
48,3,704,106,15.06,48003
48,5,302,54,17.88,48005
48,6,709,122,17.21,48006
48,7,582,87,14.95,48007
48,8,307,78,25.41,48008
48,9,403,90,22.33,48009
48,10,773,120,15.52,48010
48,11,457,60,13.13,48011
48,12,666,112,16.82,48012
48,13,717,149,20.78,48013
48,14,288,59,20.49,48014
48,15,400,64,16.0,48015
48,16,586,103,17.58,48016
48,18,399,67,16.79,48018
48,19,384,72,18.75,48019
48,20,176,33,18.75,48020
48,21,11,2,18.18,48021
48,22,469,91,19.4,48022
48,25,509,95,18.66,48025
48,26,321,61,19.0,48026
48,27,1102,200,18.15,48027
48,28,659,134,20.33,48028
48,29,251,49,19.52,48029
48,30,505,94,18.61,48030
48,31,833,133,15.97,48031
48,32,620,113,18.23,48032
48,33,317,59,18.61,48033
48,34,517,87,16.83,48034
48,36,332,56,16.87,48036
48,37,602,95,15.78,48037
48,38,516,92,17.83,48038
48,39,452,92,20.35,48039
48,40,503,102,20.28,48040
48,41,738,132,17.89,48041
48,42,697,94,13.49,48042
48,43,598,143,23.91,48043
48,44,694,106,15.27,48044
48,45,449,79,17.59,48045
48,46,371,76,20.49,48046
49,1,429,46,10.72,49001
49,2,394,63,15.99,49002
49,3,637,90,14.13,49003
49,4,724,101,13.95,49004
49,5,568,73,12.85,49005
49,6,563,90,15.99,49006
49,7,639,124,19.41,49007
49,8,491,76,15.48,49008
49,9,617,117,18.96,49009
49,10,560,82,14.64,49010
49,11,701,93,13.27,49011
49,12,839,155,18.47,49012
49,13,696,98,14.08,49013
49,14,483,92,19.05,49014
49,15,482,73,15.15,49015
49,16,528,95,17.99,49016
49,17,368,74,20.11,49017
49,18,754,120,15.92,49018
49,19,562,68,12.1,49019
49,20,872,134,15.37,49020
49,21,368,44,11.96,49021
49,22,602,92,15.28,49022
49,23,706,109,15.44,49023
49,24,522,87,16.67,49024
49,25,795,144,18.11,49025
49,26,663,143,21.57,49026
49,27,726,116,15.98,49027
49,28,778,122,15.68,49028
49,29,684,109,15.94,49029
49,30,664,109,16.42,49030
49,31,486,74,15.23,49031
49,32,616,74,12.01,49032
49,33,514,67,13.04,49033
50,8,396,61,15.4,50008
50,28,2,0,0.0,50028
