ward,precinct,total,Joan McCarthy Lasonde,Joan McCarthy Lasonde Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,precinct_id
50,4,532,138,25.94,394,74.06,50004
50,5,369,188,50.95,181,49.05,50005
50,6,546,132,24.18,414,75.82,50006
50,7,545,100,18.35,445,81.65,50007
50,8,521,62,11.9,459,88.1,50008
50,9,399,91,22.81,308,77.19,50009
50,10,549,205,37.34,344,62.66,50010
50,11,359,233,64.9,126,35.1,50011
50,12,225,80,35.56,145,64.44,50012
50,13,609,94,15.44,515,84.56,50013
50,14,174,80,45.98,94,54.02,50014
50,15,543,123,22.65,420,77.35,50015
50,16,172,67,38.95,105,61.05,50016
50,17,477,119,24.95,358,75.05,50017
50,18,111,49,44.14,62,55.86,50018
50,19,366,62,16.94,304,83.06,50019
50,20,521,112,21.5,409,78.5,50020
50,21,440,101,22.95,339,77.05,50021
50,22,448,195,43.53,253,56.47,50022
50,23,329,102,31.0,227,69.0,50023
50,25,413,196,47.46,217,52.54,50025
50,26,566,125,22.08,441,77.92,50026
50,27,156,62,39.74,94,60.26,50027
50,28,536,74,13.81,462,86.19,50028
50,29,525,58,11.05,467,88.95,50029
50,30,373,60,16.09,313,83.91,50030
50,31,605,67,11.07,538,88.93,50031
50,32,614,70,11.4,544,88.6,50032
50,33,417,240,57.55,177,42.45,50033
50,34,634,172,27.13,462,72.87,50034
50,35,614,97,15.8,517,84.2,50035
50,36,440,112,25.45,328,74.55,50036
50,37,499,88,17.64,411,82.36,50037
50,38,212,60,28.3,152,71.7,50038
50,39,386,130,33.68,256,66.32,50039
50,40,510,303,59.41,207,40.59,50040
