ward,precinct,total,Emil Jones III,Emil Jones III Percent,precinct_id
9,1,259,259,100.0,09001
9,2,395,395,100.0,09002
9,4,140,140,100.0,09004
9,5,386,386,100.0,09005
9,6,423,423,100.0,09006
9,9,107,107,100.0,09009
9,10,361,361,100.0,09010
9,13,105,105,100.0,09013
9,14,517,517,100.0,09014
9,17,387,387,100.0,09017
9,19,407,407,100.0,09019
9,20,420,420,100.0,09020
9,21,381,381,100.0,09021
9,22,451,451,100.0,09022
9,27,384,384,100.0,09027
9,29,425,425,100.0,09029
9,30,353,353,100.0,09030
9,31,280,280,100.0,09031
9,32,424,424,100.0,09032
9,34,392,392,100.0,09034
9,35,412,412,100.0,09035
9,38,128,128,100.0,09038
9,39,475,475,100.0,09039
9,40,451,451,100.0,09040
9,43,228,228,100.0,09043
9,44,64,64,100.0,09044
19,14,440,440,100.0,19014
19,20,370,370,100.0,19020
19,31,318,318,100.0,19031
19,40,409,409,100.0,19040
19,42,297,297,100.0,19042
19,43,622,622,100.0,19043
19,47,620,620,100.0,19047
19,48,567,567,100.0,19048
19,49,520,520,100.0,19049
21,2,113,113,100.0,21002
21,5,483,483,100.0,21005
21,6,380,380,100.0,21006
21,10,406,406,100.0,21010
21,11,393,393,100.0,21011
21,12,396,396,100.0,21012
21,17,352,352,100.0,21017
21,19,439,439,100.0,21019
21,20,146,146,100.0,21020
21,21,362,362,100.0,21021
21,22,278,278,100.0,21022
21,23,391,391,100.0,21023
21,24,432,432,100.0,21024
21,25,379,379,100.0,21025
21,27,409,409,100.0,21027
21,33,417,417,100.0,21033
21,34,325,325,100.0,21034
21,35,441,441,100.0,21035
21,36,340,340,100.0,21036
21,37,346,346,100.0,21037
21,38,435,435,100.0,21038
21,39,348,348,100.0,21039
21,40,380,380,100.0,21040
21,41,408,408,100.0,21041
21,42,320,320,100.0,21042
21,43,31,31,100.0,21043
21,44,228,228,100.0,21044
21,45,383,383,100.0,21045
21,46,459,459,100.0,21046
21,48,299,299,100.0,21048
21,49,463,463,100.0,21049
21,50,358,358,100.0,21050
21,52,52,52,100.0,21052
34,1,461,461,100.0,34001
34,2,342,342,100.0,34002
34,3,481,481,100.0,34003
34,4,372,372,100.0,34004
34,5,408,408,100.0,34005
34,6,496,496,100.0,34006
34,7,492,492,100.0,34007
34,8,363,363,100.0,34008
34,9,381,381,100.0,34009
34,10,429,429,100.0,34010
34,11,396,396,100.0,34011
34,12,464,464,100.0,34012
34,13,467,467,100.0,34013
34,14,368,368,100.0,34014
34,15,433,433,100.0,34015
34,16,396,396,100.0,34016
34,17,550,550,100.0,34017
34,18,346,346,100.0,34018
34,19,536,536,100.0,34019
34,20,486,486,100.0,34020
34,21,495,495,100.0,34021
34,22,416,416,100.0,34022
34,23,366,366,100.0,34023
34,24,421,421,100.0,34024
34,25,466,466,100.0,34025
34,26,484,484,100.0,34026
34,27,393,393,100.0,34027
34,28,332,332,100.0,34028
34,29,363,363,100.0,34029
34,30,388,388,100.0,34030
34,31,392,392,100.0,34031
34,32,433,433,100.0,34032
34,33,432,432,100.0,34033
34,34,470,470,100.0,34034
34,35,486,486,100.0,34035
34,36,390,390,100.0,34036
34,37,316,316,100.0,34037
34,38,255,255,100.0,34038
34,39,347,347,100.0,34039
34,40,495,495,100.0,34040
34,41,329,329,100.0,34041
34,42,413,413,100.0,34042
34,43,400,400,100.0,34043
34,44,420,420,100.0,34044
34,45,451,451,100.0,34045
34,46,288,288,100.0,34046
34,47,455,455,100.0,34047
34,48,457,457,100.0,34048
34,49,475,475,100.0,34049
34,50,406,406,100.0,34050
34,51,461,461,100.0,34051
34,52,327,327,100.0,34052
34,53,337,337,100.0,34053
