ward,precinct,total,Mark Spognardi,Mark Spognardi Percent,Melissa Conyears,Melissa Conyears Percent,precinct_id
1,8,454,88,19.38,366,80.62,01008
1,11,138,35,25.36,103,74.64,01011
1,12,649,146,22.5,503,77.5,01012
1,21,66,14,21.21,52,78.79,01021
1,32,109,34,31.19,75,68.81,01032
1,33,29,9,31.03,20,68.97,01033
1,37,165,66,40.0,99,60.0,01037
2,1,444,105,23.65,339,76.35,02001
2,6,597,125,20.94,472,79.06,02006
2,7,571,150,26.27,421,73.73,02007
2,8,712,181,25.42,531,74.58,02008
2,15,488,115,23.57,373,76.43,02015
2,17,581,140,24.1,441,75.9,02017
2,20,602,220,36.54,382,63.46,02020
2,25,681,166,24.38,515,75.62,02025
24,17,73,1,1.37,72,98.63,24017
24,19,488,17,3.48,471,96.52,24019
24,20,288,13,4.51,275,95.49,24020
24,32,226,10,4.42,216,95.58,24032
24,41,281,13,4.63,268,95.37,24041
26,4,92,7,7.61,85,92.39,26004
26,17,339,114,33.63,225,66.37,26017
26,19,101,5,4.95,96,95.05,26019
26,28,432,93,21.53,339,78.47,26028
26,46,289,83,28.72,206,71.28,26046
27,1,690,232,33.62,458,66.38,27001
27,3,297,15,5.05,282,94.95,27003
27,4,279,21,7.53,258,92.47,27004
27,5,345,16,4.64,329,95.36,27005
27,8,398,20,5.03,378,94.97,27008
27,10,93,2,2.15,91,97.85,27010
27,11,413,164,39.71,249,60.29,27011
27,13,413,31,7.51,382,92.49,27013
27,14,213,11,5.16,202,94.84,27014
27,15,330,14,4.24,316,95.76,27015
27,16,186,62,33.33,124,66.67,27016
27,17,499,38,7.62,461,92.38,27017
27,19,306,22,7.19,284,92.81,27019
27,22,263,12,4.56,251,95.44,27022
27,23,359,13,3.62,346,96.38,27023
27,24,324,13,4.01,311,95.99,27024
27,25,313,47,15.02,266,84.98,27025
27,26,362,24,6.63,338,93.37,27026
27,27,581,59,10.15,522,89.85,27027
27,29,369,16,4.34,353,95.66,27029
27,30,248,11,4.44,237,95.56,27030
27,31,379,17,4.49,362,95.51,27031
27,32,400,38,9.5,362,90.5,27032
27,33,304,54,17.76,250,82.24,27033
27,34,422,11,2.61,411,97.39,27034
27,35,547,184,33.64,363,66.36,27035
27,36,360,34,9.44,326,90.56,27036
27,37,11,1,9.09,10,90.91,27037
27,39,317,19,5.99,298,94.01,27039
27,40,569,154,27.07,415,72.93,27040
27,43,365,23,6.3,342,93.7,27043
27,44,366,15,4.1,351,95.9,27044
27,45,46,19,41.3,27,58.7,27045
27,49,360,13,3.61,347,96.39,27049
27,50,442,15,3.39,427,96.61,27050
28,1,25,2,8.0,23,92.0,28001
28,2,391,21,5.37,370,94.63,28002
28,3,363,16,4.41,347,95.59,28003
28,7,473,15,3.17,458,96.83,28007
28,9,415,11,2.65,404,97.35,28009
28,13,392,13,3.32,379,96.68,28013
28,15,140,7,5.0,133,95.0,28015
28,16,300,10,3.33,290,96.67,28016
28,17,397,11,2.77,386,97.23,28017
28,20,410,17,4.15,393,95.85,28020
28,21,358,12,3.35,346,96.65,28021
28,22,364,18,4.95,346,95.05,28022
28,23,534,18,3.37,516,96.63,28023
28,24,372,13,3.49,359,96.51,28024
28,25,520,28,5.38,492,94.62,28025
28,26,500,13,2.6,487,97.4,28026
28,30,68,4,5.88,64,94.12,28030
28,32,429,17,3.96,412,96.04,28032
28,33,496,17,3.43,479,96.57,28033
28,36,243,7,2.88,236,97.12,28036
28,37,564,14,2.48,550,97.52,28037
28,38,195,7,3.59,188,96.41,28038
28,40,546,21,3.85,525,96.15,28040
28,42,178,3,1.69,175,98.31,28042
28,44,320,5,1.56,315,98.44,28044
29,6,12,1,8.33,11,91.67,29006
32,2,676,244,36.09,432,63.91,32002
32,4,579,173,29.88,406,70.12,32004
32,5,580,131,22.59,449,77.41,32005
32,6,667,198,29.69,469,70.31,32006
32,29,486,114,23.46,372,76.54,32029
32,31,634,226,35.65,408,64.35,32031
32,32,602,181,30.07,421,69.93,32032
32,33,308,91,29.55,217,70.45,32033
32,34,566,160,28.27,406,71.73,32034
32,35,605,188,31.07,417,68.93,32035
32,36,611,186,30.44,425,69.56,32036
32,37,262,74,28.24,188,71.76,32037
37,2,358,15,4.19,343,95.81,37002
37,3,364,20,5.49,344,94.51,37003
37,4,395,24,6.08,371,93.92,37004
37,7,306,20,6.54,286,93.46,37007
37,8,359,14,3.9,345,96.1,37008
37,12,124,8,6.45,116,93.55,37012
37,13,345,13,3.77,332,96.23,37013
37,14,20,0,0.0,20,100.0,37014
37,19,398,10,2.51,388,97.49,37019
37,20,5,0,0.0,5,100.0,37020
37,21,400,25,6.25,375,93.75,37021
37,22,11,0,0.0,11,100.0,37022
37,27,4,0,0.0,4,100.0,37027
37,28,407,22,5.41,385,94.59,37028
37,30,187,4,2.14,183,97.86,37030
43,5,256,117,45.7,139,54.3,43005
43,7,397,156,39.29,241,60.71,43007
43,10,725,329,45.38,396,54.62,43010
43,11,607,297,48.93,310,51.07,43011
43,23,456,160,35.09,296,64.91,43023
