ward,precinct,total,Theresa Mah,Theresa Mah Percent,precinct_id
11,1,452,452,100.0,11001
11,3,412,412,100.0,11003
11,4,402,402,100.0,11004
11,5,576,576,100.0,11005
11,8,416,416,100.0,11008
11,9,373,373,100.0,11009
11,10,400,400,100.0,11010
11,11,474,474,100.0,11011
11,14,245,245,100.0,11014
11,15,151,151,100.0,11015
11,16,286,286,100.0,11016
11,17,504,504,100.0,11017
11,18,364,364,100.0,11018
11,19,558,558,100.0,11019
11,20,291,291,100.0,11020
11,22,537,537,100.0,11022
11,23,249,249,100.0,11023
11,25,502,502,100.0,11025
11,26,487,487,100.0,11026
11,27,176,176,100.0,11027
11,30,242,242,100.0,11030
11,36,199,199,100.0,11036
11,37,157,157,100.0,11037
11,38,220,220,100.0,11038
12,1,419,419,100.0,12001
12,3,510,510,100.0,12003
12,4,408,408,100.0,12004
12,5,335,335,100.0,12005
12,6,12,12,100.0,12006
12,8,417,417,100.0,12008
12,9,339,339,100.0,12009
12,13,320,320,100.0,12013
12,17,184,184,100.0,12017
12,19,391,391,100.0,12019
12,21,419,419,100.0,12021
12,23,414,414,100.0,12023
15,5,301,301,100.0,15005
15,9,373,373,100.0,15009
15,13,293,293,100.0,15013
15,14,299,299,100.0,15014
15,15,316,316,100.0,15015
20,20,0,0,0.0,20020
25,1,386,386,100.0,25001
25,2,443,443,100.0,25002
25,5,456,456,100.0,25005
25,6,173,173,100.0,25006
25,7,431,431,100.0,25007
25,8,508,508,100.0,25008
25,9,468,468,100.0,25009
25,11,493,493,100.0,25011
25,12,421,421,100.0,25012
25,13,483,483,100.0,25013
25,14,351,351,100.0,25014
25,15,380,380,100.0,25015
25,17,459,459,100.0,25017
25,18,380,380,100.0,25018
25,19,442,442,100.0,25019
25,22,441,441,100.0,25022
25,23,504,504,100.0,25023
25,24,460,460,100.0,25024
25,26,399,399,100.0,25026
25,27,33,33,100.0,25027
25,28,469,469,100.0,25028
25,30,435,435,100.0,25030
25,32,375,375,100.0,25032
28,19,0,0,0.0,28019
