ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,529,529,100.0,29001
29,4,508,508,100.0,29004
29,5,423,423,100.0,29005
29,7,414,414,100.0,29007
29,9,428,428,100.0,29009
29,10,498,498,100.0,29010
29,12,546,546,100.0,29012
29,13,501,501,100.0,29013
29,15,512,512,100.0,29015
29,17,453,453,100.0,29017
29,23,294,294,100.0,29023
29,24,408,408,100.0,29024
29,25,520,520,100.0,29025
29,26,442,442,100.0,29026
29,27,403,403,100.0,29027
29,30,216,216,100.0,29030
29,33,301,301,100.0,29033
29,35,343,343,100.0,29035
29,36,70,70,100.0,29036
29,37,422,422,100.0,29037
29,40,524,524,100.0,29040
29,41,389,389,100.0,29041
29,43,524,524,100.0,29043
29,44,550,550,100.0,29044
37,18,388,388,100.0,37018
37,29,244,244,100.0,37029
37,35,439,439,100.0,37035
37,37,479,479,100.0,37037
