ward,precinct,total,Mark Steven Kirk,Mark Steven Kirk Percent,Tammy Duckworth,Tammy Duckworth Percent,Kenton McMillen,Kenton McMillen Percent,Scott Summers,Scott Summers Percent,precinct_id
1,1,608,75,12.34,482,79.28,19,3.13,32,5.26,01001
1,2,584,53,9.08,493,84.42,16,2.74,22,3.77,01002
1,3,712,135,18.96,545,76.54,13,1.83,19,2.67,01003
1,4,694,154,22.19,500,72.05,17,2.45,23,3.31,01004
1,5,687,131,19.07,527,76.71,18,2.62,11,1.6,01005
1,6,625,117,18.72,465,74.4,24,3.84,19,3.04,01006
1,7,442,56,12.67,362,81.9,9,2.04,15,3.39,01007
1,8,571,86,15.06,451,78.98,18,3.15,16,2.8,01008
1,9,494,61,12.35,397,80.36,22,4.45,14,2.83,01009
1,10,781,190,24.33,546,69.91,25,3.2,20,2.56,01010
1,11,703,144,20.48,522,74.25,19,2.7,18,2.56,01011
1,12,720,154,21.39,528,73.33,20,2.78,18,2.5,01012
1,13,275,44,16.0,210,76.36,11,4.0,10,3.64,01013
1,14,644,99,15.37,517,80.28,12,1.86,16,2.48,01014
1,15,569,97,17.05,434,76.27,14,2.46,24,4.22,01015
1,16,587,69,11.75,479,81.6,22,3.75,17,2.9,01016
1,17,532,59,11.09,438,82.33,19,3.57,16,3.01,01017
1,18,648,65,10.03,533,82.25,15,2.31,35,5.4,01018
1,19,760,65,8.55,650,85.53,19,2.5,26,3.42,01019
1,20,492,39,7.93,420,85.37,16,3.25,17,3.46,01020
1,21,744,140,18.82,564,75.81,19,2.55,21,2.82,01021
1,22,396,38,9.6,332,83.84,13,3.28,13,3.28,01022
1,23,807,91,11.28,664,82.28,18,2.23,34,4.21,01023
1,24,540,48,8.89,456,84.44,14,2.59,22,4.07,01024
1,25,577,77,13.34,467,80.94,13,2.25,20,3.47,01025
1,26,418,49,11.72,341,81.58,8,1.91,20,4.78,01026
1,27,642,124,19.31,473,73.68,27,4.21,18,2.8,01027
1,28,194,19,9.79,165,85.05,3,1.55,7,3.61,01028
1,29,602,96,15.95,460,76.41,26,4.32,20,3.32,01029
1,30,691,71,10.27,576,83.36,22,3.18,22,3.18,01030
1,31,607,89,14.66,482,79.41,12,1.98,24,3.95,01031
1,32,605,117,19.34,463,76.53,12,1.98,13,2.15,01032
1,33,690,142,20.58,511,74.06,18,2.61,19,2.75,01033
1,34,540,61,11.3,435,80.56,19,3.52,25,4.63,01034
1,35,777,169,21.75,557,71.69,26,3.35,25,3.22,01035
1,36,672,151,22.47,485,72.17,19,2.83,17,2.53,01036
1,37,634,146,23.03,445,70.19,22,3.47,21,3.31,01037
1,38,620,74,11.94,500,80.65,23,3.71,23,3.71,01038
1,39,538,104,19.33,398,73.98,17,3.16,19,3.53,01039
1,40,622,125,20.1,461,74.12,21,3.38,15,2.41,01040
1,41,336,36,10.71,284,84.52,10,2.98,6,1.79,01041
1,42,188,31,16.49,141,75.0,7,3.72,9,4.79,01042
1,43,412,51,12.38,321,77.91,20,4.85,20,4.85,01043
1,44,519,54,10.4,437,84.2,15,2.89,13,2.5,01044
2,1,702,150,21.37,516,73.5,18,2.56,18,2.56,02001
2,2,520,147,28.27,357,68.65,8,1.54,8,1.54,02002
2,3,762,150,19.69,560,73.49,27,3.54,25,3.28,02003
