ward,precinct,total,Jeffrey A. Leef,Jeffrey A. Leef Percent,Danny K. Davis,Danny K. Davis Percent,precinct_id
1,12,682,137,20.09,545,79.91,01012
1,14,173,27,15.61,146,84.39,01014
1,15,122,16,13.11,106,86.89,01015
1,32,167,41,24.55,126,75.45,01032
2,2,505,167,33.07,338,66.93,02002
2,9,572,235,41.08,337,58.92,02009
2,10,549,224,40.8,325,59.2,02010
2,11,638,262,41.07,376,58.93,02011
2,12,327,31,9.48,296,90.52,02012
2,13,581,182,31.33,399,68.67,02013
2,14,539,106,19.67,433,80.33,02014
2,17,696,137,19.68,559,80.32,02017
2,18,630,206,32.7,424,67.3,02018
2,19,438,166,37.9,272,62.1,02019
2,20,359,112,31.2,247,68.8,02020
2,21,16,3,18.75,13,81.25,02021
2,23,426,176,41.31,250,58.69,02023
2,27,597,236,39.53,361,60.47,02027
2,28,309,133,43.04,176,56.96,02028
2,29,699,262,37.48,437,62.52,02029
2,32,578,201,34.78,377,65.22,02032
2,34,523,196,37.48,327,62.52,02034
2,35,837,324,38.71,513,61.29,02035
2,36,511,168,32.88,343,67.12,02036
2,38,466,208,44.64,258,55.36,02038
2,39,446,199,44.62,247,55.38,02039
2,40,755,265,35.1,490,64.9,02040
2,41,684,265,38.74,419,61.26,02041
2,42,714,238,33.33,476,66.67,02042
2,43,883,344,38.96,539,61.04,02043
2,45,603,164,27.2,439,72.8,02045
2,46,382,146,38.22,236,61.78,02046
3,1,699,16,2.29,683,97.71,03001
3,2,610,16,2.62,594,97.38,03002
3,3,508,51,10.04,457,89.96,03003
3,4,322,7,2.17,315,97.83,03004
3,5,436,15,3.44,421,96.56,03005
3,6,726,219,30.17,507,69.83,03006
3,8,589,14,2.38,575,97.62,03008
3,9,578,16,2.77,562,97.23,03009
3,10,336,9,2.68,327,97.32,03010
3,11,598,18,3.01,580,96.99,03011
3,12,494,8,1.62,486,98.38,03012
3,13,710,189,26.62,521,73.38,03013
3,14,650,135,20.77,515,79.23,03014
3,15,621,15,2.42,606,97.58,03015
3,16,577,17,2.95,560,97.05,03016
3,17,741,108,14.57,633,85.43,03017
3,18,601,31,5.16,570,94.84,03018
3,19,702,231,32.91,471,67.09,03019
3,20,613,18,2.94,595,97.06,03020
3,21,667,155,23.24,512,76.76,03021
3,22,834,199,23.86,635,76.14,03022
3,23,446,14,3.14,432,96.86,03023
3,24,528,24,4.55,504,95.45,03024
3,25,989,306,30.94,683,69.06,03025
3,26,699,167,23.89,532,76.11,03026
3,27,765,223,29.15,542,70.85,03027
3,28,358,11,3.07,347,96.93,03028
3,29,672,23,3.42,649,96.58,03029
3,30,304,10,3.29,294,96.71,03030
3,31,706,14,1.98,692,98.02,03031
3,32,713,142,19.92,571,80.08,03032
3,33,750,182,24.27,568,75.73,03033
3,34,767,161,20.99,606,79.01,03034
3,35,24,1,4.17,23,95.83,03035
3,36,371,5,1.35,366,98.65,03036
3,37,538,13,2.42,525,97.58,03037
3,39,812,204,25.12,608,74.88,03039
3,40,676,74,10.95,602,89.05,03040
4,2,759,198,26.09,561,73.91,04002
4,4,731,18,2.46,713,97.54,04004
4,5,572,23,4.02,549,95.98,04005
4,6,685,44,6.42,641,93.58,04006
4,7,690,18,2.61,672,97.39,04007
4,8,162,0,0.0,162,100.0,04008
4,10,656,33,5.03,623,94.97,04010
4,11,413,11,2.66,402,97.34,04011
4,13,700,122,17.43,578,82.57,04013
4,14,104,2,1.92,102,98.08,04014
4,15,186,14,7.53,172,92.47,04015
4,16,895,191,21.34,704,78.66,04016
4,17,813,147,18.08,666,81.92,04017
4,20,532,121,22.74,411,77.26,04020
4,21,836,156,18.66,680,81.34,04021
4,22,74,6,8.11,68,91.89,04022
4,25,705,166,23.55,539,76.45,04025
4,28,390,21,5.38,369,94.62,04028
4,29,214,3,1.4,211,98.6,04029
4,30,107,2,1.87,105,98.13,04030
4,34,545,14,2.57,531,97.43,04034
4,35,701,20,2.85,681,97.15,04035
4,36,354,9,2.54,345,97.46,04036
4,37,974,201,20.64,773,79.36,04037
6,21,294,2,0.68,292,99.32,06021
11,2,78,12,15.38,66,84.62,11002
11,6,752,187,24.87,565,75.13,11006
11,7,890,139,15.62,751,84.38,11007
11,14,258,88,34.11,170,65.89,11014
11,30,261,86,32.95,175,67.05,11030
11,33,615,173,28.13,442,71.87,11033
11,34,159,57,35.85,102,64.15,11034
11,35,107,30,28.04,77,71.96,11035
11,36,231,54,23.38,177,76.62,11036
11,37,151,33,21.85,118,78.15,11037
12,10,84,3,3.57,81,96.43,12010
12,15,239,23,9.62,216,90.38,12015
12,18,163,15,9.2,148,90.8,12018
15,2,331,7,2.11,324,97.89,15002
15,3,333,12,3.6,321,96.4,15003
15,7,359,7,1.95,352,98.05,15007
15,13,55,7,12.73,48,87.27,15013
15,14,63,4,6.35,59,93.65,15014
15,16,14,0,0.0,14,100.0,15016
15,17,346,13,3.76,333,96.24,15017
15,18,361,11,3.05,350,96.95,15018
15,20,303,4,1.32,299,98.68,15020
15,21,306,4,1.31,302,98.69,15021
15,22,385,7,1.82,378,98.18,15022
15,23,398,7,1.76,391,98.24,15023
15,24,386,10,2.59,376,97.41,15024
16,2,435,9,2.07,426,97.93,16002
16,3,371,10,2.7,361,97.3,16003
16,4,402,15,3.73,387,96.27,16004
16,5,352,8,2.27,344,97.73,16005
16,6,396,8,2.02,388,97.98,16006
16,7,367,18,4.9,349,95.1,16007
16,8,301,16,5.32,285,94.68,16008
16,9,31,1,3.23,30,96.77,16009
16,10,383,19,4.96,364,95.04,16010
16,11,411,20,4.87,391,95.13,16011
16,12,366,12,3.28,354,96.72,16012
16,13,454,31,6.83,423,93.17,16013
16,14,377,15,3.98,362,96.02,16014
16,15,428,15,3.5,413,96.5,16015
16,16,391,7,1.79,384,98.21,16016
16,17,467,31,6.64,436,93.36,16017
16,18,395,21,5.32,374,94.68,16018
16,19,384,20,5.21,364,94.79,16019
16,20,361,8,2.22,353,97.78,16020
16,21,358,9,2.51,349,97.49,16021
16,22,392,10,2.55,382,97.45,16022
16,23,115,8,6.96,107,93.04,16023
16,24,241,10,4.15,231,95.85,16024
16,25,437,16,3.66,421,96.34,16025
16,26,357,12,3.36,345,96.64,16026
16,27,362,8,2.21,354,97.79,16027
16,29,385,9,2.34,376,97.66,16029
16,31,325,13,4.0,312,96.0,16031
16,33,380,6,1.58,374,98.42,16033
16,34,277,5,1.81,272,98.19,16034
16,35,345,15,4.35,330,95.65,16035
16,36,311,8,2.57,303,97.43,16036
17,6,200,7,3.5,193,96.5,17006
17,7,436,31,7.11,405,92.89,17007
17,8,50,1,2.0,49,98.0,17008
17,12,545,35,6.42,510,93.58,17012
17,13,420,14,3.33,406,96.67,17013
17,14,484,25,5.17,459,94.83,17014
17,16,103,12,11.65,91,88.35,17016
17,19,311,13,4.18,298,95.82,17019
17,25,16,0,0.0,16,100.0,17025
17,31,325,9,2.77,316,97.23,17031
17,33,210,11,5.24,199,94.76,17033
17,35,72,0,0.0,72,100.0,17035
17,36,71,3,4.23,68,95.77,17036
20,2,224,13,5.8,211,94.2,20002
20,4,178,6,3.37,172,96.63,20004
20,6,253,12,4.74,241,95.26,20006
20,11,77,1,1.3,76,98.7,20011
20,15,446,41,9.19,405,90.81,20015
20,17,309,26,8.41,283,91.59,20017
20,20,411,35,8.52,376,91.48,20020
20,21,413,16,3.87,397,96.13,20021
20,25,401,17,4.24,384,95.76,20025
20,27,102,5,4.9,97,95.1,20027
20,30,241,10,4.15,231,95.85,20030
20,31,416,10,2.4,406,97.6,20031
20,32,497,13,2.62,484,97.38,20032
20,36,191,4,2.09,187,97.91,20036
20,37,5,0,0.0,5,100.0,20037
20,38,205,5,2.44,200,97.56,20038
20,39,60,0,0.0,60,100.0,20039
22,14,215,25,11.63,190,88.37,22014
22,15,15,0,0.0,15,100.0,22015
22,19,262,7,2.67,255,97.33,22019
22,21,522,15,2.87,507,97.13,22021
23,17,134,18,13.43,116,86.57,23017
23,19,122,9,7.38,113,92.62,23019
23,31,45,4,8.89,41,91.11,23031
24,1,396,8,2.02,388,97.98,24001
24,2,451,8,1.77,443,98.23,24002
24,3,488,14,2.87,474,97.13,24003
24,4,364,7,1.92,357,98.08,24004
24,5,294,11,3.74,283,96.26,24005
24,6,437,8,1.83,429,98.17,24006
24,7,258,22,8.53,236,91.47,24007
24,8,205,8,3.9,197,96.1,24008
24,9,470,16,3.4,454,96.6,24009
24,10,213,3,1.41,210,98.59,24010
24,11,524,12,2.29,512,97.71,24011
24,12,293,10,3.41,283,96.59,24012
24,13,284,10,3.52,274,96.48,24013
24,14,433,13,3.0,420,97.0,24014
24,15,287,9,3.14,278,96.86,24015
24,16,83,3,3.61,80,96.39,24016
24,17,352,9,2.56,343,97.44,24017
24,18,434,11,2.53,423,97.47,24018
24,19,525,6,1.14,519,98.86,24019
24,20,384,10,2.6,374,97.4,24020
24,21,237,4,1.69,233,98.31,24021
24,22,603,16,2.65,587,97.35,24022
24,23,444,20,4.5,424,95.5,24023
24,24,592,19,3.21,573,96.79,24024
24,25,342,7,2.05,335,97.95,24025
24,26,577,6,1.04,571,98.96,24026
24,27,463,7,1.51,456,98.49,24027
24,28,327,2,0.61,325,99.39,24028
24,29,299,8,2.68,291,97.32,24029
24,30,251,1,0.4,250,99.6,24030
24,31,498,14,2.81,484,97.19,24031
24,32,258,7,2.71,251,97.29,24032
24,33,268,6,2.24,262,97.76,24033
24,34,416,13,3.13,403,96.88,24034
24,35,421,7,1.66,414,98.34,24035
24,36,524,20,3.82,504,96.18,24036
24,37,285,6,2.11,279,97.89,24037
24,38,337,15,4.45,322,95.55,24038
24,39,484,25,5.17,459,94.83,24039
24,40,486,12,2.47,474,97.53,24040
24,41,319,4,1.25,315,98.75,24041
25,3,737,218,29.58,519,70.42,25003
