ward,precinct,total,Andy Kirchoff,Andy Kirchoff Percent,Elizabeth Hernandez,Elizabeth Hernandez Percent,precinct_id
12,16,14,1,7.14,13,92.86,12016
22,3,613,31,5.06,582,94.94,22003
22,4,212,10,4.72,202,95.28,22004
22,5,442,23,5.2,419,94.8,22005
22,6,444,35,7.88,409,92.12,22006
22,7,275,18,6.55,257,93.45,22007
22,9,402,22,5.47,380,94.53,22009
22,10,9,0,0.0,9,100.0,22010
22,11,395,25,6.33,370,93.67,22011
22,13,180,16,8.89,164,91.11,22013
22,15,78,6,7.69,72,92.31,22015
22,16,27,3,11.11,24,88.89,22016
22,17,401,31,7.73,370,92.27,22017
22,18,196,12,6.12,184,93.88,22018
22,20,430,28,6.51,402,93.49,22020
22,24,525,37,7.05,488,92.95,22024
22,25,436,18,4.13,418,95.87,22025
