ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,162,162,100.0,01002
1,7,356,356,100.0,01007
1,9,395,395,100.0,01009
1,13,229,229,100.0,01013
1,16,485,485,100.0,01016
1,17,123,123,100.0,01017
1,19,647,647,100.0,01019
1,23,693,693,100.0,01023
1,34,467,467,100.0,01034
1,41,261,261,100.0,01041
1,42,82,82,100.0,01042
1,43,329,329,100.0,01043
26,7,361,361,100.0,26007
26,34,372,372,100.0,26034
26,37,35,35,100.0,26037
30,1,450,450,100.0,30001
30,4,362,362,100.0,30004
30,7,427,427,100.0,30007
30,9,220,220,100.0,30009
30,17,391,391,100.0,30017
30,18,194,194,100.0,30018
30,19,100,100,100.0,30019
30,20,415,415,100.0,30020
30,23,422,422,100.0,30023
30,24,82,82,100.0,30024
30,25,279,279,100.0,30025
30,26,248,248,100.0,30026
30,27,274,274,100.0,30027
30,31,253,253,100.0,30031
31,1,271,271,100.0,31001
31,2,219,219,100.0,31002
31,5,288,288,100.0,31005
31,6,224,224,100.0,31006
31,7,449,449,100.0,31007
31,8,218,218,100.0,31008
31,9,301,301,100.0,31009
31,10,282,282,100.0,31010
31,11,242,242,100.0,31011
31,12,256,256,100.0,31012
31,13,295,295,100.0,31013
31,14,213,213,100.0,31014
31,17,261,261,100.0,31017
31,18,254,254,100.0,31018
31,20,265,265,100.0,31020
31,21,182,182,100.0,31021
31,23,270,270,100.0,31023
31,24,282,282,100.0,31024
31,26,297,297,100.0,31026
31,27,267,267,100.0,31027
31,28,261,261,100.0,31028
31,29,241,241,100.0,31029
31,30,230,230,100.0,31030
31,32,248,248,100.0,31032
31,33,256,256,100.0,31033
31,34,277,277,100.0,31034
31,35,294,294,100.0,31035
31,36,273,273,100.0,31036
31,37,250,250,100.0,31037
31,38,293,293,100.0,31038
31,40,308,308,100.0,31040
31,41,258,258,100.0,31041
32,3,252,252,100.0,32003
32,11,505,505,100.0,32011
32,12,390,390,100.0,32012
32,14,568,568,100.0,32014
32,20,528,528,100.0,32020
32,22,685,685,100.0,32022
32,26,306,306,100.0,32026
32,28,298,298,100.0,32028
32,43,24,24,100.0,32043
35,2,55,55,100.0,35002
35,10,629,629,100.0,35010
35,11,474,474,100.0,35011
35,15,542,542,100.0,35015
35,17,529,529,100.0,35017
35,25,570,570,100.0,35025
35,28,437,437,100.0,35028
36,9,23,23,100.0,36009
36,14,390,390,100.0,36014
36,16,381,381,100.0,36016
36,17,387,387,100.0,36017
36,18,281,281,100.0,36018
36,20,368,368,100.0,36020
38,23,407,407,100.0,38023
38,34,373,373,100.0,38034
38,35,363,363,100.0,38035
38,39,141,141,100.0,38039
45,8,411,411,100.0,45008
45,9,431,431,100.0,45009
45,10,449,449,100.0,45010
45,11,334,334,100.0,45011
