ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
1,1,471,471,100.0,01001
1,2,457,457,100.0,01002
1,3,541,541,100.0,01003
1,4,516,516,100.0,01004
1,5,506,506,100.0,01005
1,6,438,438,100.0,01006
1,7,349,349,100.0,01007
1,8,401,401,100.0,01008
1,9,379,379,100.0,01009
1,10,577,577,100.0,01010
1,11,509,509,100.0,01011
1,12,521,521,100.0,01012
1,13,210,210,100.0,01013
1,14,470,470,100.0,01014
1,15,423,423,100.0,01015
1,16,468,468,100.0,01016
1,17,412,412,100.0,01017
1,18,501,501,100.0,01018
1,19,608,608,100.0,01019
1,20,395,395,100.0,01020
1,21,547,547,100.0,01021
1,22,303,303,100.0,01022
1,23,651,651,100.0,01023
1,24,415,415,100.0,01024
1,25,427,427,100.0,01025
1,26,324,324,100.0,01026
1,27,478,478,100.0,01027
1,28,137,137,100.0,01028
1,29,472,472,100.0,01029
1,30,511,511,100.0,01030
1,31,469,469,100.0,01031
1,32,440,440,100.0,01032
1,33,497,497,100.0,01033
1,34,428,428,100.0,01034
1,35,569,569,100.0,01035
1,36,500,500,100.0,01036
1,37,460,460,100.0,01037
1,38,458,458,100.0,01038
1,39,387,387,100.0,01039
1,40,457,457,100.0,01040
1,41,257,257,100.0,01041
1,42,153,153,100.0,01042
1,43,308,308,100.0,01043
1,44,419,419,100.0,01044
2,1,529,529,100.0,02001
2,2,322,322,100.0,02002
2,3,542,542,100.0,02003
2,4,409,409,100.0,02004
2,5,574,574,100.0,02005
2,6,509,509,100.0,02006
2,7,451,451,100.0,02007
2,8,563,563,100.0,02008
2,9,381,381,100.0,02009
2,10,176,176,100.0,02010
2,11,420,420,100.0,02011
2,12,423,423,100.0,02012
2,13,375,375,100.0,02013
2,14,488,488,100.0,02014
2,15,441,441,100.0,02015
2,16,453,453,100.0,02016
2,17,555,555,100.0,02017
2,18,442,442,100.0,02018
2,19,259,259,100.0,02019
2,20,549,549,100.0,02020
