ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,426,426,100.0,11001
11,3,425,425,100.0,11003
11,4,379,379,100.0,11004
11,5,576,576,100.0,11005
11,8,408,408,100.0,11008
11,9,360,360,100.0,11009
11,10,380,380,100.0,11010
11,11,461,461,100.0,11011
11,14,200,200,100.0,11014
11,15,156,156,100.0,11015
11,16,279,279,100.0,11016
11,17,499,499,100.0,11017
11,18,357,357,100.0,11018
11,19,556,556,100.0,11019
11,20,283,283,100.0,11020
11,22,529,529,100.0,11022
11,23,232,232,100.0,11023
11,25,497,497,100.0,11025
11,26,476,476,100.0,11026
11,27,163,163,100.0,11027
11,30,203,203,100.0,11030
11,36,197,197,100.0,11036
11,37,117,117,100.0,11037
11,38,224,224,100.0,11038
12,1,433,433,100.0,12001
12,3,528,528,100.0,12003
12,4,424,424,100.0,12004
12,5,354,354,100.0,12005
12,6,12,12,100.0,12006
12,8,432,432,100.0,12008
12,9,340,340,100.0,12009
12,13,343,343,100.0,12013
12,17,187,187,100.0,12017
12,19,423,423,100.0,12019
12,20,3,3,100.0,12020
12,21,455,455,100.0,12021
12,23,426,426,100.0,12023
14,1,352,352,100.0,14001
14,2,504,504,100.0,14002
14,4,333,333,100.0,14004
14,5,589,589,100.0,14005
14,6,175,175,100.0,14006
14,7,516,516,100.0,14007
14,8,462,462,100.0,14008
14,9,410,410,100.0,14009
14,10,265,265,100.0,14010
14,12,420,420,100.0,14012
14,13,338,338,100.0,14013
14,14,420,420,100.0,14014
14,16,278,278,100.0,14016
14,17,347,347,100.0,14017
14,18,36,36,100.0,14018
14,19,423,423,100.0,14019
14,20,283,283,100.0,14020
14,21,404,404,100.0,14021
14,22,134,134,100.0,14022
14,23,208,208,100.0,14023
14,24,407,407,100.0,14024
14,25,266,266,100.0,14025
14,26,318,318,100.0,14026
14,27,401,401,100.0,14027
14,28,307,307,100.0,14028
14,29,372,372,100.0,14029
14,30,252,252,100.0,14030
14,31,239,239,100.0,14031
15,3,40,40,100.0,15003
15,4,405,405,100.0,15004
15,5,321,321,100.0,15005
15,8,373,373,100.0,15008
15,9,456,456,100.0,15009
15,10,245,245,100.0,15010
15,11,296,296,100.0,15011
15,12,444,444,100.0,15012
15,13,312,312,100.0,15013
15,14,338,338,100.0,15014
15,15,356,356,100.0,15015
15,16,436,436,100.0,15016
15,19,354,354,100.0,15019
16,1,441,441,100.0,16001
16,2,79,79,100.0,16002
16,7,335,335,100.0,16007
16,11,367,367,100.0,16011
16,13,406,406,100.0,16013
16,17,297,297,100.0,16017
16,23,392,392,100.0,16023
16,32,441,441,100.0,16032
16,35,431,431,100.0,16035
17,1,228,228,100.0,17001
17,7,389,389,100.0,17007
17,12,518,518,100.0,17012
17,14,426,426,100.0,17014
17,16,365,365,100.0,17016
17,30,114,114,100.0,17030
20,20,0,0,0.0,20020
22,1,239,239,100.0,22001
22,2,434,434,100.0,22002
22,8,499,499,100.0,22008
22,12,344,344,100.0,22012
22,23,489,489,100.0,22023
23,3,302,302,100.0,23003
23,6,142,142,100.0,23006
23,12,22,22,100.0,23012
23,14,258,258,100.0,23014
23,17,179,179,100.0,23017
23,19,349,349,100.0,23019
23,20,18,18,100.0,23020
23,22,78,78,100.0,23022
23,24,212,212,100.0,23024
23,25,316,316,100.0,23025
23,26,159,159,100.0,23026
23,31,313,313,100.0,23031
23,37,103,103,100.0,23037
25,1,396,396,100.0,25001
25,2,465,465,100.0,25002
25,5,484,484,100.0,25005
25,6,121,121,100.0,25006
25,7,434,434,100.0,25007
25,8,530,530,100.0,25008
25,9,509,509,100.0,25009
25,11,497,497,100.0,25011
25,12,439,439,100.0,25012
25,13,511,511,100.0,25013
25,14,248,248,100.0,25014
25,15,409,409,100.0,25015
25,17,471,471,100.0,25017
25,18,247,247,100.0,25018
25,19,458,458,100.0,25019
25,22,475,475,100.0,25022
25,23,523,523,100.0,25023
25,24,489,489,100.0,25024
25,26,445,445,100.0,25026
25,27,33,33,100.0,25027
25,28,489,489,100.0,25028
25,30,456,456,100.0,25030
25,32,391,391,100.0,25032
28,19,2,2,100.0,28019
