ward,precinct,total,Trump & Pence,Trump & Pence Percent,Clinton & Kaine,Clinton & Kaine Percent,Johnson & Weld,Johnson & Weld Percent,Stein & Baraka,Stein & Baraka Percent,precinct_id
1,1,618,48,7.77,533,86.25,17,2.75,20,3.24,01001
1,2,587,32,5.45,526,89.61,14,2.39,15,2.56,01002
1,3,729,60,8.23,626,85.87,27,3.7,16,2.19,01003
1,4,701,63,8.99,589,84.02,37,5.28,12,1.71,01004
1,5,706,66,9.35,606,85.84,23,3.26,11,1.56,01005
1,6,629,69,10.97,520,82.67,25,3.97,15,2.38,01006
1,7,444,30,6.76,388,87.39,18,4.05,8,1.8,01007
1,8,610,48,7.87,533,87.38,19,3.11,10,1.64,01008
1,9,529,44,8.32,455,86.01,17,3.21,13,2.46,01009
1,10,784,80,10.2,651,83.04,38,4.85,15,1.91,01010
1,11,703,71,10.1,595,84.64,21,2.99,16,2.28,01011
1,12,735,99,13.47,601,81.77,19,2.59,16,2.18,01012
1,13,278,27,9.71,237,85.25,6,2.16,8,2.88,01013
1,14,651,46,7.07,576,88.48,19,2.92,10,1.54,01014
1,15,576,54,9.38,493,85.59,16,2.78,13,2.26,01015
1,16,595,39,6.55,524,88.07,18,3.03,14,2.35,01016
1,17,551,34,6.17,488,88.57,13,2.36,16,2.9,01017
1,18,660,29,4.39,591,89.55,14,2.12,26,3.94,01018
1,19,780,38,4.87,705,90.38,15,1.92,22,2.82,01019
1,20,494,30,6.07,432,87.45,19,3.85,13,2.63,01020
1,21,750,53,7.07,652,86.93,34,4.53,11,1.47,01021
1,22,403,17,4.22,365,90.57,16,3.97,5,1.24,01022
1,23,818,55,6.72,716,87.53,19,2.32,28,3.42,01023
1,24,568,33,5.81,501,88.2,15,2.64,19,3.35,01024
1,25,588,47,7.99,505,85.88,17,2.89,19,3.23,01025
1,26,432,34,7.87,374,86.57,10,2.31,14,3.24,01026
1,27,655,51,7.79,568,86.72,29,4.43,7,1.07,01027
1,28,223,13,5.83,205,91.93,3,1.35,2,0.9,01028
1,29,613,45,7.34,537,87.6,19,3.1,12,1.96,01029
1,30,707,43,6.08,625,88.4,18,2.55,21,2.97,01030
1,31,635,39,6.14,559,88.03,18,2.83,19,2.99,01031
1,32,617,65,10.53,519,84.12,22,3.57,11,1.78,01032
1,33,705,80,11.35,589,83.55,28,3.97,8,1.13,01033
1,34,546,31,5.68,484,88.64,12,2.2,19,3.48,01034
1,35,794,86,10.83,648,81.61,30,3.78,30,3.78,01035
1,36,682,83,12.17,554,81.23,29,4.25,16,2.35,01036
1,37,641,95,14.82,510,79.56,24,3.74,12,1.87,01037
1,38,648,49,7.56,569,87.81,18,2.78,12,1.85,01038
1,39,546,65,11.9,458,83.88,14,2.56,9,1.65,01039
1,40,630,81,12.86,518,82.22,17,2.7,14,2.22,01040
1,41,343,20,5.83,306,89.21,8,2.33,9,2.62,01041
1,42,188,20,10.64,157,83.51,3,1.6,8,4.26,01042
1,43,410,38,9.27,343,83.66,20,4.88,9,2.2,01043
1,44,525,22,4.19,471,89.71,18,3.43,14,2.67,01044
2,1,703,74,10.53,591,84.07,32,4.55,6,0.85,02001
2,2,523,109,20.84,388,74.19,20,3.82,6,1.15,02002
2,3,764,60,7.85,655,85.73,34,4.45,15,1.96,02003
2,4,587,50,8.52,503,85.69,23,3.92,11,1.87,02004
2,5,773,76,9.83,629,81.37,50,6.47,18,2.33,02005
2,6,646,66,10.22,543,84.06,25,3.87,12,1.86,02006
2,7,633,74,11.69,524,82.78,28,4.42,7,1.11,02007
2,8,780,83,10.64,642,82.31,39,5.0,16,2.05,02008
2,9,605,134,22.15,436,72.07,30,4.96,5,0.83,02009
2,10,575,163,28.35,391,68.0,16,2.78,5,0.87,02010
2,11,649,138,21.26,483,74.42,22,3.39,6,0.92,02011
2,12,603,61,10.12,511,84.74,25,4.15,6,1.0,02012
2,13,609,125,20.53,453,74.38,27,4.43,4,0.66,02013
2,14,672,82,12.2,557,82.89,16,2.38,17,2.53,02014
2,15,632,53,8.39,534,84.49,30,4.75,15,2.37,02015
2,16,611,47,7.69,540,88.38,20,3.27,4,0.65,02016
2,17,733,76,10.37,622,84.86,22,3.0,13,1.77,02017
2,18,654,140,21.41,492,75.23,15,2.29,7,1.07,02018
2,19,478,130,27.2,337,70.5,8,1.67,3,0.63,02019
2,20,772,127,16.45,602,77.98,34,4.4,9,1.17,02020
2,21,643,53,8.24,550,85.54,30,4.67,10,1.56,02021
2,22,697,120,17.22,525,75.32,42,6.03,10,1.43,02022
2,23,440,96,21.82,312,70.91,29,6.59,3,0.68,02023
2,24,632,77,12.18,507,80.22,40,6.33,8,1.27,02024
2,25,748,70,9.36,618,82.62,44,5.88,16,2.14,02025
2,26,604,81,13.41,491,81.29,23,3.81,9,1.49,02026
2,27,640,156,24.38,442,69.06,28,4.38,14,2.19,02027
2,28,751,155,20.64,557,74.17,35,4.66,4,0.53,02028
2,29,723,156,21.58,537,74.27,25,3.46,5,0.69,02029
2,30,565,120,21.24,415,73.45,24,4.25,6,1.06,02030
2,31,802,178,22.19,586,73.07,29,3.62,9,1.12,02031
2,32,603,118,19.57,444,73.63,32,5.31,9,1.49,02032
2,33,955,202,21.15,703,73.61,40,4.19,10,1.05,02033
2,34,535,110,20.56,404,75.51,16,2.99,5,0.93,02034
2,35,883,146,16.53,690,78.14,38,4.3,9,1.02,02035
2,36,550,109,19.82,414,75.27,22,4.0,5,0.91,02036
2,37,573,122,21.29,422,73.65,26,4.54,3,0.52,02037
2,38,626,168,26.84,418,66.77,31,4.95,9,1.44,02038
2,39,483,171,35.4,285,59.01,19,3.93,8,1.66,02039
