ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,671,671,100.0,04001
4,5,521,521,100.0,04005
4,9,573,573,100.0,04009
4,10,588,588,100.0,04010
4,15,528,528,100.0,04015
4,22,540,540,100.0,04022
4,23,534,534,100.0,04023
4,27,630,630,100.0,04027
4,31,528,528,100.0,04031
4,34,285,285,100.0,04034
5,1,482,482,100.0,05001
5,3,544,544,100.0,05003
5,7,486,486,100.0,05007
5,8,532,532,100.0,05008
5,9,607,607,100.0,05009
5,11,540,540,100.0,05011
5,14,300,300,100.0,05014
5,17,208,208,100.0,05017
5,18,494,494,100.0,05018
5,19,503,503,100.0,05019
5,20,571,571,100.0,05020
5,21,306,306,100.0,05021
5,22,563,563,100.0,05022
5,23,914,914,100.0,05023
5,24,573,573,100.0,05024
5,25,468,468,100.0,05025
5,26,547,547,100.0,05026
5,27,705,705,100.0,05027
5,28,282,282,100.0,05028
5,29,581,581,100.0,05029
5,31,426,426,100.0,05031
5,32,561,561,100.0,05032
5,33,523,523,100.0,05033
5,34,665,665,100.0,05034
5,35,533,533,100.0,05035
5,37,543,543,100.0,05037
5,38,484,484,100.0,05038
5,39,421,421,100.0,05039
5,40,400,400,100.0,05040
5,41,273,273,100.0,05041
7,5,366,366,100.0,07005
7,6,555,555,100.0,07006
7,7,455,455,100.0,07007
7,8,340,340,100.0,07008
7,9,680,680,100.0,07009
7,11,462,462,100.0,07011
7,12,400,400,100.0,07012
7,13,263,263,100.0,07013
7,14,469,469,100.0,07014
7,16,333,333,100.0,07016
7,17,358,358,100.0,07017
7,18,418,418,100.0,07018
7,21,291,291,100.0,07021
7,22,366,366,100.0,07022
7,25,129,129,100.0,07025
7,32,301,301,100.0,07032
7,33,480,480,100.0,07033
7,34,457,457,100.0,07034
7,35,431,431,100.0,07035
7,37,398,398,100.0,07037
7,46,146,146,100.0,07046
10,1,363,363,100.0,10001
10,4,365,365,100.0,10004
10,6,313,313,100.0,10006
10,7,291,291,100.0,10007
10,8,332,332,100.0,10008
10,10,358,358,100.0,10010
10,11,467,467,100.0,10011
10,12,265,265,100.0,10012
10,14,465,465,100.0,10014
10,19,382,382,100.0,10019
10,20,376,376,100.0,10020
10,21,375,375,100.0,10021
10,22,255,255,100.0,10022
10,23,342,342,100.0,10023
10,25,137,137,100.0,10025
10,26,325,325,100.0,10026
10,28,432,432,100.0,10028
10,29,371,371,100.0,10029
10,30,381,381,100.0,10030
10,31,303,303,100.0,10031
10,32,362,362,100.0,10032
10,33,293,293,100.0,10033
10,34,48,48,100.0,10034
10,35,355,355,100.0,10035
10,36,83,83,100.0,10036
20,24,293,293,100.0,20024
20,26,444,444,100.0,20026
20,34,630,630,100.0,20034
