ward,precinct,total,Matthew Link,Matthew Link Percent,precinct_id
3,28,10,10,100.0,03028
11,1,333,333,100.0,11001
11,2,53,53,100.0,11002
11,3,323,323,100.0,11003
11,4,295,295,100.0,11004
11,5,438,438,100.0,11005
11,7,413,413,100.0,11007
11,8,286,286,100.0,11008
11,9,288,288,100.0,11009
11,10,285,285,100.0,11010
11,11,355,355,100.0,11011
11,17,380,380,100.0,11017
11,19,416,416,100.0,11019
11,21,404,404,100.0,11021
11,22,395,395,100.0,11022
11,24,412,412,100.0,11024
11,25,387,387,100.0,11025
11,26,367,367,100.0,11026
11,29,347,347,100.0,11029
11,31,310,310,100.0,11031
11,33,418,418,100.0,11033
11,37,0,0,0.0,11037
11,38,165,165,100.0,11038
12,1,340,340,100.0,12001
12,2,230,230,100.0,12002
12,3,391,391,100.0,12003
12,4,332,332,100.0,12004
12,5,257,257,100.0,12005
12,6,315,315,100.0,12006
12,7,329,329,100.0,12007
12,8,321,321,100.0,12008
12,9,268,268,100.0,12009
12,10,371,371,100.0,12010
12,11,331,331,100.0,12011
12,12,336,336,100.0,12012
12,13,326,326,100.0,12013
12,14,289,289,100.0,12014
12,15,258,258,100.0,12015
12,16,294,294,100.0,12016
12,17,367,367,100.0,12017
12,18,253,253,100.0,12018
12,19,305,305,100.0,12019
12,20,385,385,100.0,12020
12,21,348,348,100.0,12021
12,22,297,297,100.0,12022
12,23,321,321,100.0,12023
14,5,413,413,100.0,14005
14,6,161,161,100.0,14006
14,10,203,203,100.0,14010
14,11,179,179,100.0,14011
14,14,345,345,100.0,14014
14,15,346,346,100.0,14015
14,16,212,212,100.0,14016
14,17,265,265,100.0,14017
14,19,335,335,100.0,14019
14,20,210,210,100.0,14020
14,21,265,265,100.0,14021
14,25,193,193,100.0,14025
14,26,233,233,100.0,14026
14,29,246,246,100.0,14029
14,30,202,202,100.0,14030
14,31,205,205,100.0,14031
15,1,287,287,100.0,15001
15,4,304,304,100.0,15004
15,5,308,308,100.0,15005
15,6,332,332,100.0,15006
15,8,284,284,100.0,15008
15,9,371,371,100.0,15009
15,10,405,405,100.0,15010
15,11,413,413,100.0,15011
15,12,412,412,100.0,15012
15,13,317,317,100.0,15013
15,14,289,289,100.0,15014
15,15,262,262,100.0,15015
15,16,335,335,100.0,15016
15,19,253,253,100.0,15019
16,1,342,342,100.0,16001
16,2,64,64,100.0,16002
16,4,258,258,100.0,16004
16,6,17,17,100.0,16006
16,7,264,264,100.0,16007
16,11,250,250,100.0,16011
16,13,288,288,100.0,16013
16,17,320,320,100.0,16017
16,18,259,259,100.0,16018
16,19,261,261,100.0,16019
16,22,261,261,100.0,16022
16,23,294,294,100.0,16023
16,32,353,353,100.0,16032
16,35,325,325,100.0,16035
17,6,293,293,100.0,17006
17,7,297,297,100.0,17007
17,12,275,275,100.0,17012
17,14,202,202,100.0,17014
17,16,335,335,100.0,17016
17,25,186,186,100.0,17025
20,4,31,31,100.0,20004
20,15,314,314,100.0,20015
20,17,187,187,100.0,20017
20,20,272,272,100.0,20020
22,3,430,430,100.0,22003
22,4,241,241,100.0,22004
22,5,266,266,100.0,22005
22,6,289,289,100.0,22006
22,7,211,211,100.0,22007
22,9,225,225,100.0,22009
22,10,407,407,100.0,22010
22,11,218,218,100.0,22011
22,12,266,266,100.0,22012
22,13,284,284,100.0,22013
22,14,225,225,100.0,22014
22,15,257,257,100.0,22015
22,16,242,242,100.0,22016
22,17,302,302,100.0,22017
22,18,305,305,100.0,22018
22,19,161,161,100.0,22019
22,20,308,308,100.0,22020
22,22,249,249,100.0,22022
22,24,336,336,100.0,22024
22,25,301,301,100.0,22025
24,7,175,175,100.0,24007
24,10,4,4,100.0,24010
24,16,299,299,100.0,24016
24,39,285,285,100.0,24039
25,1,300,300,100.0,25001
25,2,333,333,100.0,25002
25,4,73,73,100.0,25004
25,5,331,331,100.0,25005
25,7,315,315,100.0,25007
25,8,382,382,100.0,25008
25,9,331,331,100.0,25009
25,11,376,376,100.0,25011
25,12,335,335,100.0,25012
25,13,327,327,100.0,25013
25,14,20,20,100.0,25014
25,15,292,292,100.0,25015
25,17,320,320,100.0,25017
25,19,319,319,100.0,25019
25,22,344,344,100.0,25022
25,23,361,361,100.0,25023
25,24,372,372,100.0,25024
25,25,353,353,100.0,25025
25,26,325,325,100.0,25026
25,27,26,26,100.0,25027
25,28,363,363,100.0,25028
25,30,313,313,100.0,25030
25,32,276,276,100.0,25032
28,19,1,1,100.0,28019
