ward,precinct,total,John F Morrow,John F Morrow Percent,Robin Kelly,Robin Kelly Percent,precinct_id
5,1,539,16,2.97,523,97.03,05001
5,6,486,18,3.7,468,96.3,05006
5,10,204,3,1.47,201,98.53,05010
5,11,367,23,6.27,344,93.73,05011
5,14,452,5,1.11,447,98.89,05014
5,18,208,9,4.33,199,95.67,05018
5,23,1007,78,7.75,929,92.25,05023
5,25,378,13,3.44,365,96.56,05025
5,26,600,17,2.83,583,97.17,05026
5,28,584,22,3.77,562,96.23,05028
5,29,622,17,2.73,605,97.27,05029
5,31,471,11,2.34,460,97.66,05031
5,32,590,17,2.88,573,97.12,05032
5,35,101,3,2.97,98,97.03,05035
5,36,370,16,4.32,354,95.68,05036
5,37,590,39,6.61,551,93.39,05037
5,38,556,8,1.44,548,98.56,05038
5,40,448,12,2.68,436,97.32,05040
5,41,287,8,2.79,279,97.21,05041
7,1,301,11,3.65,290,96.35,07001
7,2,512,14,2.73,498,97.27,07002
7,3,440,12,2.73,428,97.27,07003
7,4,427,9,2.11,418,97.89,07004
7,5,416,16,3.85,400,96.15,07005
7,6,603,23,3.81,580,96.19,07006
7,7,513,21,4.09,492,95.91,07007
7,8,379,17,4.49,362,95.51,07008
7,9,751,28,3.73,723,96.27,07009
7,10,495,13,2.63,482,97.37,07010
7,11,576,12,2.08,564,97.92,07011
7,12,478,15,3.14,463,96.86,07012
7,13,289,5,1.73,284,98.27,07013
7,14,526,26,4.94,500,95.06,07014
7,15,460,14,3.04,446,96.96,07015
7,16,425,12,2.82,413,97.18,07016
7,17,415,22,5.3,393,94.7,07017
7,18,456,16,3.51,440,96.49,07018
7,19,442,11,2.49,431,97.51,07019
7,20,364,14,3.85,350,96.15,07020
7,21,410,18,4.39,392,95.61,07021
7,22,422,28,6.64,394,93.36,07022
7,23,433,6,1.39,427,98.61,07023
7,24,412,9,2.18,403,97.82,07024
7,25,456,34,7.46,422,92.54,07025
7,26,373,14,3.75,359,96.25,07026
7,27,389,11,2.83,378,97.17,07027
7,28,366,14,3.83,352,96.17,07028
7,29,398,14,3.52,384,96.48,07029
7,30,403,15,3.72,388,96.28,07030
7,31,309,15,4.85,294,95.15,07031
7,32,583,15,2.57,568,97.43,07032
7,33,531,16,3.01,515,96.99,07033
7,34,508,4,0.79,504,99.21,07034
7,35,466,16,3.43,450,96.57,07035
7,36,528,11,2.08,517,97.92,07036
7,37,481,13,2.7,468,97.3,07037
7,38,417,12,2.88,405,97.12,07038
7,39,413,13,3.15,400,96.85,07039
7,40,403,9,2.23,394,97.77,07040
7,41,438,10,2.28,428,97.72,07041
7,42,415,10,2.41,405,97.59,07042
7,43,432,10,2.31,422,97.69,07043
7,44,415,12,2.89,403,97.11,07044
7,45,500,25,5.0,475,95.0,07045
7,46,182,12,6.59,170,93.41,07046
8,4,329,4,1.22,325,98.78,08004
8,5,18,0,0.0,18,100.0,08005
8,7,521,10,1.92,511,98.08,08007
8,9,315,9,2.86,306,97.14,08009
8,17,380,9,2.37,371,97.63,08017
8,27,406,7,1.72,399,98.28,08027
8,28,497,10,2.01,487,97.99,08028
8,32,386,7,1.81,379,98.19,08032
8,36,498,6,1.2,492,98.8,08036
8,39,475,10,2.11,465,97.89,08039
8,42,627,14,2.23,613,97.77,08042
8,46,405,11,2.72,394,97.28,08046
8,49,61,0,0.0,61,100.0,08049
8,50,171,1,0.58,170,99.42,08050
8,53,257,4,1.56,253,98.44,08053
9,1,474,18,3.8,456,96.2,09001
9,2,424,9,2.12,415,97.88,09002
9,3,435,12,2.76,423,97.24,09003
9,4,374,9,2.41,365,97.59,09004
9,5,399,4,1.0,395,99.0,09005
9,6,443,11,2.48,432,97.52,09006
9,7,355,11,3.1,344,96.9,09007
9,8,517,12,2.32,505,97.68,09008
9,9,505,10,1.98,495,98.02,09009
9,10,393,6,1.53,387,98.47,09010
9,11,363,15,4.13,348,95.87,09011
9,13,465,9,1.94,456,98.06,09013
9,14,541,10,1.85,531,98.15,09014
9,15,584,20,3.42,564,96.58,09015
9,16,401,13,3.24,388,96.76,09016
9,17,424,7,1.65,417,98.35,09017
9,18,335,9,2.69,326,97.31,09018
9,19,431,11,2.55,420,97.45,09019
9,20,448,7,1.56,441,98.44,09020
9,21,417,12,2.88,405,97.12,09021
9,22,476,14,2.94,462,97.06,09022
9,26,651,11,1.69,640,98.31,09026
9,27,431,9,2.09,422,97.91,09027
9,28,342,21,6.14,321,93.86,09028
9,29,461,21,4.56,440,95.44,09029
9,30,387,14,3.62,373,96.38,09030
9,31,381,12,3.15,369,96.85,09031
9,32,443,17,3.84,426,96.16,09032
9,33,380,10,2.63,370,97.37,09033
9,34,412,10,2.43,402,97.57,09034
9,35,419,6,1.43,413,98.57,09035
9,37,570,71,12.46,499,87.54,09037
9,38,464,16,3.45,448,96.55,09038
9,39,493,7,1.42,486,98.58,09039
9,40,471,10,2.12,461,97.88,09040
9,41,380,7,1.84,373,98.16,09041
9,43,464,18,3.88,446,96.12,09043
9,44,374,4,1.07,370,98.93,09044
9,45,430,7,1.63,423,98.37,09045
9,46,486,27,5.56,459,94.44,09046
10,1,409,23,5.62,386,94.38,10001
10,2,419,137,32.7,282,67.3,10002
10,3,419,133,31.74,286,68.26,10003
10,4,404,32,7.92,372,92.08,10004
10,5,368,113,30.71,255,69.29,10005
10,6,385,65,16.88,320,83.12,10006
10,7,347,47,13.54,300,86.46,10007
10,8,384,10,2.6,374,97.4,10008
10,9,423,146,34.52,277,65.48,10009
10,10,455,105,23.08,350,76.92,10010
10,11,541,85,15.71,456,84.29,10011
