ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,131,131,100.0,03001
3,3,414,414,100.0,03003
3,5,383,383,100.0,03005
3,10,294,294,100.0,03010
3,13,590,590,100.0,03013
3,18,450,450,100.0,03018
3,26,569,569,100.0,03026
3,29,74,74,100.0,03029
3,36,146,146,100.0,03036
3,41,297,297,100.0,03041
4,13,621,621,100.0,04013
4,16,152,152,100.0,04016
4,17,676,676,100.0,04017
4,20,424,424,100.0,04020
4,21,476,476,100.0,04021
4,37,824,824,100.0,04037
6,15,148,148,100.0,06015
6,18,40,40,100.0,06018
6,28,86,86,100.0,06028
11,12,497,497,100.0,11012
11,13,476,476,100.0,11013
11,21,515,515,100.0,11021
11,24,470,470,100.0,11024
11,28,190,190,100.0,11028
11,29,439,439,100.0,11029
11,31,406,406,100.0,11031
11,32,184,184,100.0,11032
11,34,118,118,100.0,11034
11,35,81,81,100.0,11035
15,1,350,350,100.0,15001
15,2,303,303,100.0,15002
15,3,250,250,100.0,15003
15,5,70,70,100.0,15005
15,7,153,153,100.0,15007
15,13,89,89,100.0,15013
15,14,56,56,100.0,15014
15,17,303,303,100.0,15017
15,18,317,317,100.0,15018
15,20,261,261,100.0,15020
15,21,280,280,100.0,15021
15,22,33,33,100.0,15022
15,23,335,335,100.0,15023
15,24,330,330,100.0,15024
16,2,288,288,100.0,16002
16,3,313,313,100.0,16003
16,4,349,349,100.0,16004
16,5,315,315,100.0,16005
16,6,147,147,100.0,16006
16,8,266,266,100.0,16008
16,9,385,385,100.0,16009
16,10,326,326,100.0,16010
16,12,321,321,100.0,16012
16,14,330,330,100.0,16014
16,15,380,380,100.0,16015
16,17,130,130,100.0,16017
16,18,333,333,100.0,16018
16,19,329,329,100.0,16019
16,20,316,316,100.0,16020
16,21,304,304,100.0,16021
16,22,337,337,100.0,16022
16,25,380,380,100.0,16025
16,26,297,297,100.0,16026
16,27,317,317,100.0,16027
16,28,313,313,100.0,16028
16,30,57,57,100.0,16030
16,31,363,363,100.0,16031
16,33,18,18,100.0,16033
16,34,320,320,100.0,16034
16,36,274,274,100.0,16036
17,1,0,0,0.0,17001
17,6,382,382,100.0,17006
17,8,214,214,100.0,17008
17,16,46,46,100.0,17016
17,17,22,22,100.0,17017
17,25,320,320,100.0,17025
18,50,142,142,100.0,18050
20,2,185,185,100.0,20002
20,4,213,213,100.0,20004
20,6,224,224,100.0,20006
20,13,479,479,100.0,20013
20,15,430,430,100.0,20015
20,17,268,268,100.0,20017
20,20,365,365,100.0,20020
20,21,355,355,100.0,20021
20,25,344,344,100.0,20025
20,27,241,241,100.0,20027
20,29,496,496,100.0,20029
20,32,418,418,100.0,20032
20,36,169,169,100.0,20036
20,38,172,172,100.0,20038
20,39,36,36,100.0,20039
25,14,0,0,0.0,25014
25,21,792,792,100.0,25021
25,27,265,265,100.0,25027
42,5,433,433,100.0,42005
42,9,594,594,100.0,42009
42,10,257,257,100.0,42010
42,12,167,167,100.0,42012
42,14,205,205,100.0,42014
42,15,323,323,100.0,42015
42,17,720,720,100.0,42017
42,18,658,658,100.0,42018
42,21,409,409,100.0,42021
42,33,0,0,0.0,42033
42,36,510,510,100.0,42036
42,37,398,398,100.0,42037
42,38,480,480,100.0,42038
42,41,363,363,100.0,42041
