ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,41,21,21,100.0,01041
1,42,25,25,100.0,01042
30,3,315,315,100.0,30003
30,7,2,2,100.0,30007
30,8,446,446,100.0,30008
30,15,336,336,100.0,30015
30,18,279,279,100.0,30018
30,22,548,548,100.0,30022
30,23,29,29,100.0,30023
30,24,379,379,100.0,30024
30,25,236,236,100.0,30025
30,28,474,474,100.0,30028
30,32,316,316,100.0,30032
32,1,177,177,100.0,32001
32,3,306,306,100.0,32003
32,17,535,535,100.0,32017
32,26,267,267,100.0,32026
32,28,222,222,100.0,32028
32,43,435,435,100.0,32043
33,1,547,547,100.0,33001
33,2,330,330,100.0,33002
33,3,516,516,100.0,33003
33,4,683,683,100.0,33004
33,5,371,371,100.0,33005
33,6,510,510,100.0,33006
33,7,449,449,100.0,33007
33,9,601,601,100.0,33009
33,11,590,590,100.0,33011
33,12,555,555,100.0,33012
33,13,518,518,100.0,33013
33,14,273,273,100.0,33014
33,15,592,592,100.0,33015
33,16,712,712,100.0,33016
33,17,593,593,100.0,33017
33,18,447,447,100.0,33018
33,19,561,561,100.0,33019
33,20,543,543,100.0,33020
33,21,592,592,100.0,33021
33,22,522,522,100.0,33022
33,25,651,651,100.0,33025
33,26,433,433,100.0,33026
33,27,565,565,100.0,33027
33,28,507,507,100.0,33028
35,1,459,459,100.0,35001
35,4,442,442,100.0,35004
35,5,425,425,100.0,35005
35,6,425,425,100.0,35006
35,9,457,457,100.0,35009
35,20,446,446,100.0,35020
35,22,535,535,100.0,35022
35,23,462,462,100.0,35023
35,24,424,424,100.0,35024
35,26,395,395,100.0,35026
35,27,430,430,100.0,35027
35,29,428,428,100.0,35029
35,30,450,450,100.0,35030
35,31,499,499,100.0,35031
39,3,442,442,100.0,39003
39,6,4,4,100.0,39006
39,12,334,334,100.0,39012
39,25,326,326,100.0,39025
39,28,494,494,100.0,39028
39,31,336,336,100.0,39031
39,34,433,433,100.0,39034
45,1,363,363,100.0,45001
45,2,384,384,100.0,45002
45,3,385,385,100.0,45003
45,4,516,516,100.0,45004
45,5,410,410,100.0,45005
45,6,502,502,100.0,45006
45,7,603,603,100.0,45007
45,8,27,27,100.0,45008
