ward,precinct,total,Susana L. Ortiz,Susana L. Ortiz Percent,precinct_id
1,1,435,435,100.0,01001
1,2,434,434,100.0,01002
1,3,519,519,100.0,01003
1,4,476,476,100.0,01004
1,5,467,467,100.0,01005
1,6,413,413,100.0,01006
1,7,324,324,100.0,01007
1,8,372,372,100.0,01008
1,9,358,358,100.0,01009
1,10,545,545,100.0,01010
1,11,490,490,100.0,01011
1,12,481,481,100.0,01012
1,13,195,195,100.0,01013
1,14,453,453,100.0,01014
1,15,403,403,100.0,01015
1,16,434,434,100.0,01016
1,17,378,378,100.0,01017
1,18,473,473,100.0,01018
1,19,580,580,100.0,01019
1,20,365,365,100.0,01020
1,21,533,533,100.0,01021
1,22,293,293,100.0,01022
1,23,619,619,100.0,01023
1,24,385,385,100.0,01024
1,25,406,406,100.0,01025
1,26,300,300,100.0,01026
1,27,456,456,100.0,01027
1,28,123,123,100.0,01028
1,29,433,433,100.0,01029
1,30,503,503,100.0,01030
1,31,436,436,100.0,01031
1,32,418,418,100.0,01032
1,33,470,470,100.0,01033
1,34,396,396,100.0,01034
1,35,551,551,100.0,01035
1,36,488,488,100.0,01036
1,37,416,416,100.0,01037
1,38,439,439,100.0,01038
1,39,374,374,100.0,01039
1,40,430,430,100.0,01040
1,41,241,241,100.0,01041
1,42,141,141,100.0,01042
1,43,277,277,100.0,01043
1,44,401,401,100.0,01044
2,1,505,505,100.0,02001
2,2,325,325,100.0,02002
2,3,507,507,100.0,02003
2,4,387,387,100.0,02004
2,5,549,549,100.0,02005
2,6,460,460,100.0,02006
2,7,411,411,100.0,02007
2,8,508,508,100.0,02008
2,9,368,368,100.0,02009
2,10,298,298,100.0,02010
2,11,392,392,100.0,02011
2,12,385,385,100.0,02012
2,13,366,366,100.0,02013
2,14,456,456,100.0,02014
2,15,426,426,100.0,02015
2,16,426,426,100.0,02016
2,17,512,512,100.0,02017
2,18,419,419,100.0,02018
2,19,231,231,100.0,02019
2,20,514,514,100.0,02020
2,21,450,450,100.0,02021
2,22,435,435,100.0,02022
2,23,244,244,100.0,02023
