ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,8,8,100.0,17018
18,9,229,229,100.0,18009
18,19,23,23,100.0,18019
18,26,120,120,100.0,18026
18,32,407,407,100.0,18032
18,34,469,469,100.0,18034
19,3,298,298,100.0,19003
19,5,444,444,100.0,19005
19,9,313,313,100.0,19009
19,12,290,290,100.0,19012
19,16,62,62,100.0,19016
19,18,26,26,100.0,19018
19,24,276,276,100.0,19024
19,30,29,29,100.0,19030
19,33,107,107,100.0,19033
19,55,312,312,100.0,19055
19,56,333,333,100.0,19056
21,7,430,430,100.0,21007
21,9,447,447,100.0,21009
21,13,375,375,100.0,21013
21,15,94,94,100.0,21015
21,26,29,29,100.0,21026
21,29,276,276,100.0,21029
