ward,precinct,total,Rossana P. Fernandez,Rossana P. Fernandez Percent,precinct_id
1,1,448,448,100.0,01001
1,2,437,437,100.0,01002
1,3,522,522,100.0,01003
1,4,491,491,100.0,01004
1,5,482,482,100.0,01005
1,6,421,421,100.0,01006
1,7,328,328,100.0,01007
1,8,383,383,100.0,01008
1,9,361,361,100.0,01009
1,10,559,559,100.0,01010
1,11,495,495,100.0,01011
1,12,490,490,100.0,01012
1,13,198,198,100.0,01013
1,14,455,455,100.0,01014
1,15,410,410,100.0,01015
1,16,448,448,100.0,01016
1,17,380,380,100.0,01017
1,18,480,480,100.0,01018
1,19,598,598,100.0,01019
1,20,376,376,100.0,01020
1,21,531,531,100.0,01021
1,22,298,298,100.0,01022
1,23,628,628,100.0,01023
1,24,392,392,100.0,01024
1,25,414,414,100.0,01025
1,26,313,313,100.0,01026
1,27,460,460,100.0,01027
1,28,132,132,100.0,01028
1,29,446,446,100.0,01029
1,30,511,511,100.0,01030
1,31,436,436,100.0,01031
1,32,431,431,100.0,01032
1,33,485,485,100.0,01033
1,34,405,405,100.0,01034
1,35,562,562,100.0,01035
1,36,499,499,100.0,01036
1,37,433,433,100.0,01037
1,38,444,444,100.0,01038
1,39,384,384,100.0,01039
1,40,433,433,100.0,01040
1,41,245,245,100.0,01041
1,42,144,144,100.0,01042
1,43,288,288,100.0,01043
1,44,403,403,100.0,01044
2,1,510,510,100.0,02001
2,2,326,326,100.0,02002
2,3,520,520,100.0,02003
2,4,396,396,100.0,02004
2,5,555,555,100.0,02005
2,6,478,478,100.0,02006
2,7,433,433,100.0,02007
2,8,526,526,100.0,02008
2,9,365,365,100.0,02009
2,10,318,318,100.0,02010
2,11,395,395,100.0,02011
2,12,409,409,100.0,02012
2,13,372,372,100.0,02013
2,14,472,472,100.0,02014
2,15,431,431,100.0,02015
2,16,439,439,100.0,02016
2,17,521,521,100.0,02017
2,18,432,432,100.0,02018
2,19,241,241,100.0,02019
2,20,514,514,100.0,02020
2,21,458,458,100.0,02021
2,22,440,440,100.0,02022
2,23,254,254,100.0,02023
2,24,424,424,100.0,02024
2,25,527,527,100.0,02025
2,26,378,378,100.0,02026
2,27,370,370,100.0,02027
2,28,507,507,100.0,02028
2,29,471,471,100.0,02029
2,30,361,361,100.0,02030
