ward,precinct,total,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,precinct_id
3,1,474,474,100.0,03001
3,2,455,455,100.0,03002
3,4,479,479,100.0,03004
3,5,298,298,100.0,03005
3,7,252,252,100.0,03007
3,8,381,381,100.0,03008
3,9,428,428,100.0,03009
3,10,237,237,100.0,03010
3,11,421,421,100.0,03011
3,12,390,390,100.0,03012
3,15,447,447,100.0,03015
3,16,421,421,100.0,03016
3,18,539,539,100.0,03018
3,20,430,430,100.0,03020
3,23,390,390,100.0,03023
3,24,356,356,100.0,03024
3,28,232,232,100.0,03028
3,29,455,455,100.0,03029
3,30,399,399,100.0,03030
3,31,516,516,100.0,03031
3,35,227,227,100.0,03035
3,36,252,252,100.0,03036
3,37,384,384,100.0,03037
3,38,333,333,100.0,03038
3,41,311,311,100.0,03041
4,1,563,563,100.0,04001
4,3,407,407,100.0,04003
4,4,580,580,100.0,04004
4,5,438,438,100.0,04005
4,6,361,361,100.0,04006
4,7,552,552,100.0,04007
4,8,507,507,100.0,04008
4,9,467,467,100.0,04009
4,10,514,514,100.0,04010
4,11,467,467,100.0,04011
4,12,523,523,100.0,04012
4,14,453,453,100.0,04014
4,15,545,545,100.0,04015
4,18,376,376,100.0,04018
4,19,400,400,100.0,04019
4,22,458,458,100.0,04022
4,23,581,581,100.0,04023
4,24,424,424,100.0,04024
4,26,414,414,100.0,04026
4,27,539,539,100.0,04027
4,28,410,410,100.0,04028
4,29,481,481,100.0,04029
4,30,577,577,100.0,04030
4,31,440,440,100.0,04031
4,32,507,507,100.0,04032
4,33,473,473,100.0,04033
4,34,411,411,100.0,04034
4,35,550,550,100.0,04035
4,36,516,516,100.0,04036
4,38,480,480,100.0,04038
5,1,395,395,100.0,05001
5,2,357,357,100.0,05002
5,3,444,444,100.0,05003
5,4,529,529,100.0,05004
5,5,375,375,100.0,05005
5,6,354,354,100.0,05006
5,7,417,417,100.0,05007
5,8,432,432,100.0,05008
5,9,502,502,100.0,05009
5,10,356,356,100.0,05010
5,11,429,429,100.0,05011
5,12,88,88,100.0,05012
5,13,356,356,100.0,05013
5,14,346,346,100.0,05014
5,15,403,403,100.0,05015
5,16,414,414,100.0,05016
5,17,340,340,100.0,05017
5,18,409,409,100.0,05018
5,19,390,390,100.0,05019
5,20,458,458,100.0,05020
5,21,461,461,100.0,05021
5,22,464,464,100.0,05022
5,23,726,726,100.0,05023
5,24,459,459,100.0,05024
5,25,406,406,100.0,05025
5,26,454,454,100.0,05026
5,27,550,550,100.0,05027
5,28,444,444,100.0,05028
5,29,474,474,100.0,05029
5,30,338,338,100.0,05030
5,31,348,348,100.0,05031
5,32,461,461,100.0,05032
5,33,430,430,100.0,05033
5,34,502,502,100.0,05034
5,35,424,424,100.0,05035
5,36,244,244,100.0,05036
5,37,405,405,100.0,05037
5,38,395,395,100.0,05038
5,39,325,325,100.0,05039
5,40,332,332,100.0,05040
5,41,206,206,100.0,05041
6,7,378,378,100.0,06007
6,9,359,359,100.0,06009
6,11,309,309,100.0,06011
6,15,250,250,100.0,06015
6,18,30,30,100.0,06018
6,21,191,191,100.0,06021
6,23,188,188,100.0,06023
6,24,185,185,100.0,06024
6,26,189,189,100.0,06026
6,28,203,203,100.0,06028
6,30,300,300,100.0,06030
6,32,350,350,100.0,06032
6,40,106,106,100.0,06040
6,48,370,370,100.0,06048
7,1,313,313,100.0,07001
7,2,354,354,100.0,07002
7,3,332,332,100.0,07003
7,4,335,335,100.0,07004
7,5,269,269,100.0,07005
7,6,458,458,100.0,07006
7,8,277,277,100.0,07008
7,9,547,547,100.0,07009
7,13,45,45,100.0,07013
8,1,267,267,100.0,08001
8,2,308,308,100.0,08002
8,26,162,162,100.0,08026
8,42,468,468,100.0,08042
11,12,401,401,100.0,11012
11,13,338,338,100.0,11013
11,14,161,161,100.0,11014
11,15,110,110,100.0,11015
11,16,218,218,100.0,11016
11,18,267,267,100.0,11018
11,20,224,224,100.0,11020
11,23,183,183,100.0,11023
11,27,131,131,100.0,11027
11,28,138,138,100.0,11028
11,32,151,151,100.0,11032
11,34,80,80,100.0,11034
11,35,54,54,100.0,11035
15,2,209,209,100.0,15002
15,3,235,235,100.0,15003
15,7,226,226,100.0,15007
15,17,237,237,100.0,15017
15,18,230,230,100.0,15018
15,20,196,196,100.0,15020
15,21,207,207,100.0,15021
15,22,115,115,100.0,15022
15,23,251,251,100.0,15023
15,24,242,242,100.0,15024
16,2,206,206,100.0,16002
16,3,231,231,100.0,16003
16,5,246,246,100.0,16005
16,6,255,255,100.0,16006
16,8,195,195,100.0,16008
16,9,295,295,100.0,16009
16,10,248,248,100.0,16010
16,11,25,25,100.0,16011
16,12,231,231,100.0,16012
16,14,241,241,100.0,16014
16,15,289,289,100.0,16015
16,16,251,251,100.0,16016
16,20,248,248,100.0,16020
16,21,213,213,100.0,16021
16,24,140,140,100.0,16024
16,25,276,276,100.0,16025
16,26,212,212,100.0,16026
16,27,224,224,100.0,16027
16,28,234,234,100.0,16028
16,29,182,182,100.0,16029
16,30,251,251,100.0,16030
16,31,264,264,100.0,16031
16,33,232,232,100.0,16033
16,34,251,251,100.0,16034
16,36,210,210,100.0,16036
17,8,71,71,100.0,17008
17,13,261,261,100.0,17013
17,19,79,79,100.0,17019
17,35,44,44,100.0,17035
17,36,131,131,100.0,17036
20,1,357,357,100.0,20001
20,2,146,146,100.0,20002
20,3,283,283,100.0,20003
20,4,124,124,100.0,20004
20,5,360,360,100.0,20005
20,6,164,164,100.0,20006
20,7,347,347,100.0,20007
20,8,303,303,100.0,20008
20,9,459,459,100.0,20009
20,10,290,290,100.0,20010
20,11,409,409,100.0,20011
20,12,300,300,100.0,20012
20,13,320,320,100.0,20013
20,14,173,173,100.0,20014
20,16,372,372,100.0,20016
20,17,10,10,100.0,20017
20,18,271,271,100.0,20018
20,19,342,342,100.0,20019
20,21,268,268,100.0,20021
20,22,390,390,100.0,20022
20,23,386,386,100.0,20023
20,24,351,351,100.0,20024
20,25,247,247,100.0,20025
20,26,378,378,100.0,20026
20,27,168,168,100.0,20027
20,28,218,218,100.0,20028
20,29,361,361,100.0,20029
20,30,166,166,100.0,20030
20,31,381,381,100.0,20031
20,32,273,273,100.0,20032
20,33,238,238,100.0,20033
20,34,518,518,100.0,20034
20,35,285,285,100.0,20035
20,36,130,130,100.0,20036
20,37,127,127,100.0,20037
20,38,136,136,100.0,20038
20,39,39,39,100.0,20039
