ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
11,1,451,451,100.0,11001
11,4,385,385,100.0,11004
11,5,574,574,100.0,11005
11,8,398,398,100.0,11008
11,9,375,375,100.0,11009
11,10,371,371,100.0,11010
11,11,470,470,100.0,11011
11,12,560,560,100.0,11012
11,13,532,532,100.0,11013
11,15,158,158,100.0,11015
11,16,306,306,100.0,11016
11,17,502,502,100.0,11017
11,18,363,363,100.0,11018
11,19,572,572,100.0,11019
11,20,291,291,100.0,11020
11,21,561,561,100.0,11021
11,22,535,535,100.0,11022
11,23,243,243,100.0,11023
11,24,516,516,100.0,11024
11,25,507,507,100.0,11025
11,26,493,493,100.0,11026
11,27,164,164,100.0,11027
11,28,211,211,100.0,11028
11,29,476,476,100.0,11029
11,31,438,438,100.0,11031
11,32,212,212,100.0,11032
11,37,0,0,0.0,11037
12,1,426,426,100.0,12001
12,3,420,420,100.0,12003
12,4,416,416,100.0,12004
12,5,118,118,100.0,12005
12,8,16,16,100.0,12008
12,9,339,339,100.0,12009
12,19,396,396,100.0,12019
12,23,426,426,100.0,12023
13,1,306,306,100.0,13001
13,2,280,280,100.0,13002
13,3,292,292,100.0,13003
13,4,396,396,100.0,13004
13,5,436,436,100.0,13005
13,6,330,330,100.0,13006
13,7,308,308,100.0,13007
13,8,284,284,100.0,13008
13,9,373,373,100.0,13009
13,10,312,312,100.0,13010
13,11,377,377,100.0,13011
13,12,330,330,100.0,13012
13,13,345,345,100.0,13013
13,14,364,364,100.0,13014
13,15,567,567,100.0,13015
13,16,280,280,100.0,13016
13,17,320,320,100.0,13017
13,18,296,296,100.0,13018
13,20,236,236,100.0,13020
13,21,413,413,100.0,13021
13,22,392,392,100.0,13022
13,23,319,319,100.0,13023
13,24,337,337,100.0,13024
13,25,382,382,100.0,13025
13,26,379,379,100.0,13026
13,27,342,342,100.0,13027
13,28,288,288,100.0,13028
13,29,317,317,100.0,13029
13,30,293,293,100.0,13030
13,31,375,375,100.0,13031
13,32,304,304,100.0,13032
13,33,317,317,100.0,13033
13,34,399,399,100.0,13034
13,35,326,326,100.0,13035
13,36,240,240,100.0,13036
13,37,410,410,100.0,13037
13,38,304,304,100.0,13038
13,39,362,362,100.0,13039
13,40,307,307,100.0,13040
13,41,356,356,100.0,13041
13,42,324,324,100.0,13042
13,43,367,367,100.0,13043
13,44,369,369,100.0,13044
13,45,379,379,100.0,13045
13,46,463,463,100.0,13046
13,47,429,429,100.0,13047
13,48,321,321,100.0,13048
14,1,429,429,100.0,14001
14,4,379,379,100.0,14004
14,5,39,39,100.0,14005
14,7,515,515,100.0,14007
