ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
28,1,333,333,100.0,28001
28,12,410,410,100.0,28012
28,14,347,347,100.0,28014
28,31,506,506,100.0,28031
28,39,320,320,100.0,28039
28,41,317,317,100.0,28041
28,42,291,291,100.0,28042
28,43,518,518,100.0,28043
29,2,654,654,100.0,29002
29,3,541,541,100.0,29003
29,6,394,394,100.0,29006
29,8,459,459,100.0,29008
29,11,282,282,100.0,29011
29,14,441,441,100.0,29014
29,16,512,512,100.0,29016
29,18,475,475,100.0,29018
29,19,513,513,100.0,29019
29,20,569,569,100.0,29020
29,21,610,610,100.0,29021
29,22,347,347,100.0,29022
29,28,577,577,100.0,29028
29,34,268,268,100.0,29034
29,42,511,511,100.0,29042
37,1,344,344,100.0,37001
37,5,421,421,100.0,37005
37,6,427,427,100.0,37006
37,9,458,458,100.0,37009
37,10,492,492,100.0,37010
37,11,346,346,100.0,37011
37,14,447,447,100.0,37014
37,15,440,440,100.0,37015
37,16,464,464,100.0,37016
37,17,387,387,100.0,37017
37,20,346,346,100.0,37020
37,22,156,156,100.0,37022
37,23,406,406,100.0,37023
37,24,438,438,100.0,37024
37,25,393,393,100.0,37025
37,26,454,454,100.0,37026
37,27,425,425,100.0,37027
37,29,175,175,100.0,37029
37,30,239,239,100.0,37030
37,31,430,430,100.0,37031
37,32,383,383,100.0,37032
37,33,492,492,100.0,37033
37,34,402,402,100.0,37034
37,36,422,422,100.0,37036
37,38,435,435,100.0,37038
37,39,392,392,100.0,37039
37,40,449,449,100.0,37040
37,41,399,399,100.0,37041
