ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,344,344,100.0,28001
28,12,426,426,100.0,28012
28,14,377,377,100.0,28014
28,31,515,515,100.0,28031
28,39,326,326,100.0,28039
28,41,318,318,100.0,28041
28,42,306,306,100.0,28042
28,43,536,536,100.0,28043
29,2,663,663,100.0,29002
29,3,525,525,100.0,29003
29,6,405,405,100.0,29006
29,8,459,459,100.0,29008
29,11,293,293,100.0,29011
29,14,451,451,100.0,29014
29,16,526,526,100.0,29016
29,18,473,473,100.0,29018
29,19,517,517,100.0,29019
29,20,588,588,100.0,29020
29,21,616,616,100.0,29021
29,22,367,367,100.0,29022
29,28,587,587,100.0,29028
29,34,280,280,100.0,29034
29,42,513,513,100.0,29042
37,1,342,342,100.0,37001
37,5,434,434,100.0,37005
37,6,440,440,100.0,37006
37,9,485,485,100.0,37009
37,10,494,494,100.0,37010
37,11,355,355,100.0,37011
37,14,454,454,100.0,37014
37,15,462,462,100.0,37015
37,16,469,469,100.0,37016
37,17,402,402,100.0,37017
37,20,359,359,100.0,37020
37,22,160,160,100.0,37022
37,23,421,421,100.0,37023
37,24,454,454,100.0,37024
37,25,418,418,100.0,37025
37,26,452,452,100.0,37026
37,27,459,459,100.0,37027
37,29,178,178,100.0,37029
37,30,240,240,100.0,37030
37,31,451,451,100.0,37031
37,32,386,386,100.0,37032
37,33,507,507,100.0,37033
37,34,435,435,100.0,37034
37,36,457,457,100.0,37036
37,38,474,474,100.0,37038
37,39,423,423,100.0,37039
37,40,462,462,100.0,37040
37,41,403,403,100.0,37041
